Date,EGYPT SMALL GROWTH
2004-05-31,233.16065761362077
2004-06-01,231.65929673454383
2004-06-02,231.42652441059832
2004-06-03,230.72876879804346
2004-06-04,230.72876879804346
2004-06-07,229.3565798206663
2004-06-08,233.37217689603088
2004-06-09,235.803201483276
2004-06-10,234.98101176365307
2004-06-11,234.98101176365307
2004-06-14,231.90863628341103
2004-06-15,230.7095017369895
2004-06-16,230.2801995204409
2004-06-17,230.47993175675674
2004-06-18,230.47993175675674
2004-06-21,227.65704821243796
2004-06-22,224.91984393380295
2004-06-23,219.4493913796114
2004-06-24,224.22272078952298
2004-06-25,224.22272078952298
2004-06-28,226.86759325907073
2004-06-29,226.3601491750006
2004-06-30,228.9645293265193
2004-07-01,227.8583582483421
2004-07-02,227.8583582483421
2004-07-05,230.42591749710272
2004-07-06,229.1435828826569
2004-07-07,230.50403027568288
2004-07-08,230.55072258210038
2004-07-09,230.55072258210038
2004-07-12,233.76303111833664
2004-07-13,232.27142820650474
2004-07-14,233.95233952158696
2004-07-15,235.91598546387243
2004-07-16,235.91598546387243
2004-07-19,238.40137875943995
2004-07-20,240.05499171871136
2004-07-21,243.47921577323487
2004-07-22,241.57822897744154
2004-07-23,241.57822897744154
2004-07-26,240.99469897153426
2004-07-27,242.04589173421
2004-07-28,243.41607971697792
2004-07-29,243.75520114829348
2004-07-30,243.40201805075912
2004-08-02,241.67727267880448
2004-08-03,240.34328684821506
2004-08-04,241.46786639241338
2004-08-05,242.78028981025042
2004-08-06,242.78028981025042
2004-08-09,239.57404601186133
2004-08-10,238.94058543524355
2004-08-11,241.84123221062836
2004-08-12,240.9396534092005
2004-08-13,240.9396534092005
2004-08-16,242.98889639420636
2004-08-17,243.93666609447104
2004-08-18,240.5421785081872
2004-08-19,235.732645647574
2004-08-20,235.732645647574
2004-08-23,237.1501300946827
2004-08-24,236.70475573217308
2004-08-25,238.07667939243976
2004-08-26,238.28201042111914
2004-08-27,238.28201042111914
2004-08-30,238.95122702993407
2004-08-31,237.60763215481822
2004-09-01,238.905693145729
2004-09-02,241.09231713105552
2004-09-03,241.09231713105552
2004-09-06,239.7239054342219
2004-09-07,239.40559182013303
2004-09-08,240.08632163017342
2004-09-09,241.14871207272182
2004-09-10,241.14871207272182
2004-09-13,257.8183062838241
2004-09-14,259.67934739457354
2004-09-15,268.8120697041832
2004-09-16,270.991852529103
2004-09-17,270.991852529103
2004-09-20,267.62357706757376
2004-09-21,264.56600196866145
2004-09-22,263.8669165207507
2004-09-23,260.2925068383301
2004-09-24,260.2925068383301
2004-09-27,260.68815233696915
2004-09-28,260.6782519199973
2004-09-29,260.85183517312294
2004-09-30,264.64461377851865
2004-10-01,264.64461377851865
2004-10-04,266.9572138250317
2004-10-05,267.42729224211513
2004-10-06,267.42729224211513
2004-10-07,272.2843842859412
2004-10-08,272.2843842859412
2004-10-11,265.4334963836609
2004-10-12,271.93989012000486
2004-10-13,271.2371474037829
2004-10-14,268.53560993924594
2004-10-15,268.53560993924594
2004-10-18,270.8299942489753
2004-10-19,271.5288153229302
2004-10-20,273.2311923796794
2004-10-21,276.16190640113086
2004-10-22,276.16190640113086
2004-10-25,280.294668663656
2004-10-26,285.576850150442
2004-10-27,288.0099587807536
2004-10-28,286.2054858691545
2004-10-29,286.2054858691545
2004-11-01,291.51492555498174
2004-11-02,292.54317260167903
2004-11-03,291.7297032630185
2004-11-04,293.1755866850697
2004-11-05,293.1755866850697
2004-11-08,294.73942305864887
2004-11-09,294.74534185592756
2004-11-10,298.00367908308334
2004-11-11,296.9707957734567
2004-11-12,296.9707957734567
2004-11-15,296.9707957734567
2004-11-16,294.18339191631196
2004-11-17,296.3566068024273
2004-11-18,297.8270164057031
2004-11-19,297.8270164057031
2004-11-22,308.84277637454966
2004-11-23,310.1345867118656
2004-11-24,307.8432573291572
2004-11-25,312.43177586612745
2004-11-26,312.43177586612745
2004-11-29,308.4568449986375
2004-11-30,303.462991982163
2004-12-01,299.8012385118094
2004-12-02,301.81768831744284
2004-12-03,301.81768831744284
2004-12-06,303.2653029764002
2004-12-07,306.05619712115544
2004-12-08,302.8717716427962
2004-12-09,303.9486765284306
2004-12-10,302.4838636294984
2004-12-13,302.86744523791435
2004-12-14,306.6802986642592
2004-12-15,304.5703351892327
2004-12-16,304.19023121496406
2004-12-17,304.06801738161136
2004-12-20,299.9177305730813
2004-12-21,301.141224481347
2004-12-22,301.60301446884955
2004-12-23,302.7169136871406
2004-12-24,302.7169136871406
2004-12-27,304.451114349935
2004-12-28,303.489673900769
2004-12-29,307.1388752102934
2004-12-30,309.73277043368483
2004-12-31,310.6257397059401
2005-01-03,322.77168025433093
2005-01-04,329.9837990827975
