Date,PERU SMALL GROWTH
1995-05-31,263.99743733451896
1995-06-30,264.71197662599565
1995-07-31,264.5155229587748
1995-08-31,235.00071889436035
1995-09-29,215.9104955103068
1995-10-31,195.18431048857312
1995-11-30,198.47113581009086
1995-12-29,196.40001978088702
1996-01-31,204.9605094377973
1996-02-29,209.7446907912224
1996-03-29,215.9343625558502
1996-04-30,222.42116128588245
1996-05-31,223.19186181706687
1996-06-28,226.09547008215014
1996-07-31,221.05892809811533
1996-08-30,222.9464102909901
1996-09-30,248.96864354990964
1996-10-31,243.81918914317964
1996-11-29,234.53585949599443
1996-12-31,228.61813138952238
1997-01-01,228.61813138952238
1997-01-02,229.40783867348617
1997-01-03,232.6746105441766
1997-01-06,230.88163557909263
1997-01-07,231.60032978769792
1997-01-08,231.0731176162415
1997-01-09,231.38697105172335
1997-01-10,231.01540220608993
1997-01-13,230.13339919650554
1997-01-14,231.92401193879252
1997-01-15,233.0491420453103
1997-01-16,233.83973470176352
1997-01-17,235.8775323184396
1997-01-20,235.3608473815237
1997-01-21,233.16529874254007
1997-01-22,231.131141850879
1997-01-23,231.51419447124766
1997-01-24,229.52094645477823
1997-01-27,229.0508134504444
1997-01-28,229.46446781738308
1997-01-29,227.76701570893496
1997-01-30,228.9699259648526
1997-01-31,229.52716274997044
1997-02-03,229.22020833568328
1997-02-04,230.7366410984382
1997-02-05,236.4727349781774
1997-02-06,236.45865002905808
1997-02-07,235.91273825867893
1997-02-10,234.62468147055176
1997-02-11,233.676941384076
1997-02-12,234.3745353820171
1997-02-13,235.34306644439175
1997-02-14,236.04336936054557
1997-02-17,236.62785770372406
1997-02-18,236.1480968892665
1997-02-19,237.1178761667425
1997-02-20,237.38880147894133
1997-02-21,239.17515421862674
1997-02-24,240.33438297879488
1997-02-25,246.47415023469108
1997-02-26,252.5306937303025
1997-02-27,251.61728713672724
1997-02-28,251.1401620779778
1997-03-03,251.48731898251333
1997-03-04,252.0823031113763
1997-03-05,254.44508637060667
1997-03-06,256.0972785644298
1997-03-07,259.4260293150629
1997-03-10,260.0531331131305
1997-03-11,267.33994975872133
1997-03-12,266.95066465017067
1997-03-13,264.7977450218749
1997-03-14,264.83558756913675
1997-03-17,268.61851302204934
1997-03-18,269.90732671040337
1997-03-19,269.462628729693
1997-03-20,266.76959611159964
1997-03-21,268.11759388126796
1997-03-24,271.2338829455624
1997-03-25,271.3425153937102
1997-03-26,274.301673925607
1997-03-27,274.301673925607
1997-03-28,274.301673925607
1997-03-31,277.35000959006766
1997-04-01,274.69407419835295
1997-04-02,273.59134296837846
1997-04-03,272.8045285983571
1997-04-04,273.0470634240443
1997-04-07,275.73362877765436
1997-04-08,276.66726051667433
1997-04-09,280.72201232381417
1997-04-10,280.4172943869878
1997-04-11,281.58594212628435
1997-04-14,284.03490773080347
1997-04-15,288.5717281224698
1997-04-16,288.8228912033286
1997-04-17,285.0214904084058
1997-04-18,286.4404447301834
1997-04-21,286.5846077985582
1997-04-22,285.83898539532356
1997-04-23,287.358196808003
1997-04-24,287.0150730699133
1997-04-25,287.13169474187805
1997-04-28,286.3691276691558
1997-04-29,286.3885799622789
1997-04-30,284.9528474729949
1997-05-01,284.9528474729949
1997-05-02,284.408192350531
1997-05-05,283.4547861982853
1997-05-06,284.51722603065093
1997-05-07,282.204788230396
1997-05-08,284.63251195310613
1997-05-09,286.55227550120776
1997-05-12,288.25715879356295
1997-05-13,287.07084558775557
1997-05-14,296.2754585285198
1997-05-15,296.72323350509873
1997-05-16,292.9996917581634
1997-05-19,296.682726056708
1997-05-20,303.711303196974
1997-05-21,318.4061121441912
1997-05-22,329.9107165598081
