Date,GREECE SMALL GROWTH
1994-05-31,155.5948915851933
1994-06-30,156.37066301479777
1994-07-29,163.4546379495512
1994-08-31,166.91518460616837
1994-09-30,166.81172636623575
1994-10-31,157.05552316058163
1994-11-30,154.83106477531564
1994-12-30,156.71481139413493
1995-01-31,147.378738684099
1995-02-28,151.05192904994317
1995-03-31,157.09560861874598
1995-04-28,151.7655581781981
1995-05-31,157.85953128224935
1995-06-30,160.89209457663065
1995-07-31,183.62232107695183
1995-08-31,179.50504554391014
1995-09-29,195.90851792538405
1995-10-31,193.68376547885018
1995-11-30,175.1363675146942
1995-12-29,176.8868396809162
1996-01-31,181.29724685320363
1996-02-29,186.20980130902848
1996-03-29,184.4920122794682
1996-04-30,170.61781761597908
1996-05-31,176.16029462776422
1996-06-28,177.29134867401106
1996-07-31,180.51944289057948
1996-08-30,186.16636772364492
1996-09-30,182.29574564232038
1996-10-31,181.12294084423723
1996-11-29,174.1499569343953
1996-12-31,171.38986774061502
1997-01-01,171.38986774061502
1997-01-02,174.5167830377955
1997-01-03,175.16479060726473
1997-01-06,174.93696638309206
1997-01-07,179.6035792902284
1997-01-08,179.78233521471196
1997-01-09,180.66519336075027
1997-01-10,180.74998185851533
1997-01-13,182.29633223141607
1997-01-14,183.7056487923418
1997-01-15,186.31732983529594
1997-01-16,186.7491239486699
1997-01-17,185.5314642790244
1997-01-20,190.27740986495232
1997-01-21,192.42239032333126
1997-01-22,186.79005954611168
1997-01-23,186.4123031403047
1997-01-24,188.83518521364584
1997-01-27,193.193401128333
1997-01-28,195.17858591723984
1997-01-29,198.37008182053924
1997-01-30,202.51631936950736
1997-01-31,200.97787642431155
1997-02-03,205.6449324713461
1997-02-04,208.14700676461356
1997-02-05,210.26449628161723
1997-02-06,211.70991499138572
1997-02-07,206.55582931591914
1997-02-10,211.6684545199835
1997-02-11,214.08902268805284
1997-02-12,211.36746222789043
1997-02-13,207.40253515214704
1997-02-14,208.0028927297944
1997-02-17,210.57192899644633
1997-02-18,212.2054905481037
1997-02-19,210.8063030833553
1997-02-20,213.80188675362996
1997-02-21,216.2006872325679
1997-02-24,221.61405053333968
1997-02-25,226.58487349636258
1997-02-26,234.7343665778621
1997-02-27,220.05532267189275
1997-02-28,212.62569657595407
1997-03-03,198.57272162398658
1997-03-04,199.70413960944816
1997-03-05,210.35687201937014
1997-03-06,214.38438234732408
1997-03-07,212.95471116471012
1997-03-10,214.63434050291863
1997-03-11,211.28421515026378
1997-03-12,206.89279421162888
1997-03-13,211.32570161325162
1997-03-14,210.756062878557
1997-03-17,212.65381120669198
1997-03-18,214.40641379631765
1997-03-19,211.86060377328926
1997-03-20,209.21273809083388
1997-03-21,210.53938634283503
1997-03-24,210.0083108518141
1997-03-25,209.95701038879264
1997-03-26,209.97355215095934
1997-03-27,213.77086483688726
1997-03-28,219.03579506162586
1997-03-31,224.63065901372613
1997-04-01,224.14956098676114
1997-04-02,228.07095846735885
1997-04-03,227.65405573566275
1997-04-04,233.53635296860597
1997-04-07,238.54337554655802
1997-04-08,238.85672811941197
1997-04-09,239.01420924827366
1997-04-10,238.72097684555467
1997-04-11,237.89604012745812
1997-04-14,234.88535638592774
1997-04-15,232.84086272785007
1997-04-16,235.0853967386494
1997-04-17,236.2870438877396
1997-04-18,237.79708088489252
1997-04-21,238.722154939459
1997-04-22,237.97205807251026
1997-04-23,238.38617129542223
1997-04-24,240.96101590045006
1997-04-25,239.5192936601117
1997-04-28,239.53677171715054
1997-04-29,240.716481718634
1997-04-30,237.74181194237545
1997-05-01,242.6328795651666
1997-05-02,243.1641294087341
1997-05-05,247.0276571815013
1997-05-06,250.6100059937351
1997-05-07,255.6223262821197
1997-05-08,258.6341796596438
1997-05-09,263.9454587828882
1997-05-12,266.26708637781104
1997-05-13,268.0500265050302
1997-05-14,274.28877993078794
1997-05-15,274.1938717547182
1997-05-16,271.18670284435325
1997-05-19,271.57129358766036
1997-05-20,267.4170636919991
1997-05-21,269.9135465515744
1997-05-22,275.0465027943278
