Date,TURKEY SMALL GROWTH
1994-05-31,161.66803718050068
1994-06-30,238.12719034142378
1994-07-29,277.003752855701
1994-08-31,343.83013396268456
1994-09-30,380.6710858569457
1994-10-31,353.8034433705418
1994-11-30,375.378673771661
1994-12-30,369.5845412913931
1995-01-31,320.9359366931037
1995-02-28,359.3144400367824
1995-03-31,478.8742052014754
1995-04-28,513.0761147980443
1995-05-31,525.3726252196774
1995-06-30,510.19180815697695
1995-07-31,542.1905234526531
1995-08-31,432.48780367604843
1995-09-29,381.1375161108583
1995-10-31,423.0414711982148
1995-11-30,348.16659570559835
1995-12-29,319.0219713994138
1996-01-31,363.6918214328862
1996-02-29,452.48132207216736
1996-03-29,466.7549864493911
1996-04-30,428.80984220643126
1996-05-31,368.384141031117
1996-06-28,403.63265254315246
1996-07-31,345.6419208193868
1996-08-30,327.93049142418425
1996-09-30,346.13423442635565
1996-10-31,352.8865073467326
1996-11-29,359.8114014031182
1996-12-31,353.55595573569576
1997-01-01,353.55595573569576
1997-01-02,366.2616354305381
1997-01-03,376.4571510668236
1997-01-06,384.6869203632072
1997-01-07,394.41351915375367
1997-01-08,409.0106895831495
1997-01-09,408.0317695805829
1997-01-10,414.0797605318611
1997-01-13,409.8997195645258
1997-01-14,421.4372714630474
1997-01-15,424.3063591097915
1997-01-16,424.9245943353661
1997-01-17,425.06236578739646
1997-01-20,424.63695829301133
1997-01-21,431.5620747540883
1997-01-22,431.61369579847343
1997-01-23,458.43809204068685
1997-01-24,496.40662067801503
1997-01-27,544.4944829171303
1997-01-28,499.2774774243158
1997-01-29,521.7113240709921
1997-01-30,542.3219128886526
1997-01-31,542.5172849583251
1997-02-03,529.8774910132599
1997-02-04,500.41910873036136
1997-02-05,510.959311599951
1997-02-06,528.5079583354144
1997-02-07,522.3049151398836
1997-02-10,523.624866909254
1997-02-11,522.7441590345434
1997-02-12,531.7283135475368
1997-02-13,538.0668192447521
1997-02-14,526.1901338550421
1997-02-17,522.3918790564741
1997-02-18,538.8863716816145
1997-02-19,540.7488569054623
1997-02-20,546.5308709382796
1997-02-21,531.8037191196047
1997-02-24,537.2376460303941
1997-02-25,541.4302006364085
1997-02-26,532.6439144530088
1997-02-27,522.0404652551528
1997-02-28,530.9896203861279
1997-03-03,503.06732963910395
1997-03-04,476.79564694250973
1997-03-05,452.1015570454876
1997-03-06,479.6580723809908
1997-03-07,462.71097538131545
1997-03-10,477.5296679825264
1997-03-11,474.13425029643406
1997-03-12,463.03194245023724
1997-03-13,480.00961693465365
1997-03-14,482.82238080788085
1997-03-17,502.9275786034408
1997-03-18,507.3790106253977
1997-03-19,514.3404355250611
1997-03-20,516.7366822476304
1997-03-21,516.4592985965655
1997-03-24,511.090535770774
1997-03-25,490.9930304391495
1997-03-26,498.3647844716868
1997-03-27,475.7322336491521
1997-03-28,486.917149027803
1997-03-31,482.1636536304488
1997-04-01,479.42857482218
1997-04-02,480.1631858029182
1997-04-03,471.8452908457027
1997-04-04,471.27890715806825
1997-04-07,451.8023969860648
1997-04-08,450.40718963080974
1997-04-09,448.2164523505115
1997-04-10,442.89438857120064
1997-04-11,436.1570645132257
1997-04-14,432.6198905852464
1997-04-15,442.5259051385391
1997-04-16,439.14406280711415
1997-04-17,446.5162300601895
1997-04-18,441.4374513852554
1997-04-21,444.537526622188
1997-04-22,441.75045748976044
1997-04-23,441.75045748976044
1997-04-24,424.7138553419806
1997-04-25,422.2713679112629
1997-04-28,409.50864398422516
1997-04-29,405.9434981729312
1997-04-30,401.61969709836245
1997-05-01,413.31790017782436
1997-05-02,401.7933411164268
1997-05-05,388.2431021029603
