Date,EM WITH CHINA ALL SHARES
2010-01-15,1844.7535200539112
2010-12-31,2262.3302122933565
2011-10-10,1784.8143936625713
2013-11-08,2111.0478191323637
2017-04-03,2832.2473931524028
2017-04-04,2829.7002515037443
2017-04-05,2847.431880936476
2017-04-06,2836.3013728526093
2017-04-07,2844.2319087893966
2017-04-10,2839.2371268911834
2017-04-11,2825.9172855826623
2017-04-12,2836.6554944921445
2017-04-13,2848.2905717512485
2017-04-14,2838.2818848879583
2017-04-17,2831.3348960538265
2017-04-18,2807.7901629796106
2017-04-19,2788.891151548208
2017-04-20,2790.7257390038885
2017-04-21,2819.683174652881
2017-04-24,2791.351853222328
2017-04-25,2803.244023671537
2017-04-26,2816.2572214145002
2017-04-27,2811.642389534111
2017-04-28,2801.0693448652723
2017-05-01,2798.1619044686436
2017-05-02,2821.0113190591105
2017-05-03,2812.1225803283555
2017-05-04,2787.5594944682257
2017-05-05,2768.984326495588
2017-05-08,2795.059452241541
2017-05-09,2818.9871867868424
2017-05-10,2832.20761022749
2017-05-11,2847.091008286271
2017-05-12,2840.8974248619475
2017-05-15,2847.2659635008113
2017-05-16,2836.9325130363923
2017-05-17,2804.110501115291
2017-05-18,2760.3230154602843
2017-05-19,2761.169478063456
2017-05-22,2766.1348538798234
2017-05-23,2773.1616366380363
2017-05-24,2786.202830812781
2017-05-25,2809.6221125550705
2017-05-26,2822.9889669327463
2017-05-29,2820.9124867971227
2017-05-30,2812.8844171004775
2017-05-31,2785.0249278880465
2017-06-01,2798.0569579950884
2017-06-02,2800.310769782583
2017-06-05,2811.4087280882854
2017-06-06,2807.6532209895154
2017-06-07,2814.9391363554437
2017-06-08,2836.1564052803647
2017-06-09,2845.6397712809026
2017-06-12,2818.595246535306
2017-06-13,2822.6914618579394
2017-06-14,2809.2683998403268
2017-06-15,2817.9867632192895
2017-06-16,2802.801975819894
2017-06-19,2837.40363900696
2017-06-20,2836.9740968131996
2017-06-21,2832.8716116782944
2017-06-22,2835.9006152738593
2017-06-23,2834.7907694798905
2017-06-26,2861.1426936317944
2017-06-27,2837.027691512312
2017-06-28,2805.220773548697
2017-06-29,2799.1190274774485
2017-06-30,2796.806345122428
2017-07-03,2813.6131895813514
2017-07-04,2796.197062715738
2017-07-05,2814.584364048845
2017-07-06,2789.385913519648
2017-07-07,2785.7128968834622
2017-07-10,2802.213076265197
2017-07-11,2816.5730412885346
2017-07-12,2843.394820255455
2017-07-13,2877.631856455808
2017-07-14,2883.4730649744565
2017-07-17,2881.6715097317688
2017-07-18,2860.988388321591
2017-07-19,2902.217470772084
2017-07-20,2873.3867047672934
2017-07-21,2868.691940136984
2017-07-24,2884.513688376149
2017-07-25,2871.352289031502
2017-07-26,2878.8547059093935
2017-07-27,2886.9796831099693
2017-07-28,2855.303524509122
2017-07-31,2856.5129668758264
2017-08-01,2861.4989511918193
2017-08-02,2851.1154544530177
2017-08-03,2829.5179062717834
2017-08-04,2865.7772907373815
2017-08-07,2876.4603621111773
2017-08-08,2899.572290815939
2017-08-09,2879.4912190534337
2017-08-10,2849.065436546357
2017-08-11,2799.237893619609
2017-08-14,2831.5453847671247
2017-08-15,2845.757339407541
2017-08-16,2864.7499385592787
2017-08-17,2866.818611220274
2017-08-18,2855.922655772723
2017-08-21,2852.3881898359277
2017-08-22,2886.496787705154
2017-08-23,2880.4311221363373
2017-08-24,2895.317477967342
2017-08-25,2892.9320563237825
2017-08-28,2880.4223790048063
2017-08-29,2856.909693230388
2017-08-30,2899.4924919289033
2017-08-31,2905.4329897550338
2017-09-01,2919.894679777545
2017-09-04,2900.4540150439743
2017-09-05,2900.0621388211057
2017-09-06,2895.003241487046
2017-09-07,2892.725925436165
2017-09-08,2894.588485879437
2017-09-11,2918.0085265392363
2017-09-12,2933.038968246743
2017-09-13,2937.735827772519
2017-09-14,2946.50481077045
2017-09-15,2929.2168367133845
2017-09-18,2955.7802335798906
2017-09-19,2939.087174625606
2017-09-20,2943.614725337898
2017-09-21,2950.5818960783577
2017-09-22,2925.406161443332
2017-09-25,2913.4096802495164
2017-09-26,2920.8516305945295
2017-09-27,2927.1857484082943
2017-09-28,2897.642227929562
2017-09-29,2913.539371276455
2017-10-02,2937.7028111561917
2017-10-03,2964.5183046207308
2017-10-04,2973.9429756660957
2017-10-05,2987.8797068840013
2017-10-06,2984.450509402697
2017-10-09,2983.8985298813673
2017-10-10,2995.3427305149935
2017-10-11,3000.071622961199
2017-10-12,3009.339703282659
2017-10-13,3023.021180522351
2017-10-16,3044.4006809430757
2017-10-17,3039.795830334489
2017-10-18,3038.7236921501712
2017-10-19,2994.0170828273717
2017-10-20,3018.817092958368
2017-10-23,3020.789543550843
2017-10-24,3014.154330877846
2017-10-25,3005.0619723123186
2017-10-26,3022.128105308083
2017-10-27,3059.131685629311
2017-10-30,3056.613879246603
2017-10-31,3061.057332059139
2017-11-01,3092.297585994642
2017-11-02,3073.6011020752753
2017-11-03,3082.511585662094
2017-11-06,3105.5872869721097
2017-11-07,3120.584664340902
2017-11-08,3117.461091719639
2017-11-09,3108.4026970784503
2017-11-10,3089.698293672119
2017-11-13,3079.794110145091
2017-11-14,3041.4400511605095
2017-11-15,3010.547420280157
2017-11-16,3052.1376521402663
2017-11-17,3072.5051184490135
2017-11-20,3084.2917993730794
2017-11-21,3130.7580442377807
2017-11-22,3130.0336375581705
2017-11-23,3092.7643921038016
2017-11-24,3070.8146951308727
2017-11-27,3046.9412388563533
2017-11-28,3067.2403303182527
2017-11-29,3060.9097373037034
2017-11-30,2982.765824936113
2017-12-01,2986.7709456419357
2017-12-04,3005.565145318201
2017-12-05,3000.1604948229783
2017-12-06,2971.4756270622906
2017-12-07,2964.392001224381
2017-12-08,3001.1598479633785
2017-12-11,3018.83345584341
2017-12-12,3012.4745241184587
2017-12-13,3024.008268920871
2017-12-14,3022.5923123797465
2017-12-15,3013.2979399780866
2017-12-18,3026.649856907197
2017-12-19,3038.228592983489
2017-12-20,3022.8706986085767
2017-12-21,3036.7935684792774
2017-12-22,3059.027900356278
2017-12-25,3057.1692985630975
2017-12-26,3048.1296513081793
2017-12-27,3048.9778385084614
2017-12-28,3063.78815037553
2017-12-29,3060.440166630473
2018-01-01,3058.464913992378
2018-01-02,3102.4671888392554
2018-01-03,3125.0709260749463
2018-01-04,3133.063331841237
2018-01-05,3163.091567431396
2018-01-08,3194.2107520694244
2018-01-09,3203.62906401631
2018-01-10,3174.962237043396
2018-01-11,3157.192195980031
2018-01-12,3160.4019411225486
2018-01-15,3132.604482073573
2018-01-16,3164.375851834732
2018-01-17,3169.7456238964583
2018-01-18,3184.9227849346867
2018-01-19,3203.242368624066
2018-01-22,3215.473900601918
2018-01-23,3239.669754882561
2018-01-24,3232.5360534290903
2018-01-25,3212.8597124274334
2018-01-26,3254.298298039614
2018-01-29,3253.488286261818
2018-01-30,3189.2591362445382
2018-01-31,3197.9644940120725
2018-02-01,3175.7956040624085
2018-02-02,3151.170173215423
2018-02-05,3109.1978915858917
2018-02-06,3040.140246367269
2018-02-07,3036.805153214618
2018-02-08,3014.6683279965923
2018-02-09,2953.666217319648
2018-02-12,2974.8335196520147
2018-02-13,2983.86942533136
2018-02-14,3019.308691175651
2018-02-15,3038.4612093869505
2018-02-16,3040.8863877548133
2018-02-19,3056.4174608895255
2018-02-20,3056.5871993333117
2018-02-21,3094.6228311254504
2018-02-22,3083.569624718649
2018-02-23,3127.5085263201936
2018-02-26,3148.0277676526275
2018-02-27,3134.6216409416716
2018-02-28,3103.466649339082
2018-03-01,3104.6177585990727
2018-03-02,3045.258377816757
2018-03-05,3028.504579647829
2018-03-06,3055.6752060117274
2018-03-07,3042.0249667581797
2018-03-08,3077.9310157223804
2018-03-09,3109.4954125424683
2018-03-12,3145.9352590327844
2018-03-13,3124.36649312615
2018-03-14,3121.9888788473977
2018-03-15,3128.785168173767
2018-03-16,3127.852363996133
2018-03-19,3095.697179521541
2018-03-20,3125.096561455624
2018-03-21,3123.2499411145404
2018-03-22,3081.2375292228926
2018-03-23,2999.65267536417
2018-03-26,3003.1589069443594
2018-03-27,3026.6964924421904
2018-03-28,2979.733688061697
2018-03-29,3013.9423705348177
2018-03-30,3018.4053319074765
2018-04-02,3012.5520565955403
2018-04-03,3019.0759508112305
2018-04-04,2978.8069189401463
2018-04-05,3019.2093970864958
2018-04-06,3001.815631931211
2018-04-09,2991.0896921417543
2018-04-10,3018.1217873229016
2018-04-11,3013.1438217490013
2018-04-12,3027.7800823574025
2018-04-13,3007.6766990355054
2018-04-16,2975.6581141887455
2018-04-17,2975.341713110086
2018-04-18,2994.699412540527
2018-04-19,3021.0344112580137
2018-04-20,3000.1435675286484
2018-04-23,2990.8505568521487
2018-04-24,2994.6255495485775
2018-04-25,2971.861638071838
2018-04-26,2985.63951127946
2018-04-27,3014.376250636729
2018-04-30,3037.5559021358704
2018-05-01,3056.8444986482964
2018-05-02,3041.3368833382533
2018-05-03,3016.4976484220715
2018-05-04,3016.807466821304
2018-05-07,3036.570906498459
2018-05-08,3064.259982359744
2018-05-09,3064.907536360978
2018-05-10,3090.897379333122
2018-05-11,3091.46596022197
2018-05-14,3099.3225909570983
2018-05-15,3087.60525572973
2018-05-16,3113.5908159133414
2018-05-17,3084.4580064230554
2018-05-18,3080.7064641046704
2018-05-21,3085.151237071441
2018-05-22,3092.045279698154
2018-05-23,3082.6055571069496
2018-05-24,3078.959947266325
2018-05-25,3100.073597328367
2018-05-28,3111.614684585131
2018-05-29,3096.2739412331503
2018-05-30,3041.9587279719817
2018-05-31,3048.6139400214975
2018-06-01,3067.82530158878
2018-06-04,3101.634080654368
2018-06-05,3110.129048231308
2018-06-06,3093.5196865447797
2018-06-07,3081.3054093728247
2018-06-08,3057.1078078315504
2018-06-11,3055.6723673407287
2018-06-12,3069.8454138018433
2018-06-13,3056.50440182474
2018-06-14,3065.832734166331
2018-06-15,3042.932201804226
2018-06-18,3026.2002231898146
2018-06-19,2968.6469175420266
2018-06-20,2987.624549481296
2018-06-21,2943.2613931346255
2018-06-22,2956.5011151795907
2018-06-25,2901.0978133815893
2018-06-26,2893.671331829449
2018-06-27,2864.2391196162575
2018-06-28,2850.484455544776
2018-06-29,2890.904887874687
2018-07-02,2870.9724648102956
2018-07-03,2856.311566199321
2018-07-04,2852.0920033262196
2018-07-05,2832.261294594581
2018-07-06,2833.9440263970773
2018-07-09,2885.4216314350783
2018-07-10,2898.5638862462483
2018-07-11,2862.344564451408
2018-07-12,2894.598553847213
2018-07-13,2911.8477011187156
2018-07-16,2888.052532787633
2018-07-17,2893.6213686041615
2018-07-18,2894.707956688599
2018-07-19,2879.3841298614457
2018-07-20,2885.162188021096
2018-07-23,2888.8463597006653
2018-07-24,2918.7161850900657
2018-07-25,2948.785743821641
2018-07-26,2948.2809404888344
2018-07-27,2953.8517497782814
2018-07-30,2932.215681540255
2018-07-31,2929.6861877016086
2018-08-01,2928.9135661319165
2018-08-02,2887.9636267504006
2018-08-03,2898.679784913692
2018-08-06,2896.66737222515
2018-08-07,2920.8034969042424
2018-08-08,2911.3961634139264
2018-08-09,2927.4526603181116
2018-08-10,2924.6647900386283
2018-08-13,2881.4372006217363
2018-08-14,2888.3680856154283
2018-08-15,2847.300323596797
2018-08-16,2820.9876723832786
2018-08-17,2815.035880807148
2018-08-20,2841.0760933109364
2018-08-21,2852.3064545990187
2018-08-22,2844.6649785013183
2018-08-23,2844.7912650777826
2018-08-24,2835.90747315486
2018-08-27,2883.0235902223053
2018-08-28,2875.897909590007
2018-08-29,2878.155987600075
2018-08-30,2852.644022796132
2018-08-31,2851.7789076185245
2018-09-03,2833.201873399523
2018-09-04,2838.5179602416
2018-09-05,2770.773820261315
2018-09-06,2758.949692236142
2018-09-07,2782.5128052115415
2018-09-10,2743.2505966714866
2018-09-11,2728.7306976815635
2018-09-12,2720.1496962578635
2018-09-13,2744.043712722178
2018-09-14,2771.101799453018
2018-09-17,2732.2287053470177
2018-09-18,2745.9599901531046
2018-09-19,2785.8341868957536
2018-09-20,2779.604959268936
2018-09-21,2823.0951664860772
2018-09-24,2795.5518857801344
2018-09-25,2790.002388323468
2018-09-26,2813.236617629573
2018-09-27,2841.397943783092
2018-09-28,2853.2636460535505
2018-10-01,2857.278626668778
2018-10-02,2833.7907116467914
2018-10-03,2842.405839238412
2018-10-31,2665.0409855247517
2018-12-31,2666.2350217432954
2019-01-01,2666.865440271069
2019-01-02,2656.483463029921
2019-01-03,2631.202472970786
2019-01-31,2888.03209069041
2019-02-28,2974.2382134266068
2019-03-29,3063.444567699294
2019-04-30,3123.9969990622853
2019-05-31,2905.944282485043
2019-06-28,3018.3688169295206
2019-07-01,3073.0285710012367
2019-07-02,3079.9385689640394
2019-07-31,3057.551881584632
2019-08-30,2946.9932439581153
2019-09-30,3026.828934384931
2019-10-11,3032.2532739828043
2019-10-14,3057.6519683242122
2019-10-31,3077.3877592068284
2019-11-27,3150.512873857311
2019-11-28,3140.1707686764
2019-11-29,3104.9614404847352
2019-12-02,3092.003915290278
2019-12-03,3083.4403863087928
2019-12-04,3077.731945717137
2019-12-05,3098.3382092739394
2019-12-06,3129.912312861883
2019-12-09,3128.7196887971813
2019-12-10,3120.129835884832
2019-12-11,3143.548489075546
2019-12-12,3164.6125117290917
2019-12-13,3212.832268643888
2019-12-16,3216.541848078448
2019-12-17,3255.14861241265
2019-12-18,3279.248844361413
2019-12-19,3275.52069162451
2019-12-20,3285.885706415381
2019-12-23,3289.3593164328186
2019-12-24,3286.1104539102816
2019-12-25,3286.6547254421466
2019-12-26,3296.183312037193
2019-12-27,3297.5237289767747
2019-12-30,3292.3840756010827
2019-12-31,3280.1181953546434
2020-01-01,3280.0755906351396
2020-01-02,3327.1595951620416
2020-01-03,3325.8756377541195
2020-01-06,3289.132037955231
2020-01-07,3318.2153940572575
2020-01-08,3307.4185888093803
2020-01-09,3365.775275679044
2020-01-10,3373.270136410234
2020-01-13,3401.5390911127065
2020-01-14,3403.854707120074
2020-01-15,3377.8756114545577
2020-01-16,3386.2097621900602
2020-01-17,3418.659030548643
2020-01-20,3423.8722417244726
2020-01-21,3360.2331391528364
2020-01-22,3387.535418794465
2020-01-23,3351.0019505614073
2020-01-24,3349.9764415644886
2020-01-27,3312.4031055365804
2020-01-28,3312.5730038335078
2020-01-29,3302.2461425298375
2020-01-30,3228.324415710883
2020-01-31,3187.951197821332
2020-02-03,3146.454485468883
2020-02-04,3229.1689097690683
2020-02-05,3255.5329627302176
2020-02-06,3308.281939900603
2020-02-07,3284.3261200854904
2020-02-10,3286.988984766129
2020-02-11,3325.183782980013
2020-02-12,3363.162519846868
2020-02-13,3365.1254643535394
2020-02-14,3369.6233815964097
2020-02-17,3389.963858660246
2020-02-18,3357.507246487959
2020-02-19,3387.6882152824796
2020-02-20,3371.6611421376124
2020-02-21,3328.084566478048
2020-02-24,3251.432899867482
2020-02-25,3253.7192225370886
2020-02-26,3211.3677454162503
2020-02-27,3144.4979394589454
2020-02-28,3063.80019133215
2020-03-02,3070.5424265617007
2020-03-03,3086.4626729947954
2020-03-04,3128.4815576459655
2020-03-05,3128.442034801864
2020-03-06,3019.7639182160865
2020-03-09,2814.4747446440497
2020-03-10,2885.129095203532
2020-03-11,2850.9000496466615
2020-03-12,2728.104011848344
