Date,GOLDEN DRAGON WITH PARTIAL A SHARES
2008-11-27,1058.8044367784858
2008-11-28,1093.3112383156283
2008-12-30,1041.6047616638182
2008-12-31,1069.3568242273302
2009-01-29,1048.3506381643792
2009-01-30,1083.5140549945122
2009-02-26,1076.0462532317645
2009-02-27,1076.3473073135085
2009-03-30,1155.685189357721
2009-03-31,1155.2574850885665
2009-04-29,1258.8060734299622
2009-04-30,1320.6699843534004
2009-05-28,1443.06521749799
2009-05-29,1442.3214045577715
2009-06-29,1452.1961109498338
2009-06-30,1446.7127350941605
2009-07-30,1590.9159044084981
2009-07-31,1600.7285120996419
2009-08-28,1505.3242756980892
2009-08-31,1485.1267426604923
2009-09-29,1573.985206533869
2009-09-30,1572.2667400138942
2009-10-29,1563.0406308641418
2009-10-30,1595.2976272419871
2009-11-27,1564.0209754004657
2009-11-30,1601.902071297967
2009-12-30,1705.9459274999401
2009-12-31,1729.3334229444401
2010-01-28,1655.3738944413997
2010-01-29,1649.6236465195927
2010-02-25,1696.0910137735011
2010-02-26,1693.7383709423232
2010-03-30,1834.5520803363574
2010-03-31,1807.667072727497
2010-04-29,1827.7587299446186
2010-04-30,1840.2498217338662
2010-05-28,1835.8966607476789
2010-05-31,1853.503259209208
2010-06-29,1888.8533538372503
2010-06-30,1868.416491030914
2010-07-29,1860.9390449456503
2010-07-30,1864.157508991569
2010-08-30,1900.0603063574242
2010-08-31,1880.2883888562897
2010-09-29,1940.6847050068902
2010-09-30,1933.8648229512012
2010-10-28,1969.5570223280893
2010-10-29,1963.040109921074
2010-11-29,2089.6439461787586
2010-11-30,2089.6567890183273
2010-12-30,2106.452263011212
2010-12-31,2094.954554267365
2011-01-28,2094.039039291022
2011-01-31,2072.0330105387925
2011-02-25,1957.7752533591122
2011-02-28,1968.8991920051285
2011-03-30,1979.783750048511
2011-03-31,1978.813146843223
2011-04-28,1961.9358951190966
2011-04-29,1955.3375414284685
2011-05-30,1995.047284283197
2011-05-31,2020.8114475840337
2011-06-29,1911.01908551433
