Date,AUSTRALIA SRI
2007-09-28,1000.0
2007-10-01,1004.7605826459403
2007-10-02,1015.506028865162
2007-10-03,1023.7966316688829
2007-10-04,1013.7520911482533
2007-10-05,1029.722086902826
2007-10-08,1037.0679170068852
2007-10-09,1046.1175459298343
2007-10-10,1045.5913633236794
2007-10-11,1044.8490153770247
2007-10-12,1042.2149782948804
2007-10-15,1033.0290664916968
2007-10-16,1005.3649884245987
2007-10-17,1007.9345184280146
2007-10-18,1018.1083595780669
2007-10-19,1011.1911590082758
2007-10-22,987.1891780975964
2007-10-23,1015.5715398683548
2007-10-24,1020.325458186088
2007-10-25,1027.8725375615961
2007-10-26,1050.474006670169
2007-10-29,1064.5157026277932
2007-10-30,1053.4040984845342
2007-10-31,1066.2329621799884
2007-11-01,1067.1607293488814
2007-11-02,1044.0361727141778
2007-11-05,1032.1513017816771
2007-11-06,1035.476169802455
2007-11-07,1049.927448397032
2007-11-08,1015.2067651844569
2007-11-09,1005.8184562512296
2007-11-12,961.82258286049
2007-11-13,979.0502747413121
2007-11-14,1000.5619654811065
2007-11-15,980.581259010884
2007-11-16,966.176610277894
2007-11-19,971.9525648849097
2007-11-20,951.7251509761487
2007-11-21,918.0665430896154
2007-11-22,912.4498854592184
2007-11-23,914.830675848179
2007-11-26,931.2989541378043
2007-11-27,924.829986300796
2007-11-28,934.0264536696421
2007-11-29,936.788222019627
2007-11-30,955.3022718413617
2007-12-03,955.6332334675794
2007-12-04,942.1590899371774
2007-12-05,942.3477446209671
2007-12-06,957.1383389369513
2007-12-07,972.5101963078558
2007-12-10,968.0801833106377
2007-12-11,979.1832202098913
2007-12-12,977.2851132024092
2007-12-13,971.2499709329593
2007-12-14,952.9480620796015
2007-12-17,925.9697054434961
2007-12-18,926.9050801864605
2007-12-19,917.3365612475897
2007-12-20,910.8415822098419
2007-12-21,931.1842334153627
2007-12-24,940.143696954134
2007-12-25,940.143696954134
2007-12-26,936.2446950361049
2007-12-27,935.0628084747323
2007-12-28,924.9394321229597
2007-12-31,935.7339025382605
2008-01-01,935.7339025382605
2008-01-02,932.0460020172397
