Date,EM FAR EAST MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,994.1149236214966
2001-06-04,995.4143626970852
2001-06-05,995.0244085349185
2001-06-06,1002.6445333599833
2001-06-07,997.0430457018396
2001-06-08,1015.0797110523409
2001-06-11,1023.2580797472644
2001-06-12,1016.145695007569
2001-06-13,1011.6759118222494
2001-06-14,992.6852294749621
2001-06-15,991.8338708955841
2001-06-18,979.2821225429284
2001-06-19,981.9256360508755
2001-06-20,984.0936903572675
2001-06-21,984.0927706157582
2001-06-22,980.993467750737
2001-06-25,973.9530904314747
2001-06-26,964.2861508567572
2001-06-27,969.1789268332221
2001-06-28,972.289281519639
2001-06-29,991.982621095847
2001-07-02,989.6080863239639
2001-07-03,987.8804419335034
2001-07-04,981.723005271142
2001-07-05,994.5979093496587
2001-07-06,984.3102050968032
2001-07-09,968.1617879149323
2001-07-10,957.2662404298162
2001-07-11,933.4725396177134
2001-07-12,947.0640360604116
2001-07-13,935.9190841631541
2001-07-16,921.650332817578
2001-07-17,922.2084658679162
2001-07-18,889.3794006678722
2001-07-19,888.4993412012375
2001-07-20,885.6368714836739
2001-07-23,877.9807746817417
2001-07-24,861.7601419662282
2001-07-25,863.8480517894428
2001-07-26,882.0186937695778
2001-07-27,892.0581303433488
2001-07-30,885.7753030346875
2001-07-31,890.6724789192912
2001-08-01,893.0708488166433
2001-08-02,903.4950256220658
2001-08-03,904.1185785591002
2001-08-06,899.4780112049542
2001-08-07,903.3857539003063
2001-08-08,913.2552287010435
2001-08-09,887.3060828517025
2001-08-10,883.8057746150654
2001-08-13,888.7757262662415
2001-08-14,904.1687028075929
2001-08-15,895.1247912990365
2001-08-16,899.4843419356273
2001-08-17,889.8370579944938
2001-08-20,883.2800009167767
2001-08-21,884.9169245407081
2001-08-22,873.5421937969355
2001-08-23,880.3416654275931
2001-08-24,874.9348542034562
2001-08-27,895.0167163349143
2001-08-28,888.3737289855105
2001-08-29,893.7171028933669
2001-08-30,893.865874513611
2001-08-31,887.8193328740969
2001-09-03,885.2896202708318
2001-09-04,908.9994545862613
2001-09-05,905.0222419083843
2001-09-06,897.9500592656447
2001-09-07,883.6709624377231
2001-09-10,882.608026165469
2001-09-11,863.5512854473463
2001-09-12,834.7979556235982
2001-09-13,822.3742684382718
2001-09-14,783.9750661943704
2001-09-17,763.5637072557709
2001-09-18,766.7531655133434
2001-09-19,773.319614227555
2001-09-20,766.4811840541546
2001-09-21,758.2538233605165
2001-09-24,757.398217991643
2001-09-25,742.6752094858663
2001-09-26,749.7183068786647
2001-09-27,752.4158945146481
2001-09-28,772.5186431696704
2001-10-01,765.7756229090488
2001-10-02,754.6040421304643
2001-10-03,750.9531844888722
2001-10-04,770.1968631449619
2001-10-05,770.7068585687639
2001-10-08,757.5154133485079
2001-10-09,773.0125612865246
2001-10-10,775.3285879657217
2001-10-11,799.9661120773274
2001-10-12,795.531308688567
2001-10-15,790.5585683561038
2001-10-16,798.2923367908128
2001-10-17,803.8196451428851
2001-10-18,802.428349540488
2001-10-19,808.9612460183359
2001-10-22,815.972472667329
2001-10-23,823.2064689970015
2001-10-24,834.2978808141385
2001-10-25,832.4304872369578
2001-10-26,837.3061320135797
2001-10-29,823.6631978681361
2001-10-30,805.2187553029322
2001-10-31,813.630992757823
2001-11-01,808.852004985907
2001-11-02,818.0068021623997
2001-11-05,832.1535937331327
2001-11-06,831.7518185843597
2001-11-07,830.8975356348096
2001-11-08,845.8668721082303
2001-11-09,850.5196354903669
2001-11-12,854.6221745174696
2001-11-13,865.0529003616845
2001-11-14,878.7098867710087
2001-11-15,895.7279723496864
2001-11-16,898.8519975986783
2001-11-19,914.1893366148992
2001-11-20,903.7680663753674
2001-11-21,920.4183229330832
2001-11-22,921.9320384021546
2001-11-23,941.241246823047
2001-11-26,959.2804783832877
2001-11-27,950.0981476625637
2001-11-28,917.2114984293335
2001-11-29,919.064493142406
2001-11-30,915.9062243030568
2001-12-03,935.9729963432598
2001-12-04,940.6742432339341
2001-12-05,970.0062089612204
2001-12-06,984.5359362829349
2001-12-07,1001.9862048235161
2001-12-10,990.7038463576735
2001-12-11,984.8174095780143
2001-12-12,1001.4313057754674
2001-12-13,987.9955741024755
2001-12-14,981.0599713904733
2001-12-17,969.0108310940334
2001-12-18,962.0601299207506
2001-12-19,956.7361665977846
2001-12-20,973.1816243715032
2001-12-21,961.9209084748334
2001-12-24,977.3459933646828
2001-12-25,989.1198411035896
2001-12-26,989.3265494225584
2001-12-27,983.6118679905233
2001-12-28,1007.2190031125359
2001-12-31,1012.7143159198039
2002-01-01,1012.7143159198039
2002-01-02,1012.5399843001103
2002-01-03,1016.4732622252861
2002-01-04,1040.2527575392742
2002-01-07,1065.0306234558986
2002-01-08,1051.4093986649405
2002-01-09,1063.0112799046149
2002-01-10,1043.3646785578155
2002-01-11,1035.1072098779355
2002-01-14,1031.6117973322719
2002-01-15,1019.8808129045661
2002-01-16,1020.5688291486268
2002-01-17,1027.6730095896482
2002-01-18,1026.9787499475897
2002-01-21,1049.7657258775203
2002-01-22,1046.8364071459723
2002-01-23,1056.2467898162504
2002-01-24,1073.5217280780764
2002-01-25,1113.7082495249942
2002-01-28,1127.524070826058
2002-01-29,1118.4592390323799
2002-01-30,1100.7414672161574
2002-01-31,1116.8311623079226
2002-02-01,1110.513898183212
2002-02-04,1098.2882073492437
2002-02-05,1097.6223663686333
2002-02-06,1103.3214021632175
2002-02-07,1091.9958497239707
2002-02-08,1095.8155950845382
2002-02-11,1090.2833663138263
2002-02-12,1092.962515366367
2002-02-13,1099.414960847366
2002-02-14,1136.7084381715351
2002-02-15,1133.2421803193224
2002-02-18,1142.6198492100523
2002-02-19,1126.716448156961
2002-02-20,1119.0303788913602
2002-02-21,1118.285284819778
2002-02-22,1107.3029746130373
2002-02-25,1103.5311217185854
2002-02-26,1106.9133789803855
2002-02-27,1138.5185031287554
2002-02-28,1137.9932478367639
2002-03-01,1140.1811039028091
2002-03-04,1162.1072039431995
2002-03-05,1174.081770131065
2002-03-06,1178.317694142234
2002-03-07,1167.1975077552147
2002-03-08,1170.4159180333334
2002-03-11,1186.267105371512
2002-03-12,1200.1952108361309
2002-03-13,1190.1519034222722
2002-03-14,1184.88161271097
2002-03-15,1177.2914259569754
2002-03-18,1184.5114663138788
2002-03-19,1186.4528933155802
2002-03-20,1190.986511551426
2002-03-21,1195.2452412008186
2002-03-22,1215.405120110769
2002-03-25,1211.320548492872
