Date,BRIC MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,998.2885818990279
2001-06-04,1010.5789300581706
2001-06-05,1007.284512735894
2001-06-06,1004.1140429725795
2001-06-07,1001.698932289424
2001-06-08,1008.8209894253656
2001-06-11,1013.5822306929826
2001-06-12,993.2294006218262
2001-06-13,987.3727445868454
2001-06-14,963.8998539887123
2001-06-15,950.5957431271898
2001-06-18,926.8320384706893
2001-06-19,939.9444895663105
2001-06-20,952.431680185768
2001-06-21,969.687958975167
2001-06-22,980.8663452961648
2001-06-25,970.8733839410468
2001-06-26,969.6881754145536
2001-06-27,964.5265997553672
2001-06-28,979.6713000750757
2001-06-29,986.3015356152125
2001-07-02,979.0382479563601
2001-07-03,964.0024351854273
2001-07-04,950.4982026595193
2001-07-05,951.9161689905349
2001-07-06,924.3618784732007
2001-07-09,920.623515877062
2001-07-10,900.3361377952161
2001-07-11,885.5275461953133
2001-07-12,906.5710896110736
2001-07-13,909.2732559277522
2001-07-16,891.8229029149817
2001-07-17,904.8801159723329
2001-07-18,883.609483590737
2001-07-19,874.3353306810701
2001-07-20,881.2813178740863
2001-07-23,894.25135411577
2001-07-24,881.2948270969944
2001-07-25,869.1740099164625
2001-07-26,870.5889850884087
2001-07-27,875.735415980723
2001-07-30,878.029216077037
2001-07-31,882.3317029389847
2001-08-01,866.6070234295269
2001-08-02,864.4419924296706
2001-08-03,858.6164786515955
2001-08-06,866.4038590901797
2001-08-07,874.830138890534
2001-08-08,869.5066856742739
2001-08-09,856.0102745055071
2001-08-10,849.710826322674
2001-08-13,840.5308634254343
2001-08-14,846.5540175767779
2001-08-15,834.8728840523376
2001-08-16,826.7655634337767
2001-08-17,807.8945030864047
2001-08-20,808.8590640244381
2001-08-21,807.1025268272269
2001-08-22,797.2192787771745
2001-08-23,800.3732234153877
2001-08-24,799.1462701456624
2001-08-27,801.7649790246562
2001-08-28,803.3887349511164
2001-08-29,803.5577279757205
2001-08-30,799.1757645636304
2001-08-31,797.1166772921889
2001-09-03,793.41674346663
2001-09-04,809.45883879354
2001-09-05,813.4129742078206
2001-09-06,800.1877057944439
2001-09-07,785.8894902529923
2001-09-10,779.5399041827751
2001-09-11,742.409210989584
2001-09-12,728.1781471657646
2001-09-13,698.4690633204265
2001-09-14,672.7370207289509
2001-09-17,677.7252432457127
2001-09-18,682.9132034261099
2001-09-19,689.7575223202455
2001-09-20,676.4789527115109
2001-09-21,665.4226239868107
2001-09-24,679.5113470066324
2001-09-25,668.4288391299386
2001-09-26,660.5949846246582
2001-09-27,675.7101971946703
2001-09-28,701.1032725868083
2001-10-01,692.4784689374906
2001-10-02,687.3425758166524
2001-10-03,678.219953504193
2001-10-04,687.7600444297792
2001-10-05,685.694042992284
2001-10-08,674.9647052005565
2001-10-09,688.7488557854056
2001-10-10,707.1695598757809
2001-10-11,723.7172422399627
2001-10-12,713.8624691075836
2001-10-15,723.7227843032775
2001-10-16,723.0458585021571
2001-10-17,735.3367572311254
2001-10-18,722.9791457417583
2001-10-19,733.2699246161793
2001-10-22,747.682497773502
2001-10-23,763.3713119371818
2001-10-24,756.302317621289
2001-10-25,753.6578734960614
2001-10-26,763.5400849423548
2001-10-29,747.2248629963341
2001-10-30,736.4883958213221
2001-10-31,755.0621509897154
2001-11-01,758.4060486036603
2001-11-02,762.6940780787025
2001-11-05,795.5527001478227
2001-11-06,802.6829241207352
2001-11-07,794.5220625404862
2001-11-08,813.5683233479584
2001-11-09,819.9750867749267
2001-11-12,812.2456418115011
2001-11-13,835.4844107376533
2001-11-14,831.0064537232157
2001-11-15,835.9068011131004
2001-11-16,830.6334129859555
2001-11-19,847.5406184304212
2001-11-20,831.2204564976146
2001-11-21,840.7077766519047
2001-11-22,846.5376671072987
2001-11-23,857.5239547878562
2001-11-26,867.0119528617829
2001-11-27,863.9197377790422
2001-11-28,839.9934991323565
2001-11-29,830.8547367245546
2001-11-30,824.9500181117675
2001-12-03,845.7740461932873
2001-12-04,853.604178471521
2001-12-05,864.8977395352952
2001-12-06,869.9551344801183
2001-12-07,867.7798143107631
2001-12-10,881.1667498201606
2001-12-11,880.9993093547621
2001-12-12,868.6069391789728
2001-12-13,847.0782729845865
2001-12-14,836.9284610399491
2001-12-17,839.951789418413
2001-12-18,851.4474414023971
2001-12-19,855.0120995471239
2001-12-20,852.0112417120114
2001-12-21,861.3416471369756
2001-12-24,870.7899668344229
2001-12-25,870.4153889389781
2001-12-26,871.1025763320534
2001-12-27,871.9650538679617
2001-12-28,875.9661468926512
2001-12-31,874.8517950189716
2002-01-01,874.6589649699084
2002-01-02,872.0628971384881
2002-01-03,895.6551913543029
2002-01-04,902.5634157156321
2002-01-07,906.8345336205316
2002-01-08,906.7345161128316
2002-01-09,897.807104348773
2002-01-10,878.342419081509
2002-01-11,879.7993940870355
2002-01-14,867.6865576759795
2002-01-15,868.8185150353938
2002-01-16,874.3836877985838
2002-01-17,891.8539701251442
2002-01-18,893.5839600871709
2002-01-21,889.1465396460221
2002-01-22,888.2944974044098
2002-01-23,889.9268200298395
2002-01-24,887.8389074071264
2002-01-25,900.4875231472379
2002-01-28,905.3841647607268
2002-01-29,896.5454279948186
2002-01-30,889.0106955974113
2002-01-31,903.5053162592757
2002-02-01,902.6831960529217
2002-02-04,895.6338712513166
2002-02-05,900.7219280172417
2002-02-06,909.8990333258392
2002-02-07,905.529772930149
2002-02-08,903.9209277741992
2002-02-11,901.8646278001064
2002-02-12,903.0625167935877
2002-02-13,920.0023561822617
2002-02-14,930.9594770760534
2002-02-15,932.7465422946688
2002-02-18,937.8207430361641
2002-02-19,926.3213425648165
2002-02-20,928.2989951136731
2002-02-21,938.3431193876689
2002-02-22,936.1966579459242
2002-02-25,952.1314343657865
2002-02-26,961.7058187387604
2002-02-27,975.2666096556649
2002-02-28,965.1517154871639
2002-03-01,981.897744465545
2002-03-04,988.8499112909838
2002-03-05,980.559314937012
2002-03-06,969.1748908576145
2002-03-07,967.343155933682
2002-03-08,977.4046090173146
2002-03-11,968.4302019983147
2002-03-12,981.9712908136279
2002-03-13,987.5188492359163
2002-03-14,979.867159235269
2002-03-15,982.7723991172269
2002-03-18,981.8926910833906
2002-03-19,977.2906033385318
2002-03-20,974.667505710057
2002-03-21,965.5864358343786
2002-03-22,957.1271574486111
2002-03-25,955.7737143133297
2002-03-26,963.9740242342964
2002-03-27,972.8599792213105
2002-03-28,977.307354471673
2002-03-29,976.7552064121791
2002-04-01,978.7836527634545
2002-04-02,976.6575108466817
2002-04-03,973.2609114955826
2002-04-04,976.4590342341497
2002-04-05,983.1930058035675
2002-04-08,987.669672115389
2002-04-09,989.327106516831
2002-04-10,993.2338938956926
2002-04-11,986.1872032033264
