Date,EM EUROPE MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1017.1404448476541
2001-06-04,1027.062643301629
2001-06-05,1007.7329888485112
2001-06-06,1009.9029089868773
2001-06-07,1001.0919576378706
2001-06-08,1006.8143948427498
2001-06-11,996.2816106929589
2001-06-12,984.513996948388
2001-06-13,971.3760644482409
2001-06-14,980.2533951341816
2001-06-15,981.0350485830359
2001-06-18,967.1969597773532
2001-06-19,974.0357965760612
2001-06-20,970.0712910878872
2001-06-21,978.1386847044394
2001-06-22,993.5257912069757
2001-06-25,975.3114521976908
2001-06-26,974.3941486551048
2001-06-27,978.9815321007217
2001-06-28,981.1833263375843
2001-06-29,979.4889876589566
2001-07-02,974.5794347743645
2001-07-03,963.8925206124017
2001-07-04,968.6075394140834
2001-07-05,973.7794850037577
2001-07-06,919.7309389281003
2001-07-09,900.5266665123498
2001-07-10,884.9434706780073
2001-07-11,836.0566186354175
2001-07-12,869.8520673388094
2001-07-13,871.6050158996358
2001-07-16,860.9980140816923
2001-07-17,852.708146723004
2001-07-18,851.8345331360156
2001-07-19,873.6628499185874
2001-07-20,864.8812179768528
2001-07-23,879.7962908783646
2001-07-24,872.7037853910148
2001-07-25,865.1187917303436
2001-07-26,891.9816761972965
2001-07-27,886.0393980732777
2001-07-30,884.940352925309
2001-07-31,873.8426453693944
2001-08-01,872.3719307205263
2001-08-02,873.1612615190578
2001-08-03,870.2073149310347
2001-08-06,859.3485510085111
2001-08-07,850.3878844436605
2001-08-08,848.9172798308044
2001-08-09,838.7325690235634
2001-08-10,836.6544079252856
2001-08-13,826.8366900826298
2001-08-14,833.1415384350511
2001-08-15,816.194624284098
2001-08-16,808.2001341600848
2001-08-17,805.5187359465792
2001-08-20,813.3206161911403
2001-08-21,814.2678827214919
2001-08-22,815.6350801278903
2001-08-23,828.074977098906
2001-08-24,841.1958551223636
2001-08-27,854.3503144486805
2001-08-28,862.1510772894632
2001-08-29,850.0115946125276
2001-08-30,848.0231555109489
2001-08-31,849.8957894807332
2001-09-03,851.5897710372072
2001-09-04,858.5915921860932
2001-09-05,863.0365598557833
2001-09-06,872.7871601189021
2001-09-07,854.3970408976805
2001-09-10,845.0732489941099
2001-09-11,814.9741769652813
2001-09-12,800.5357157561197
2001-09-13,794.3356170003893
2001-09-14,756.4606702483375
2001-09-17,743.0422271480433
2001-09-18,750.445819181602
2001-09-19,764.2291074532387
2001-09-20,742.0229347563409
2001-09-21,717.2358277087736
2001-09-24,720.9686552108213
2001-09-25,714.4752953199447
2001-09-26,714.7412542786097
2001-09-27,714.9328096553795
2001-09-28,734.22604965007
2001-10-01,731.9931968792201
2001-10-02,734.5336611584463
2001-10-03,711.549587302885
2001-10-04,725.3687873790559
2001-10-05,722.9302309003591
2001-10-08,717.2229476982716
2001-10-09,726.9089735144455
2001-10-10,754.631738425865
2001-10-11,794.5555647583192
2001-10-12,785.9906982836177
2001-10-15,781.6140495055018
2001-10-16,785.8241919434208
2001-10-17,799.8194010032566
2001-10-18,792.122417491658
2001-10-19,787.1893110774541
2001-10-22,809.2066309990354
2001-10-23,825.8160781444479
2001-10-24,828.8285165418247
2001-10-25,817.266491454145
2001-10-26,842.3831366389209
2001-10-29,836.9755500818571
2001-10-30,834.6889516166641
2001-10-31,842.2404779753169
2001-11-01,839.2413754334464
2001-11-02,843.6855869679162
2001-11-05,867.2558757871534
2001-11-06,870.2495189974908
2001-11-07,866.0953535009103
2001-11-08,902.5793840658406
2001-11-09,903.7363315786133
2001-11-12,896.5261827987948
2001-11-13,938.4253486365204
2001-11-14,945.2862919471402
2001-11-15,934.8418729661332
2001-11-16,927.1709800212401
2001-11-19,960.4627316984418
2001-11-20,956.5846113972923
2001-11-21,946.275861576035
2001-11-22,961.0497635058435
2001-11-23,957.5836565330466
2001-11-26,969.0960525827052
2001-11-27,960.3576821595636
2001-11-28,940.9247855484036
2001-11-29,933.1133826325338
2001-11-30,942.5176125208231
2001-12-03,948.1322305584079
2001-12-04,965.561936967824
2001-12-05,976.9900887143286
2001-12-06,993.049504667387
2001-12-07,985.2462572897866
2001-12-10,984.3087883351079
2001-12-11,987.6491119522191
2001-12-12,986.8886602452294
2001-12-13,963.0073289123302
2001-12-14,954.6822462110543
2001-12-17,966.2914491476893
2001-12-18,973.6573924913017
2001-12-19,984.8402990467575
2001-12-20,985.5600276104342
2001-12-21,995.0203673874345
