Date,EM LATIN AMERICA MINIMUM VOLATILITY(USD)
2001-05-31,1000.0
2001-06-01,1000.5840256733227
2001-06-04,1011.5966387886912
2001-06-05,1009.1934812454086
2001-06-06,1014.052280230009
2001-06-07,1015.0294026302414
2001-06-08,1019.9890611857362
2001-06-11,1024.472873838132
2001-06-12,1012.0590202673955
2001-06-13,1008.0277199722503
2001-06-14,998.2293783363002
2001-06-15,978.9515920655347
2001-06-18,953.5645956964521
2001-06-19,949.050025620289
2001-06-20,964.2405319857704
2001-06-21,978.4640124320359
2001-06-22,985.1081636726913
2001-06-25,980.2491336710809
2001-06-26,975.1975920091696
2001-06-27,972.5559606695987
2001-06-28,990.0740294786439
2001-06-29,995.3945698078567
2001-07-02,1003.4372543458927
2001-07-03,995.1692961231805
2001-07-04,985.1575895547314
2001-07-05,987.2469157460943
2001-07-06,959.7381443537648
2001-07-09,961.4388253385547
2001-07-10,940.1752178489694
2001-07-11,907.373738485571
2001-07-12,906.5351922603875
2001-07-13,909.3057436645192
2001-07-16,893.045105289623
2001-07-17,916.2798923013038
2001-07-18,899.5573221315328
2001-07-19,892.9683766155964
2001-07-20,897.1792558840505
2001-07-23,913.6131480698933
2001-07-24,897.437371827897
2001-07-25,886.5928428364435
2001-07-26,893.7305470756384
2001-07-27,899.6257810074607
2001-07-30,905.9466273300844
2001-07-31,907.049918576566
2001-08-01,890.2030371467679
2001-08-02,897.1990776303201
2001-08-03,894.3428976460636
2001-08-06,900.4015195110319
2001-08-07,908.6015398325047
2001-08-08,911.2420422363107
2001-08-09,900.6153215731202
2001-08-10,894.467944028184
2001-08-13,892.1995536277122
2001-08-14,890.838050294537
2001-08-15,876.5267740858978
2001-08-16,874.9749966099401
2001-08-17,848.627949466829
2001-08-20,852.2993411567525
2001-08-21,850.9533716454847
2001-08-22,853.0529994465151
2001-08-23,854.5698639839853
2001-08-24,861.5394560848905
2001-08-27,863.5264752982874
2001-08-28,863.0349933243289
2001-08-29,871.5476010555686
2001-08-30,865.6963458049676
2001-08-31,863.417540184845
2001-09-03,856.9653543049809
2001-09-04,869.7999401559209
2001-09-05,869.5264506009929
2001-09-06,848.3857012124432
2001-09-07,833.993670526876
2001-09-10,825.107816666021
2001-09-11,764.8901810771523
2001-09-12,773.3644376562247
2001-09-13,747.0927607569389
2001-09-14,732.1075699324405
2001-09-17,734.8004360817124
2001-09-18,737.4642469168454
2001-09-19,727.6038282940483
2001-09-20,702.2318183029817
2001-09-21,699.9453937947469
2001-09-24,718.5781745699531
2001-09-25,713.3993692551335
2001-09-26,706.1880148619161
2001-09-27,709.6199803413909
2001-09-28,719.9214436639903
2001-10-01,711.838636296329
2001-10-02,706.0022198509374
2001-10-03,697.0606610254304
2001-10-04,704.2695772532036
2001-10-05,698.2030126466283
2001-10-08,693.4209902635647
2001-10-09,700.667661067458
2001-10-10,723.4896982343109
2001-10-11,746.3381969257674
2001-10-12,731.5803297067049
2001-10-15,734.6998945614359
2001-10-16,740.9325185210015
2001-10-17,753.1305973827214
2001-10-18,747.8539804609886
2001-10-19,757.3609870548929
2001-10-22,770.2934684920681
2001-10-23,769.1877037727154
2001-10-24,769.7516994568025
