Date,EM EMEA MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,994.824711755832
2001-06-04,996.256437000272
2001-06-05,993.7903484742786
2001-06-06,991.4052366147196
2001-06-07,985.5829515288602
2001-06-08,990.587632897675
2001-06-11,990.2492381848599
2001-06-12,976.5200485106361
2001-06-13,977.0179065827224
2001-06-14,972.2722026242262
2001-06-15,973.2068636879256
2001-06-18,966.6387935173374
2001-06-19,976.7721901556279
2001-06-20,972.4279743723862
2001-06-21,975.7591234139062
2001-06-22,980.8697762622846
2001-06-25,977.2621349712413
2001-06-26,976.3187693982342
2001-06-27,982.3969073274267
2001-06-28,991.7887333623434
2001-06-29,993.982649390029
2001-07-02,998.6047396289821
2001-07-03,986.7585840562738
2001-07-04,978.8035132218043
2001-07-05,976.9181135105123
2001-07-06,955.5783622854461
2001-07-09,946.8573639361902
2001-07-10,940.8566360941487
2001-07-11,921.8206330461186
2001-07-12,941.3962457954597
2001-07-13,944.5193073955876
2001-07-16,938.0618561468771
2001-07-17,931.0223639073193
2001-07-18,912.1559667588765
2001-07-19,925.3754160123322
2001-07-20,914.8622321874457
2001-07-23,927.063711364289
2001-07-24,916.9359708948303
2001-07-25,911.5128827918552
2001-07-26,922.28821413783
2001-07-27,925.0868768412204
2001-07-30,927.0148195223578
2001-07-31,919.5158997325415
2001-08-01,923.8283033762312
2001-08-02,931.8769678546372
2001-08-03,925.5464330696071
2001-08-06,920.5800127093335
2001-08-07,915.4886263994138
2001-08-08,912.0087479405776
2001-08-09,899.4580315851601
2001-08-10,896.0739321962327
2001-08-13,896.1767452897026
2001-08-14,901.4700936829714
2001-08-15,886.7542122212985
2001-08-16,880.544415082575
2001-08-17,875.243782628975
2001-08-20,875.3266818550438
2001-08-21,875.8390517319995
2001-08-22,876.4439892543239
2001-08-23,886.6677441320988
2001-08-24,893.091766133304
2001-08-27,901.254836468786
2001-08-28,902.3513554541227
2001-08-29,897.9616367095072
2001-08-30,892.38168602216
2001-08-31,891.5426458218963
2001-09-03,889.5759046510834
2001-09-04,902.2548625159152
2001-09-05,903.9430027588025
2001-09-06,900.4986796285707
2001-09-07,886.6332451260548
2001-09-10,881.3418140840294
