Date,GHANA SMALL CAP
2010-11-30,1000.0
2010-12-01,1003.0075394498332
2010-12-02,1013.0371186219659
2010-12-03,1013.0371186219659
2010-12-06,1008.6855846072667
2010-12-07,1097.4326817948622
2010-12-08,1127.4512092825676
2010-12-09,1138.368789308068
2010-12-10,1121.2591321653767
2010-12-13,1098.5596034844325
2010-12-14,1129.9756591756661
2010-12-15,1083.8101013033995
2010-12-16,1162.157286481917
2010-12-17,1159.3115527429504
2010-12-20,1195.155059142626
2010-12-21,1160.7792216284452
2010-12-22,1143.6477591508556
2010-12-23,1121.6558794453754
2010-12-24,1124.9395749991895
2010-12-27,1127.8068806279045
2010-12-28,1127.8068806279045
2010-12-29,1137.5693020093297
2010-12-30,1167.8137973226428
2010-12-31,1198.0084461793172
2011-01-03,1197.6054833652643
2011-01-04,1196.800370435271
2011-01-05,1164.1167121602782
2011-01-06,1166.4716347067924
2011-01-07,1165.3214951942712
2011-01-10,1168.8706977177055
2011-01-11,1168.9840748024203
2011-01-12,1187.6273665062333
2011-01-13,1185.8279311024362
2011-01-14,1189.8209936234489
2011-01-17,1187.3254702202432
2011-01-18,1186.727556538064
2011-01-19,1183.1510461662292
2011-01-20,1175.7887187395145
2011-01-21,1170.6429846973824
2011-01-24,1157.760997821905
2011-01-25,1155.7994328933958
2011-01-26,1143.8008661934482
2011-01-27,1140.6216999281378
2011-01-28,1148.8600537347302
2011-01-31,1140.2791555010256
2011-02-01,1133.8832393671262
2011-02-02,1131.1490276990942
2011-02-03,1132.160068340407
2011-02-04,1139.8730179647112
2011-02-07,1156.8486161245846
2011-02-08,1176.320325504899
2011-02-09,1169.2643698671359
2011-02-10,1171.5766922861217
2011-02-11,1155.8319820784445
2011-02-14,1150.0172359553649
2011-02-15,1141.8736362442014
2011-02-16,1123.7561480262875
2011-02-17,1129.5892391507186
2011-02-18,1130.5348186243086
2011-02-21,1124.51032000716
2011-02-22,1118.364437171745
2011-02-23,1108.7384995595376
2011-02-24,1108.9221567567479
2011-02-25,1105.7129793892636
2011-02-28,1095.2992960368551
2011-03-01,1086.8044005065362
2011-03-02,1081.8222180069372
2011-03-03,1049.9830205970077
2011-03-04,1044.9916154374303
2011-03-07,1044.1329534691167
2011-03-08,1070.113052097975
2011-03-09,1077.0026985169075
2011-03-10,1087.3256591298295
2011-03-11,1085.4579431657635
2011-03-14,1094.1048288872405
2011-03-15,1089.9909804215863
2011-03-16,1106.3696182656781
2011-03-17,1103.4818672228967
2011-03-18,1103.3018832288951
2011-03-21,1097.518968430377
2011-03-22,1095.90241585762
2011-03-23,1093.3854731711147
2011-03-24,1086.7580409362135
2011-03-25,1084.6117432641895
2011-03-28,1084.6117432641895
2011-03-29,1083.7062556992626
2011-03-30,1090.1145055687064
2011-03-31,1114.0777843712442
2011-04-01,1118.5192904883388
2011-04-04,1110.442082737449
2011-04-05,1107.602736033752
2011-04-06,1104.253577920734
2011-04-07,1117.577196068887
2011-04-08,1139.8845241673873
2011-04-11,1120.4824212238977
2011-04-12,1118.0721702801004
2011-04-13,1112.4679506651946
2011-04-14,1139.1010858171692
2011-04-15,1139.448341048096
2011-04-18,1169.2367488544035
2011-04-19,1189.7040997792258
2011-04-20,1187.7686040629696
2011-04-21,1193.165620075968
