Date,ARGENTINA SMALL CAP
2010-11-30,1000.0
2010-12-01,1010.1010101010102
2010-12-02,1009.0377458798513
2010-12-03,1010.1010101010103
2010-12-06,1010.1010101010103
2010-12-07,1005.3163211057949
2010-12-08,991.4938862307283
2010-12-09,997.873471557682
2010-12-10,1008.5061137692717
2010-12-13,1009.5693779904306
2010-12-14,1001.5948963317385
2010-12-15,995.2153110047848
2010-12-16,1007.9744816586924
2010-12-17,1010.6326422115898
2010-12-20,976.0765550239234
2010-12-21,1005.3163211057948
2010-12-22,1008.5061137692717
2010-12-23,1006.9112174375334
2010-12-24,1006.9112174375334
2010-12-27,980.8612440191388
2010-12-28,962.2541201488572
2010-12-29,972.3551302498671
2010-12-30,985.6459330143541
2010-12-31,1009.0377458798513
2011-01-03,995.2153110047848
2011-01-04,960.6592238171188
2011-01-05,984.5826687931954
2011-01-06,995.1903242955877
2011-01-07,1000.6078002035658
2011-01-10,994.1068291139921
2011-01-11,1003.8582857483527
2011-01-12,1028.778674925052
2011-01-13,1027.6951797434565
2011-01-14,1025.5281893802653
2011-01-17,1025.5281893802653
2011-01-18,1038.530131559413
2011-01-19,1021.7359562446804
2011-01-20,1029.3204225158497
2011-01-21,1020.6524610630846
2011-01-24,1023.9029466078714
2011-01-25,1029.3204225158497
2011-01-26,1033.1126556514344
2011-01-27,1030.9456652882432
2011-01-28,969.1864399372922
2011-01-31,991.9398387508003
2011-02-01,1021.1942086538824
2011-02-02,1027.1534321526583
2011-02-03,1029.8621701066472
2011-02-04,1000.607800203565
2011-02-07,997.3573146587783
2011-02-08,1010.9010044287236
2011-02-09,996.2738194771827
2011-02-10,987.6058580244176
2011-02-11,988.6893532060132
2011-02-14,987.6058580244176
2011-02-15,964.3107116201115
2011-02-16,957.26799293974
2011-02-17,980.0213917532483
2011-02-18,961.6019736661225
2011-02-21,961.6019736661225
2011-02-22,930.722360990647
2011-02-23,924.2213899010732
2011-02-24,911.7611953127234
2011-02-25,924.2213899010732
2011-02-28,943.1825555789967
2011-03-01,930.722360990647
2011-03-02,937.2233320802208
2011-03-03,939.390322443412
2011-03-04,935.5980893078272
2011-03-07,935.0563417170295
2011-03-08,959.9767308937287
2011-03-09,954.0175073949528
2011-03-10,935.0563417170293
2011-03-11,930.180613399849
2011-03-14,912.8446904943189
2011-03-15,913.3864380851165
2011-03-16,919.3456615838926
2011-03-17,926.3883802642644
2011-03-18,932.8893513538379
2011-03-21,951.3087694409637
2011-03-22,953.4757598041551
2011-03-23,943.7243031697944
2011-03-24,943.1825555789966
2011-03-25,975.1456634360677
2011-03-28,988.1476056152152
2011-03-29,995.190324295587
2011-03-30,985.980615252024
2011-03-31,980.563139344046
2011-04-01,988.689353206013
2011-04-04,990.3145959784065
2011-04-05,989.7728483876085
2011-04-06,981.1048869348434
2011-04-07,974.6039158452696
2011-04-08,972.4369254820783
2011-04-11,963.2272164385156
2011-04-12,951.8505170317613
2011-04-13,925.3048850826683
2011-04-14,915.5534284483076
2011-04-15,915.5534284483076
2011-04-18,919.8874091746902
2011-04-19,925.8466326734663
2011-04-20,945.8912935329854
2011-04-21,956.7262453489417
2011-04-22,956.7262453489417
2011-04-25,951.8505170317613
2011-04-26,944.266050760592
2011-04-27,938.8485748526136
2011-04-28,942.0990603974006
2011-04-29,943.1825555789964
2011-05-02,941.5573128066028
2011-05-03,925.3048850826683
2011-05-04,890.6330392716083
2011-05-05,890.6330392716083
2011-05-06,907.4272145863405
2011-05-09,911.2194477219252
