Date,JAPAN MINIMUM VOLATILITY (JPY)
1988-05-31,1227.32650128
1988-06-30,1170.72453774
1988-07-29,1241.28700542
1988-08-31,1149.15336351
1988-09-30,1169.13305116
1988-10-31,1233.10332504
1988-11-30,1349.84694265
1988-12-30,1369.68171016
1989-01-31,1365.60771644
1989-02-28,1371.46763064
1989-03-31,1320.2151101
1989-04-28,1320.43493264
1989-05-31,1267.57185816
1989-06-30,1233.80549549
1989-07-31,1367.52362947
1989-08-31,1303.71014819
1989-09-29,1401.80374651
1989-10-31,1364.98458577
1989-11-30,1406.89945533
1989-12-29,1421.66845148
1990-01-31,1360.03852072
1990-02-28,1227.4647011
1990-03-30,1032.80440832
1990-04-30,1038.82703588
1990-05-31,1158.18294073
1990-06-29,1148.50123614
1990-07-31,1150.17971983
1990-08-31,1035.84291771
1990-09-28,876.8216943
1990-10-31,1075.38719358
1990-11-30,938.24311584
1990-12-31,957.94547641
1991-01-31,981.28233705
1991-02-28,1107.85990388
1991-03-29,1050.91828085
1991-04-30,1078.03240368
1991-05-31,1069.38148353
1991-06-28,1014.11349886
1991-07-31,1040.83947059
1991-08-30,973.98381537
1991-09-30,1048.33805588
1991-10-31,1076.38795398
1991-11-29,1013.7901379
1991-12-31,1045.69743492
1992-01-31,1004.72291613
1992-02-28,929.97083805
1992-03-31,842.14378522
1992-04-30,804.35970143
1992-05-29,863.68825123
1992-06-30,802.42324847
1992-07-31,783.95359749
1992-08-31,893.01762469
1992-09-30,872.29940138
1992-10-30,832.92791649
1992-11-30,863.28772889
1992-12-31,854.54923747
1993-01-29,856.33717372
1993-02-26,894.13786121
1993-03-31,1003.96492169
1993-04-30,1180.46282112
1993-05-31,1195.05113975
1993-06-30,1183.50301707
1993-07-30,1262.12109658
1993-08-31,1279.69633413
1993-09-30,1254.23172956
1993-10-29,1240.61242856
1993-11-30,1056.07293751
1993-12-31,1082.76027376
1994-01-31,1229.01372042
1994-02-28,1284.18275932
