Date,AUSTRALIA MINIMUM VOLATILITY (AUD)
2001-05-31,1000.0
2001-06-01,1007.4137052759726
2001-06-04,1016.3986288202728
2001-06-05,1015.7797094942812
2001-06-06,1024.8453260090985
2001-06-07,1039.7128720276105
2001-06-08,1047.233715038614
2001-06-11,1045.1330456321941
2001-06-12,1043.3549655029976
2001-06-13,1050.9026927365762
2001-06-14,1058.1146682290243
2001-06-15,1064.8205068853706
2001-06-18,1044.4314876684114
2001-06-19,1040.5911211010011
2001-06-20,1043.804649667168
2001-06-21,1044.383971482092
2001-06-22,1045.8959858560377
2001-06-25,1042.4414282680195
2001-06-26,1050.0590859487215
2001-06-27,1041.1130423342192
2001-06-28,1032.1799801324876
2001-06-29,1043.515730951757
2001-07-02,1034.447386950204
2001-07-03,1050.9329865619525
2001-07-04,1049.190904609628
2001-07-05,1027.9691378710613
2001-07-06,997.1415991808183
2001-07-09,997.4319829946861
2001-07-10,1007.9584419423294
2001-07-11,1006.6360843243132
2001-07-12,1008.2876982212937
2001-07-13,1014.5782175442483
2001-07-16,1024.3804502067499
2001-07-17,1009.5484252503179
2001-07-18,1023.4415135422875
2001-07-19,1023.1473262179677
2001-07-20,1007.2862000646326
2001-07-23,1007.3349984286871
2001-07-24,1000.2525762799513
2001-07-25,992.5250661101294
2001-07-26,983.7550298031128
2001-07-27,980.083919282942
2001-07-30,990.0472790928669
2001-07-31,997.2351058799093
2001-08-01,1025.9780169086425
2001-08-02,1042.1677925489196
2001-08-03,1037.409184059841
2001-08-06,1034.8886101200544
2001-08-07,1031.109971427492
2001-08-08,1034.2882391296532
2001-08-09,1031.2021995993096
2001-08-10,1027.84060475099
2001-08-13,1027.9689562683147
2001-08-14,1020.3940318822489
2001-08-15,1037.7001301396326
2001-08-16,1031.4466046077
2001-08-17,1047.042725848319
2001-08-20,1030.5454550464551
2001-08-21,1039.1329659370183
2001-08-22,1046.2533306013827
2001-08-23,1040.4229952616092
2001-08-24,1043.1778571591267
2001-08-27,1043.3701008529788
2001-08-28,1040.296145613369
2001-08-29,1038.2558822650453
2001-08-30,1034.3628609619311
2001-08-31,1011.1638598582076
2001-09-03,1016.927462380249
2001-09-04,1008.2234577722774
2001-09-05,1004.3361736480618
2001-09-06,1003.0818557566449
2001-09-07,989.5883799425022
2001-09-10,978.7790688967604
2001-09-11,994.2846666233683
2001-09-12,949.4462798305675
2001-09-13,951.6940098161858
2001-09-14,948.016192229284
2001-09-17,888.124658845446
2001-09-18,891.3252417063716
2001-09-19,898.2672308323833
2001-09-20,884.0686589015116
2001-09-21,856.9833928736596
2001-09-24,863.7476405115851
2001-09-25,881.5928242618515
2001-09-26,878.3078667304147
2001-09-27,879.6442660332821
2001-09-28,907.4661077400118
2001-10-01,918.1510329023556
2001-10-02,930.9579986321021
2001-10-03,929.0615187258281
2001-10-04,931.6048096194436
2001-10-05,961.5894916738484
2001-10-08,953.4284654271352
2001-10-09,950.5305390004883
2001-10-10,942.449114511042
2001-10-11,954.6600104918978
2001-10-12,967.8510232743074
2001-10-15,984.9418389084843
2001-10-16,988.103244522133
2001-10-17,997.5534182821054
2001-10-18,979.1767585815039
2001-10-19,966.2824791238573
2001-10-22,966.2568357814271
2001-10-23,976.9309224411185
2001-10-24,983.9679791461713
2001-10-25,980.7725579583262
2001-10-26,979.120631059827
2001-10-29,979.8435398485675
2001-10-30,983.0285043812489
2001-10-31,977.4790587496409
2001-11-01,988.4984294353226
2001-11-02,982.4672275766969
2001-11-05,976.8882789294271
2001-11-06,1003.6178898002321
2001-11-07,998.4948603084047
2001-11-08,1002.8913244136961
2001-11-09,1004.6959320054355
2001-11-12,1020.9601225544836
2001-11-13,1012.9026095967904
2001-11-14,1026.4832065312164
2001-11-15,1024.597151858184
2001-11-16,1023.7776723614718
2001-11-19,1029.3387962917911
2001-11-20,1035.511795768159
2001-11-21,1021.8259272631457
2001-11-22,1017.9856419401207
2001-11-23,1022.6282401870885
2001-11-26,1025.5259075953354
2001-11-27,1041.3835397213008
2001-11-28,1035.484518520638
2001-11-29,1024.4515375807696
2001-11-30,1035.7041001754405
2001-12-03,1031.4605834291483
2001-12-04,1024.0395832093056
2001-12-05,1029.6072151755527
2001-12-06,1032.0932162753686
2001-12-07,1029.5630425083627
2001-12-10,1024.0966638170569
2001-12-11,1027.117593960216
2001-12-12,1025.1594130071285
2001-12-13,1024.4880062410923
2001-12-14,1015.3087415624647
2001-12-17,1014.3243115588505
2001-12-18,1018.033084595011
2001-12-19,1014.3096496152477
2001-12-20,1003.1694084638993
2001-12-21,1014.9207330725145
2001-12-24,1024.5885230146753
2001-12-25,1024.588523014675
2001-12-26,1023.8833691791523
2001-12-27,1030.9217390466354
2001-12-28,1037.5412901016646
2001-12-31,1041.5812933558905
2002-01-01,1041.5812933558905
2002-01-02,1051.008848926124
2002-01-03,1044.869635487895
2002-01-04,1057.6169596305615
2002-01-07,1060.973615412031
2002-01-08,1061.9167495325526
2002-01-09,1058.5413108136815
2002-01-10,1056.9491268971096
2002-01-11,1053.47256251011
2002-01-14,1046.8628104493723
2002-01-15,1046.8955896367493
2002-01-16,1045.6715015806785
2002-01-17,1032.02902770666
2002-01-18,1033.704228763443
2002-01-21,1044.045827452202
2002-01-22,1053.481840653217
2002-01-23,1055.653779184786
