Date,CANADA MINIMUM VOLATILITY (CAD)
2001-05-31,1000.0
2001-06-01,1021.4602065673662
2001-06-04,1024.7325302207664
2001-06-05,1020.4744085138531
2001-06-06,1019.7946470106131
2001-06-07,1018.6599474883695
2001-06-08,1019.1310295475404
2001-06-11,1021.1220684271578
2001-06-12,1019.2423947372218
2001-06-13,1017.4921212737459
2001-06-14,1008.0667700148512
2001-06-15,995.8318403240344
2001-06-18,988.157495965937
2001-06-19,988.0139210386719
2001-06-20,984.0189221162382
2001-06-21,984.649698582342
2001-06-22,985.7702569298496
2001-06-25,983.6652882255605
2001-06-26,979.1520351188142
2001-06-27,971.1054513647143
2001-06-28,972.153443582514
2001-06-29,990.688701638794
2001-07-02,992.1924197235095
2001-07-03,998.251351050953
2001-07-04,995.7968398798286
2001-07-05,989.8061173347497
2001-07-06,978.4185180407089
2001-07-09,980.8333108913112
2001-07-10,973.1371934800866
2001-07-11,973.0026681029623
2001-07-12,983.1343547680809
2001-07-13,987.8136685301307
2001-07-16,973.9169282229518
2001-07-17,983.1864673003395
2001-07-18,977.1522429457947
2001-07-19,977.7597737310366
2001-07-20,978.6618541237742
2001-07-23,975.0667760317651
2001-07-24,977.3900920032734
2001-07-25,983.8253241373454
2001-07-26,980.0440848521026
2001-07-27,990.7020780005488
2001-07-30,990.3089299431776
2001-07-31,998.4190398878613
2001-08-01,1001.0050894111639
2001-08-02,1001.3921400155178
2001-08-03,1001.328331536162
2001-08-06,1006.7705115130798
2001-08-07,1008.6394669284579
2001-08-08,998.1314901890794
2001-08-09,1000.7706441024471
2001-08-10,994.9799680296259
2001-08-13,997.0588979827321
2001-08-14,993.981279877529
2001-08-15,992.2624514851736
2001-08-16,999.7080905341596
2001-08-17,985.8131258144983
2001-08-20,985.9465910163534
2001-08-21,978.8351871323852
2001-08-22,989.8950579360767
2001-08-23,991.3654437433382
2001-08-24,1002.9060329159624
2001-08-27,1001.7888422170436
2001-08-28,993.8093618264073
2001-08-29,984.4677966970556
2001-08-30,974.3856909655973
2001-08-31,970.99943203997
2001-09-03,970.0607241590341
2001-09-04,981.5920128251195
2001-09-05,974.1941625692004
2001-09-06,972.5837656718104
2001-09-07,963.4575173596855
2001-09-10,962.1026923490833
2001-09-11,926.6280884409898
2001-09-12,934.3564294621824
2001-09-13,938.5869901027471
2001-09-14,915.4200915848965
2001-09-17,914.407880912502
2001-09-18,904.5259217743185
2001-09-19,887.9281761665405
2001-09-20,866.7295706214983
2001-09-21,870.3973208931757
2001-09-24,887.6011673071963
2001-09-25,893.0222405300058
2001-09-26,884.8222251850299
2001-09-27,887.1161642753855
2001-09-28,904.6926915067456
2001-10-01,905.0359267138141
2001-10-02,916.5079329158287
2001-10-03,919.3818376647298
2001-10-04,918.8355758393393
2001-10-05,923.0013314829762
2001-10-08,924.2721946675348
2001-10-09,919.2527675732416
2001-10-10,927.9242057230583
2001-10-11,940.5448069060249
2001-10-12,935.9443797258205
2001-10-15,931.3798742764983
2001-10-16,937.6744405008052
2001-10-17,924.0339941148042
2001-10-18,908.6199906819626
2001-10-19,908.0932781874856
2001-10-22,908.1933758720231
2001-10-23,912.7962717052011
2001-10-24,907.7091189282994
2001-10-25,910.4576017037293
2001-10-26,917.4682474318294
2001-10-29,904.7779274248808
2001-10-30,894.4159306282721
2001-10-31,897.239950361218
2001-11-01,905.3484982279
2001-11-02,909.4735175331492
2001-11-05,912.2168870840118
2001-11-06,916.6081887200124
2001-11-07,918.4315746260612
2001-11-08,916.0334254768139
2001-11-09,922.1279163616289
2001-11-12,922.5923304659
2001-11-13,936.9369863384557
2001-11-14,939.7959388500498
2001-11-15,928.2820265189541
2001-11-16,934.4021444125658
2001-11-19,946.159467282512
2001-11-20,940.9549436689609
2001-11-21,929.093569373923
2001-11-22,938.4938833929136
2001-11-23,943.3821996988858
2001-11-26,946.7741986416635
2001-11-27,949.5951255366613
2001-11-28,944.2491134423767
2001-11-29,954.7340515147005
2001-11-30,963.8405804505296
2001-12-03,958.4988379006252
