Date,UNITED KINGDOM MINIMUM VOLATILITY (GBP)
2001-05-31,1000.0
2001-06-01,1000.0109817014711
2001-06-04,1007.2017174490921
2001-06-05,1011.8202001325639
2001-06-06,999.6377025696446
2001-06-07,1002.268981217706
2001-06-08,997.2797233714161
2001-06-11,979.9846552563238
2001-06-12,978.7150864469212
2001-06-13,988.7536039420646
2001-06-14,992.4457758878727
2001-06-15,988.5637328418301
2001-06-18,984.2795170959723
2001-06-19,985.2381203501847
2001-06-20,982.8929531188813
2001-06-21,989.3285919328835
2001-06-22,991.9968603094369
2001-06-25,994.2823208434775
2001-06-26,981.6604000269896
2001-06-27,990.6407381316455
2001-06-28,991.5868627557396
2001-06-29,989.6114236907778
2001-07-02,1005.2793353520965
2001-07-03,990.2805198477561
2001-07-04,984.6012278075427
2001-07-05,976.0263217655381
2001-07-06,973.5560448477894
2001-07-09,971.924409117526
2001-07-10,973.2662948524148
2001-07-11,970.51485324909
2001-07-12,976.1233696025938
2001-07-13,979.0520632860506
2001-07-16,975.9251897269017
2001-07-17,966.5709484492841
2001-07-18,977.6081654089762
2001-07-19,984.6149917286928
2001-07-20,985.8854494822355
2001-07-23,979.9344227681339
2001-07-24,969.2721155472062
2001-07-25,966.0505389233012
2001-07-26,966.6810131330252
2001-07-27,979.2948420618794
2001-07-30,984.0462294422184
2001-07-31,997.1663312146753
2001-08-01,1004.7044507415471
2001-08-02,1011.8230604616243
2001-08-03,1007.0191917559606
2001-08-06,994.4792028419839
2001-08-07,995.4485697045822
2001-08-08,984.2708030502334
2001-08-09,981.0027490824233
2001-08-10,988.9038083269942
2001-08-13,986.4487813649215
2001-08-14,994.8351951872608
2001-08-15,1003.7387257669449
2001-08-16,998.2088268416273
2001-08-17,992.9213485393334
2001-08-20,995.6395513093153
2001-08-21,1010.3984383770654
2001-08-22,1012.2398337122102
2001-08-23,1004.752032688092
2001-08-24,1015.9655948554948
2001-08-27,1013.5071604099791
2001-08-28,1013.9800377934275
2001-08-29,1010.7282418639404
2001-08-30,996.4460531945225
2001-08-31,998.3384658220652
2001-09-03,995.8845408989553
2001-09-04,997.4376416692281
2001-09-05,993.6902071142077
2001-09-06,975.3002403529881
2001-09-07,959.8271125797412
2001-09-10,948.8871526748662
2001-09-11,900.1161476692674
2001-09-12,922.2848828320527
2001-09-13,940.9042623786287
2001-09-14,912.3646048837669
2001-09-17,928.291253593743
2001-09-18,915.1046924093805
2001-09-19,901.3337574663208
2001-09-20,874.2983318275208
2001-09-21,844.5020368553601
2001-09-24,877.4064006580535
2001-09-25,888.3232923430028
2001-09-26,895.3363253467129
2001-09-27,906.6147479530375
2001-09-28,926.7781959191742
2001-10-01,913.288701042573
2001-10-02,914.4341445387478
2001-10-03,929.1772079327945
2001-10-04,949.3886513572338
2001-10-05,958.0622575054239
2001-10-08,948.1770806938802
2001-10-09,939.0094348857623
2001-10-10,950.3359803618177
2001-10-11,948.2166669920108
2001-10-12,950.8804090664048
2001-10-15,934.7380085112425
2001-10-16,936.0866309610237
2001-10-17,957.3231708705272
2001-10-18,942.1871273554907
2001-10-19,923.8983606992505
2001-10-22,922.2226289194741
2001-10-23,935.30138629778
2001-10-24,936.2506712385975
2001-10-25,927.1552567784554
2001-10-26,944.3799377116446
2001-10-29,938.0189698111725
2001-10-30,930.3224500633229
2001-10-31,936.4712507348992
2001-11-01,947.6646313530366
2001-11-02,959.3075777611837
2001-11-05,968.386848650066
2001-11-06,970.9489288883252
2001-11-07,976.117147722235
2001-11-08,977.8118952157462
2001-11-09,974.0877273607836
2001-11-12,957.5225464902122
2001-11-13,966.8840645389733
2001-11-14,964.0611381640908
2001-11-15,957.3694779272558
2001-11-16,962.4695038106845
2001-11-19,959.8309387193975
2001-11-20,952.1823917383729
2001-11-21,954.1549884442724
