Date,JAPAN MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,998.4081138151487
2001-06-04,999.0424114137014
2001-06-05,989.1085743254312
2001-06-06,986.80384898569
2001-06-07,994.2523514024681
2001-06-08,987.9891685422509
2001-06-11,974.0347025496989
2001-06-12,954.1354087030236
2001-06-13,957.4591278257436
2001-06-14,959.1502972232366
2001-06-15,952.1211205011342
2001-06-18,946.4506195242208
2001-06-19,942.8357996486623
2001-06-20,943.2061270651676
2001-06-21,952.3298892317155
2001-06-22,960.1600202529403
2001-06-25,957.3045968743561
2001-06-26,964.1351281269029
2001-06-27,956.063815419978
2001-06-28,944.3206508360431
2001-06-29,959.324194016734
2001-07-02,955.7287087473821
2001-07-03,959.8278364032813
2001-07-04,952.3355949943765
2001-07-05,946.1614965353551
2001-07-06,930.0865789701598
2001-07-09,930.3367087252379
2001-07-10,935.0968504746064
2001-07-11,929.7594116294309
2001-07-12,942.5894239594361
2001-07-13,932.1821041723797
2001-07-16,929.5628144594152
2001-07-17,921.3124438406342
2001-07-18,911.5038289681092
2001-07-19,915.464947205824
2001-07-20,918.4024667358508
2001-07-23,891.6136795297907
2001-07-24,902.8623854234603
2001-07-25,909.4284840054263
2001-07-26,909.5194364656792
2001-07-27,910.6531198703047
2001-07-30,896.5364470594955
2001-07-31,911.8988268834432
2001-08-01,916.665120033553
2001-08-02,938.4237154224834
2001-08-03,929.4440932121952
2001-08-06,930.3173290702757
2001-08-07,937.9392014470452
2001-08-08,938.0555786335417
2001-08-09,919.1511640680637
2001-08-10,926.2825449966957
2001-08-13,916.7394936955026
2001-08-14,940.8152451008503
2001-08-15,953.6529862489626
2001-08-16,943.556502767701
2001-08-17,941.430898203516
2001-08-20,930.8940219798266
2001-08-21,939.7306774158017
2001-08-22,949.8951238347979
2001-08-23,939.0744579144643
2001-08-24,936.4375290404363
2001-08-27,938.8150538121392
2001-08-28,932.1183342850081
2001-08-29,923.191130622294
2001-08-30,909.5909748577471
2001-08-31,910.3633257363706
2001-09-03,892.5757302326944
2001-09-04,907.2233773669604
2001-09-05,887.7590098668028
2001-09-06,884.9920288270569
2001-09-07,887.3190049361477
2001-09-10,863.6263484038407
2001-09-11,880.6041923736241
2001-09-12,825.414887655195
2001-09-13,841.7469568298143
2001-09-14,872.0458116750498
2001-09-17,835.9984200885065
2001-09-18,845.6792259184064
2001-09-19,864.337311347571
2001-09-20,860.1285316423679
2001-09-21,838.9238986049945
2001-09-24,832.710969966677
2001-09-25,839.4647813839222
2001-09-26,828.517800816205
2001-09-27,819.5395260320079
2001-09-28,841.1121828527552
2001-10-01,852.2858906107143
2001-10-02,863.687276391318
2001-10-03,850.4871526658305
2001-10-04,865.0460498748279
2001-10-05,860.797715213612
2001-10-08,863.7783664594499
2001-10-09,846.2566995154092
2001-10-10,842.2330782100424
2001-10-11,854.0616906160253
2001-10-12,864.445915251918
2001-10-15,859.377823152802
