Date,EUROPE SMALL VALUE
1994-05-31,150.98064444202038
1994-06-30,148.4113569471222
1994-07-29,152.68740156564246
1994-08-31,154.78238602587996
1994-09-30,151.08224525138317
1994-10-31,153.65958047838166
1994-11-30,147.2209331823993
1994-12-30,147.90845503279257
1995-01-31,147.45833436977117
1995-02-28,149.10522991617222
1995-03-31,153.75372159135748
1995-04-28,156.76351820002793
1995-05-31,160.9758798768498
1995-06-30,162.02760027757907
1995-07-31,167.62285748966235
1995-08-31,160.6888215543603
1995-09-29,163.94902262789486
1995-10-31,160.731465816412
1995-11-30,157.04850856626152
1995-12-29,159.9357772651242
1996-01-31,161.0244982882474
1996-02-29,167.74369851100786
1996-03-29,170.25687738251096
1996-04-30,171.97545763478485
1996-05-31,176.4708004584914
1996-06-28,177.17733340529688
1996-07-31,173.63431306594418
1996-08-30,177.82923772001382
1996-09-30,176.22686253485892
1996-10-31,180.36379107269292
1996-11-29,184.9003592954231
1996-12-31,189.74661361965173
1997-01-01,189.74190270789398
1997-01-02,188.57516443459716
1997-01-03,188.45418615092143
1997-01-06,188.53437847082836
1997-01-07,189.60888060542143
1997-01-08,190.0803093429786
1997-01-09,190.7285983335009
1997-01-10,190.25884256225905
1997-01-13,191.35295184693229
1997-01-14,192.33904063986742
1997-01-15,193.77252732873944
1997-01-16,194.47821587752256
1997-01-17,193.68568788108843
1997-01-20,193.2074290817847
1997-01-21,192.6268135186457
1997-01-22,191.89585830759307
1997-01-23,191.43159486751924
1997-01-24,192.01194581462184
1997-01-27,191.28646350273158
1997-01-28,189.76924987888788
1997-01-29,190.41296960323325
1997-01-30,191.27142255902473
1997-01-31,192.14702788087644
1997-02-03,192.47203580675503
1997-02-04,193.13878180457257
1997-02-05,193.92360975124623
1997-02-06,194.35859567828535
1997-02-07,193.47904647089737
1997-02-10,195.78112058178937
1997-02-11,195.06597361667872
1997-02-12,194.06755797703997
1997-02-13,193.46646323411713
1997-02-14,193.83088397317218
1997-02-17,192.83602249736487
1997-02-18,192.88615083842768
1997-02-19,193.19915185952593
1997-02-20,193.59305782446114
1997-02-21,194.53704376136494
1997-02-24,196.24026056240436
1997-02-25,196.42448518509076
1997-02-26,195.5762005367579
1997-02-27,195.27429942873266
1997-02-28,195.13569070079458
1997-03-03,194.12315593226162
1997-03-04,193.98383323594888
1997-03-05,194.32455796936947
1997-03-06,195.28732084459216
1997-03-07,195.23148949556176
1997-03-10,197.12580386302537
1997-03-11,197.5811058557231
1997-03-12,196.6688920850022
1997-03-13,196.4193079465887
1997-03-14,196.2196619677228
1997-03-17,196.11781076737654
1997-03-18,196.029507732522
1997-03-19,195.96720222246847
1997-03-20,193.74131595625977
1997-03-21,194.79122124807708
1997-03-24,194.56158854824167
1997-03-25,195.25966367375884
1997-03-26,196.213473295614
1997-03-27,198.13490739531457
1997-03-28,198.48862761824674
1997-03-31,199.34456980127993
1997-04-01,196.52463085862018
1997-04-02,196.76569832560182
1997-04-03,196.1294898837082
1997-04-04,196.39001124788732
1997-04-07,194.65262465627086
1997-04-08,194.51553397072902
1997-04-09,194.67858857944452
1997-04-10,195.05863442039475
1997-04-11,194.89718882760707
1997-04-14,194.44162768966058
1997-04-15,194.34455184584164
1997-04-16,194.80721074938796
1997-04-17,195.44994159124937
1997-04-18,195.96184409542627
1997-04-21,196.9765842824794
1997-04-22,196.33671294896334
1997-04-23,196.63048618757324
1997-04-24,196.77349822644936
1997-04-25,195.74955344339557
1997-04-28,195.57940386564044
1997-04-29,196.32320001946164
1997-04-30,196.03576715832574
1997-05-01,197.05716338182816
1997-05-02,196.90479674619448
1997-05-05,197.06629662799352
1997-05-06,198.79758170578253
1997-05-07,199.42142640924033
1997-05-08,199.77289127920105
1997-05-09,201.26725531889238
1997-05-12,201.51967522298972
1997-05-13,202.7058652126149
1997-05-14,203.19993951222656
