Date,EMU SMALL VALUE
1994-05-31,158.95507653848546
1994-06-30,157.00610486778595
1994-07-29,160.87547331497308
1994-08-31,163.01538526970774
1994-09-30,159.7042043087041
1994-10-31,160.74536003258197
1994-11-30,153.99678123682395
1994-12-30,154.17568485015178
1995-01-31,152.9163154729978
1995-02-28,155.614740204846
1995-03-31,158.5445932609596
1995-04-28,161.1130931878197
1995-05-31,164.9660209578654
1995-06-30,166.85769463580988
1995-07-31,170.6646822424458
1995-08-31,161.94270171542848
1995-09-29,162.36670429154233
1995-10-31,158.0116640600224
1995-11-30,153.41139286651008
1995-12-29,155.82258066938846
1996-01-31,157.52232365720198
1996-02-29,165.03829539236597
1996-03-29,166.57597816170616
1996-04-30,165.11990413731306
1996-05-31,169.53765858139667
1996-06-28,171.09452911466235
1996-07-31,169.30272308700305
1996-08-30,170.9674595518303
1996-09-30,167.68953402136685
1996-10-31,169.52415990944021
1996-11-29,172.86865901541736
1996-12-31,177.1050207088657
1997-01-01,177.1050207088657
1997-01-02,176.8315590549366
1997-01-03,176.1567069000403
1997-01-06,176.0772463948192
1997-01-07,176.92406646232567
1997-01-08,177.2457818347395
1997-01-09,177.67527338583514
1997-01-10,177.6380887038115
1997-01-13,179.24178145476898
1997-01-14,179.94490244126516
1997-01-15,181.23412593809852
1997-01-16,181.83170452470736
1997-01-17,180.9035852474433
1997-01-20,180.7964154526903
1997-01-21,180.4610930278892
1997-01-22,179.7684784408471
1997-01-23,180.18848854307734
1997-01-24,180.94822841462505
1997-01-27,180.13348451080813
1997-01-28,178.7132140844591
1997-01-29,179.24860831997248
1997-01-30,180.49834040803023
1997-01-31,181.60692485635906
1997-02-03,181.35733181565766
1997-02-04,181.9914853127793
1997-02-05,182.34920574155737
1997-02-06,182.70877533142817
1997-02-07,181.57597426897507
1997-02-10,183.99391062555253
1997-02-11,182.54753344990743
1997-02-12,181.5745718615728
1997-02-13,181.20964870725354
1997-02-14,181.71831350160082
1997-02-17,180.32079383899844
1997-02-18,180.9895308590088
1997-02-19,180.62849501632428
1997-02-20,181.21680813395648
1997-02-21,182.04625410587062
1997-02-24,183.8603662570724
1997-02-25,184.1979788648873
1997-02-26,183.18477278202295
1997-02-27,183.13805072684104
1997-02-28,182.87870726235707
1997-03-03,181.93401751386372
1997-03-04,181.62301793369042
1997-03-05,182.38096570081166
1997-03-06,183.30106655127207
1997-03-07,183.45060242990903
1997-03-10,185.88699992159584
1997-03-11,186.35833137191736
1997-03-12,185.56070307978445
1997-03-13,185.0660719711654
1997-03-14,184.84707197205017
1997-03-17,185.1213437066492
1997-03-18,185.18736065934806
1997-03-19,184.7491482882051
1997-03-20,182.84100223695407
1997-03-21,183.90995533698626
1997-03-24,183.31630796740458
1997-03-25,183.9031883113496
1997-03-26,184.89200945526417
1997-03-27,187.31808564146206
1997-03-28,187.59985279102722
1997-03-31,188.29369823671223
1997-04-01,186.11829993550924
1997-04-02,186.52320126721352
1997-04-03,185.5864736385668
1997-04-04,185.6742025320431
1997-04-07,183.57531041520883
1997-04-08,183.5646355577254
1997-04-09,183.580601556829
1997-04-10,183.7185978708361
1997-04-11,183.34812515581442
1997-04-14,183.13053064236567
1997-04-15,182.63595079656338
1997-04-16,183.39831063657496
1997-04-17,183.74955138458253
1997-04-18,184.09030407426633
1997-04-21,185.0011606882813
1997-04-22,183.95253981189006
1997-04-23,184.82367286464324
1997-04-24,184.82344748594957
1997-04-25,183.98013270516034
1997-04-28,183.54028856098356
1997-04-29,184.07336523941603
1997-04-30,184.08180152107488
1997-05-01,185.41844880127888
1997-05-02,185.62728798875068
1997-05-05,185.8620969655997
1997-05-06,186.94463669412508
1997-05-07,187.4831465071329
1997-05-08,188.73583150567634
1997-05-09,190.7972900644368
1997-05-12,191.09445063819956
1997-05-13,192.19835650555106
1997-05-14,192.5250284986338
1997-05-15,193.5211891072841
1997-05-16,194.58492380397186
1997-05-19,193.80885779860262
1997-05-20,194.64502501015755
1997-05-21,195.59543587505502
1997-05-22,195.8538881212494
1997-05-23,196.72885967916434
1997-05-26,195.93397307291346
1997-05-27,195.21516371408978
1997-05-28,194.83115017666103
1997-05-29,194.5195858927961
1997-05-30,193.09395165784446
1997-06-02,191.10418221208778
1997-06-03,192.1843675906943
1997-06-04,192.8278717013022
1997-06-05,193.7986135338701
1997-06-06,194.08013536017745
1997-06-09,196.36668455945477
1997-06-10,195.20156160440524
1997-06-11,195.89156594829612
1997-06-12,195.8175267150908
1997-06-13,194.9847457603741
1997-06-16,196.3502038530577
1997-06-17,195.17949934882017
1997-06-18,195.73504577872677
1997-06-19,197.0596756650977
1997-06-20,196.57094826722465
1997-06-23,197.56008691156612
1997-06-24,197.36797214452588
1997-06-25,198.73224151658755
1997-06-26,198.08932742176066
1997-06-27,197.3811080272662
1997-06-30,197.1233432606161
1997-07-01,198.38206367701912
1997-07-02,197.7128688048079
1997-07-03,198.9018287560892
1997-07-04,199.11893082040336
1997-07-07,201.5843840355046
1997-07-08,200.6261607569701
1997-07-09,200.80262300797287
1997-07-10,201.24034507885045
1997-07-11,200.01819287201744
1997-07-14,198.3070679107594
1997-07-15,197.3628720424388
1997-07-16,198.6917719030298
1997-07-17,199.5917247924573
1997-07-18,198.63049780397677
1997-07-21,197.00438472509742
1997-07-22,196.33297887713408
1997-07-23,195.81749316822126
1997-07-24,195.0660847553357
1997-07-25,195.03677648407265
1997-07-28,194.90727934750416
1997-07-29,195.933233255135
1997-07-30,195.98189806398435
1997-07-31,196.99634629080631
1997-08-01,194.69369460909238
