Date,WORLD ex AUSTRALIA SMALL VALUE
1994-05-31,246.78201042814047
1994-06-30,251.27508743982725
1994-07-29,252.99977305169222
1994-08-31,256.564862663602
1994-09-30,251.3405699881445
1994-10-31,251.79840470175307
1994-11-30,238.59493145092844
1994-12-30,242.96997134216411
1995-01-31,240.5749126513223
1995-02-28,240.31443778504664
1995-03-31,246.9529345356068
1995-04-28,251.89626812563128
1995-05-31,250.60064846547496
1995-06-30,251.2547273091452
1995-07-31,262.5827144797324
1995-08-31,260.79745780389277
1995-09-29,263.134062673664
1995-10-31,254.5809758419343
1995-11-30,260.2478686699789
1995-12-29,269.290202854343
1996-01-31,272.62389474929154
1996-02-29,277.4252776891978
1996-03-29,282.0149382561795
1996-04-30,294.2534681104531
1996-05-31,296.87851232307975
1996-06-28,295.84847989450947
1996-07-31,283.6647300055083
1996-08-30,288.37706185176233
1996-09-30,291.03267959313774
1996-10-31,289.54727603244345
1996-11-29,296.811845675283
1996-12-31,296.7787823219865
1997-01-01,296.7831605932914
1997-01-02,295.2174125808693
1997-01-03,295.7685847431778
1997-01-06,296.3610789231625
1997-01-07,297.2909794635106
1997-01-08,296.67047919813615
1997-01-09,296.06508114695225
1997-01-10,294.72235308088915
1997-01-13,295.71522164298307
1997-01-14,296.727579772552
1997-01-15,297.3236633866446
1997-01-16,298.2444210484081
1997-01-17,298.3613676179832
1997-01-20,297.7054834904484
1997-01-21,297.2979578802507
1997-01-22,297.06787128250926
1997-01-23,296.339314775483
1997-01-24,295.8074296691122
1997-01-27,294.2085102288173
1997-01-28,293.118374304219
1997-01-29,293.1790464287261
1997-01-30,294.0672261589762
1997-01-31,295.58396511853897
1997-02-03,296.2031373326433
1997-02-04,296.48096501926346
1997-02-05,295.19703436630516
1997-02-06,295.1610685560581
1997-02-07,294.383726698162
1997-02-10,295.9215240245859
1997-02-11,295.4582609360854
1997-02-12,295.15500080028596
1997-02-13,295.59585650926704
1997-02-14,296.1156351705086
1997-02-17,295.72497254980016
1997-02-18,296.29204099563293
1997-02-19,296.5498589569379
1997-02-20,297.18391993861036
1997-02-21,297.96367532492656
1997-02-24,299.5888491548761
1997-02-25,300.0347255692141
1997-02-26,298.76438493509073
1997-02-27,298.31606092318043
1997-02-28,297.76865448035437
1997-03-03,297.39140776079665
1997-03-04,297.19683947285125
1997-03-05,297.8118822794765
1997-03-06,297.86461143874857
1997-03-07,298.2646995735777
1997-03-10,299.8848677658478
1997-03-11,300.3183414248696
1997-03-12,298.47735722540455
1997-03-13,296.4654248646614
1997-03-14,295.8099745421545
1997-03-17,295.15396273316986
1997-03-18,295.1053100401683
1997-03-19,294.2197867866208
1997-03-20,292.72050591926234
1997-03-21,293.5193309861293
1997-03-24,292.77712538491613
1997-03-25,293.20187347776704
1997-03-26,293.85520545871555
1997-03-27,293.2579592691667
1997-03-28,293.26692033527064
1997-03-31,291.390541053919
1997-04-01,289.25962586457854
1997-04-02,288.6114265826708
1997-04-03,287.2862335059141
1997-04-04,287.3337286742948
1997-04-07,286.56628031330456
1997-04-08,286.19902361076157
1997-04-09,285.834784605318
1997-04-10,285.29197389210157
1997-04-11,282.9113847722948
1997-04-14,281.9269842488815
1997-04-15,283.0033025603768
1997-04-16,283.95114083896516
1997-04-17,284.9097337506949
1997-04-18,286.8589408299233
1997-04-21,287.5742953314636
1997-04-22,287.46492312853553
1997-04-23,287.6735562758153
1997-04-24,287.70174327759776
1997-04-25,286.5640467524623
1997-04-28,286.4420628171915
1997-04-29,288.25357510669676
1997-04-30,289.3072424011648
1997-05-01,291.3427544498574
1997-05-02,294.05036315648874
1997-05-05,296.36930772906345
1997-05-06,298.5197755672853
1997-05-07,298.75185417005747
1997-05-08,299.0325278998542
1997-05-09,300.97798953945403
1997-05-12,303.7577840250349
1997-05-13,304.50550826689835
1997-05-14,305.53103791559005
1997-05-15,306.8842966787214
1997-05-16,308.0223476377559
1997-05-19,308.0242863878469
