Date,PACIFIC ex JAPAN SMALL VALUE
1997-05-30,290.81726770050636
1997-06-02,291.51673980191725
1997-06-03,291.30888984185646
1997-06-04,292.29891588724547
1997-06-05,293.84137665565504
1997-06-06,294.6028649428215
1997-06-09,294.9436553111321
1997-06-10,295.68575143373977
1997-06-11,293.50987328403744
1997-06-12,287.50619715879776
1997-06-13,289.50475480222866
1997-06-16,291.0488527281321
1997-06-17,291.59965658530405
1997-06-18,291.7200081777124
1997-06-19,292.8487208171264
1997-06-20,295.264898119893
1997-06-23,295.57276344654076
1997-06-24,295.1980912398192
1997-06-25,297.1561330251415
1997-06-26,296.47378370676137
1997-06-27,296.5728908163191
1997-06-30,298.3363923218462
1997-07-01,298.78131830065104
1997-07-02,298.90550330092725
1997-07-03,299.7106448256079
1997-07-04,297.5523118320903
1997-07-07,297.0251711489494
1997-07-08,295.42022531122336
1997-07-09,293.07476055784684
1997-07-10,294.68666659913066
1997-07-11,296.73785234294144
1997-07-14,296.42340887420585
1997-07-15,294.8522713910213
1997-07-16,293.05408537764407
1997-07-17,293.3676656231868
1997-07-18,294.0677395886207
1997-07-21,294.7334895875091
1997-07-22,294.3289149130745
1997-07-23,295.22591076372595
1997-07-24,295.4286612259516
1997-07-25,296.7435228993082
1997-07-28,298.79204831758045
1997-07-29,300.0887899191502
1997-07-30,301.90006033240047
1997-07-31,302.8910027239454
1997-08-01,303.5960477525544
1997-08-04,303.5315500057676
1997-08-05,304.79304082673434
1997-08-06,306.499587825117
1997-08-07,306.86871982238637
1997-08-08,305.7583685449426
1997-08-11,303.39565854952866
1997-08-12,302.5725892790508
1997-08-13,302.0706230147261
1997-08-14,302.9186129895152
1997-08-15,304.4123256951136
1997-08-18,300.99833180949173
1997-08-19,296.4321064173645
1997-08-20,302.42798907163495
1997-08-21,304.58090731484083
1997-08-22,305.1786568870487
1997-08-25,308.9533798940481
1997-08-26,309.0090717235963
1997-08-27,307.8021443933579
1997-08-28,302.8384306237401
1997-08-29,298.1499566705575
1997-09-01,290.81505321345446
1997-09-02,282.4800066864289
1997-09-03,291.53499718872405
1997-09-04,288.2205200934887
1997-09-05,288.97850809552926
1997-09-08,292.7882980207624
1997-09-09,297.5837388663696
1997-09-10,296.4298722431468
1997-09-11,292.9570058042273
1997-09-12,294.1903835673246
1997-09-15,295.7751431599654
1997-09-16,294.88666334886716
1997-09-17,296.0139879224245
1997-09-18,293.2643145553882
1997-09-19,293.76431562822563
1997-09-22,290.1198469285665
1997-09-23,289.79265726853464
1997-09-24,288.37398061125145
1997-09-25,293.5498279831142
1997-09-26,292.75722247835364
1997-09-29,291.978970301372
1997-09-30,293.2170720308876
1997-10-01,293.79460398593585
1997-10-02,293.3032240821731
1997-10-03,291.9649871387323
1997-10-06,287.6094741623782
1997-10-07,286.57725989756017
1997-10-08,286.9371725576293
1997-10-09,283.4073364913192
1997-10-10,283.2884969815827
1997-10-13,279.0291280249942
1997-10-14,276.3049337773306
1997-10-15,269.43944977829256
