Date,EAFE ex ISRAEL SMALL VALUE
2010-05-26,1000.0
2010-05-27,1020.9139178874383
2010-05-28,1027.3408558544138
2010-05-31,1029.8804605824928
2010-06-01,1029.972974316974
2010-06-02,1019.0961873741423
2010-06-03,1036.6246366945097
2010-06-04,1018.6514632001681
2010-06-07,993.6046806918462
2010-06-08,989.3836816454634
2010-06-09,1003.6353102460388
2010-06-10,1020.6855477879559
2010-06-11,1026.074638660521
2010-06-14,1049.548621012244
2010-06-15,1056.1688433328302
2010-06-16,1059.70068960578
2010-06-17,1062.9579174429923
2010-06-18,1070.5213920263523
2010-06-21,1079.8999513463705
2010-06-22,1076.5753155899813
2010-06-23,1065.3758446501156
2010-06-24,1060.0174554395132
2010-06-25,1050.4025961250682
2010-06-28,1055.8776510049165
2010-06-29,1029.2206113355674
2010-06-30,1026.0387753911552
2010-07-01,1019.1669062201922
2010-07-02,1030.2264480727413
2010-07-05,1028.3182934584324
2010-07-06,1052.6435819164328
2010-07-07,1053.828890531642
2010-07-08,1067.4634246542262
2010-07-09,1068.856048751416
2010-07-12,1067.4851592215932
2010-07-13,1080.3512321796968
2010-07-14,1087.6967889757186
2010-07-15,1089.0265219292794
2010-07-16,1080.9419171041811
2010-07-19,1072.184955092359
2010-07-20,1066.5827037562383
2010-07-21,1073.0295602418062
2010-07-22,1087.0529882332755
2010-07-23,1092.3247795099126
2010-07-26,1107.209931321017
2010-07-27,1111.6382945750279
2010-07-28,1114.8220076074308
2010-07-29,1119.9129388365536
2010-07-30,1112.4507899928183
2010-08-02,1136.4971175690573
2010-08-03,1144.295795425259
2010-08-04,1133.1873653361358
2010-08-05,1139.9371914377102
2010-08-06,1147.0570201486273
2010-08-09,1148.8624077313705
2010-08-10,1127.5372138237776
2010-08-11,1098.913122107715
2010-08-12,1083.7579139480358
2010-08-13,1083.8064927486807
2010-08-16,1090.4977197854987
2010-08-17,1101.4611003892333
2010-08-18,1102.156581130759
2010-08-19,1100.7555800273765
2010-08-20,1075.693620539889
2010-08-23,1079.7974671562317
2010-08-24,1070.877184223317
2010-08-25,1058.2159758766034
2010-08-26,1070.6033851680638
2010-08-27,1077.8253243427303
2010-08-30,1085.2882695742821
2010-08-31,1078.31640665735
2010-09-01,1099.9386805616393
2010-09-02,1107.4831178984223
2010-09-03,1116.1472624994724
2010-09-06,1127.3845764353343
2010-09-07,1116.4935311004238
2010-09-08,1117.5228486251585
2010-09-09,1126.8657674946608
2010-09-10,1127.312476044233
2010-09-13,1144.3736242232408
2010-09-14,1152.318901588559
2010-09-15,1149.9844482876833
2010-09-16,1147.2401859455397
2010-09-17,1148.5121464289998
2010-09-20,1157.4659309459755
2010-09-21,1162.5382265422372
2010-09-22,1172.7287625388694
2010-09-23,1168.4701731855762
2010-09-24,1179.9496351625103
2010-09-27,1188.3778366099457
2010-09-28,1193.3662991535873
2010-09-29,1200.1752692655834
2010-09-30,1194.2472201904961
2010-10-01,1200.5737655595995
2010-10-04,1193.226689405517
2010-10-05,1211.1930361859518
2010-10-06,1223.265810106219
2010-10-07,1230.707166678246
2010-10-08,1228.4081570861179
2010-10-11,1231.5342998422957
2010-10-12,1216.763681281105
2010-10-13,1234.4830193314451
2010-10-14,1248.2183045838074
2010-10-15,1236.6141708335033
2010-10-18,1238.1262486506619
2010-10-19,1222.8630780472802
2010-10-20,1232.4834719449668
2010-10-21,1236.62263701794
2010-10-22,1232.7257930296018
2010-10-25,1243.5680749779979
2010-10-26,1235.7000236006913
2010-10-27,1220.0572680779535
2010-10-28,1229.2923519776664
2010-10-29,1232.432842036346
2010-11-01,1234.1457186768607
2010-11-02,1240.8239444316148
2010-11-03,1237.6269667714203
2010-11-04,1266.1168190468472
2010-11-05,1263.8241441365044
2010-11-08,1259.1785343905858
2010-11-09,1264.249299691495
2010-11-10,1239.9163314577106
2010-11-11,1236.748448312181
2010-11-12,1231.100181139084
2010-11-15,1229.3130953023756
2010-11-16,1208.3795627546713
2010-11-17,1210.7662585703956
2010-11-18,1227.6714620695834
2010-11-19,1229.3579520798296
2010-11-22,1228.774338177192
2010-11-23,1207.5444325318485
2010-11-24,1208.6837306022378
2010-11-25,1211.8061302455499
2010-11-26,1197.0029535072538
2010-11-29,1183.3370485517582
2010-11-30,1176.0326042615081
2010-12-01,1193.353682068517
2010-12-02,1224.045807021058
2010-12-03,1244.4190367115705
2010-12-06,1247.8131883492706
2010-12-07,1259.7974266792532
2010-12-08,1250.7314717696015
