Date,FAR EAST SMALL VALUE
1994-05-31,718.2629529858415
1994-06-30,775.1287051016758
1994-07-29,758.4801461721291
1994-08-31,752.631471429393
1994-09-30,730.8394098000505
1994-10-31,738.3936586498967
1994-11-30,681.7468557909143
1994-12-30,694.654760880369
1995-01-31,677.8395135774725
1995-02-28,637.9129954681124
1995-03-31,671.4393077774457
1995-04-28,682.1377404408943
1995-05-31,635.2900991558826
1995-06-30,608.1187631278523
1995-07-31,644.061612968332
1995-08-31,628.7878868520022
1995-09-29,619.3259271920294
1995-10-31,594.4660971316154
1995-11-30,619.8028667358418
1995-12-29,655.3822770700199
1996-01-31,672.4186898346168
1996-02-29,667.5372024879235
1996-03-29,678.0795580019646
1996-04-30,744.6826962186695
1996-05-31,722.8221493468037
1996-06-28,725.8361891689406
1996-07-31,695.3622902043858
1996-08-30,670.8307198897018
1996-09-30,664.9836888846302
1996-10-31,628.1427120697858
1996-11-29,617.6354446968379
1996-12-31,565.0707797660176
1997-01-01,565.1244104719175
1997-01-02,566.7334457140225
1997-01-03,564.6105382407716
1997-01-06,568.1479623835755
1997-01-07,568.4409380491935
1997-01-08,560.3651221976351
1997-01-09,549.060784667369
1997-01-10,539.4126663075053
1997-01-13,541.7072759750052
1997-01-14,540.7098716559901
1997-01-15,540.1706888721616
1997-01-16,546.4744311655359
1997-01-17,544.8625936496359
1997-01-20,538.2074294998018
1997-01-21,535.1932172477029
1997-01-22,534.7939359298516
1997-01-23,530.4030182805784
1997-01-24,529.3067130567661
1997-01-27,523.3372044767656
1997-01-28,517.4671771264295
1997-01-29,514.98558627871
1997-01-30,513.0140561158648
1997-01-31,518.6097629325493
1997-02-03,518.5454852330777
1997-02-04,521.0840670396319
1997-02-05,513.3859639462269
1997-02-06,510.60793776217514
1997-02-07,503.58072736275153
1997-02-10,509.9418867017063
1997-02-11,509.1645960060916
1997-02-12,505.98610397378746
1997-02-13,503.0416229225897
1997-02-14,503.258812024192
1997-02-17,503.81323240976684
1997-02-18,503.165005118449
1997-02-19,501.2542871857897
1997-02-20,509.8991352142321
1997-02-21,512.4705657430984
1997-02-24,517.8016100356604
1997-02-25,518.1205086491797
1997-02-26,516.7266928357614
1997-02-27,518.8424900405762
1997-02-28,517.8660633936788
1997-03-03,515.0909141451976
1997-03-04,511.0543030371779
1997-03-05,509.72004404998995
1997-03-06,505.8023573482016
1997-03-07,503.236308028726
1997-03-10,502.94376014126027
1997-03-11,501.7754050611921
1997-03-12,496.32610531923757
1997-03-13,492.9545706968162
1997-03-14,486.9862666583316
1997-03-17,487.795787604464
1997-03-18,492.76836760626907
1997-03-19,491.060910116962
1997-03-20,487.29625520888817
1997-03-21,492.7894948597703
1997-03-24,491.5865767802579
1997-03-25,489.8656498553684
1997-03-26,489.58892248198913
1997-03-27,487.7164941259867
1997-03-28,486.4746294016087
1997-03-31,485.76148024716014
1997-04-01,482.1389338511499
1997-04-02,483.741213837625
1997-04-03,480.9539410338741
1997-04-04,473.15340743126507
1997-04-07,462.8248657757783
1997-04-08,457.8950306588244
1997-04-09,450.6610179218259
1997-04-10,446.01745548246373
1997-04-11,443.8105993885929
1997-04-14,440.33589401054803
1997-04-15,441.1611210145739
1997-04-16,445.8665780683659
1997-04-17,450.51063153298986
1997-04-18,459.4715832886244
1997-04-21,470.03415405062174
1997-04-22,471.8963867760233
1997-04-23,474.234222348654
1997-04-24,473.8545141931388
1997-04-25,473.66553898380477
1997-04-28,470.8568609749083
1997-04-29,470.3978512660481
1997-04-30,475.10126804351245
1997-05-01,481.1189831508451
1997-05-02,481.70909635465233
1997-05-05,482.4123543206712
1997-05-06,494.5007757009672
1997-05-07,497.6443092161109
1997-05-08,500.10603453277434
1997-05-09,506.80334939039676
1997-05-12,521.450389061028
1997-05-13,522.4905409178853
1997-05-14,524.8180968300774
1997-05-15,532.8353084517148
1997-05-16,540.4693445187463
1997-05-19,538.9248198822861
1997-05-20,549.5386258587382
1997-05-21,545.0572892593817
1997-05-22,537.7950217419276
1997-05-23,541.1886558283803
1997-05-26,537.9842646939575
1997-05-27,536.1922162697033
