Date,EAFE ex UK SMALL VALUE
1994-05-31,313.0427889688447
1994-06-30,327.83259484523137
1994-07-29,325.8317417116013
1994-08-31,325.04611726200744
1994-09-30,316.75567857333704
1994-10-31,320.28024743564305
1994-11-30,299.96125171690494
1994-12-30,304.34709697869
1995-01-31,299.3678065822141
1995-02-28,290.45631004292295
1995-03-31,301.678283744914
1995-04-28,306.9965796124657
1995-05-31,296.3466774558369
1995-06-30,290.79327961275266
1995-07-31,303.74137779204614
1995-08-31,293.1162898755502
1995-09-29,292.52683970618466
1995-10-31,283.0747955721133
1995-11-30,286.9369310764479
1995-12-29,298.5942915956752
1996-01-31,303.76092098034087
1996-02-29,307.97427941897087
1996-03-29,312.4152578611855
1996-04-30,329.8924634751239
1996-05-31,326.82017682883634
1996-06-28,329.06502543363894
1996-07-31,319.5305987019856
1996-08-30,315.10242403089256
1996-09-30,311.57499620143597
1996-10-31,303.4240196884008
1996-11-29,303.35210003671307
1996-12-31,291.5627670385184
1997-01-01,291.5774585547309
1997-01-02,291.7415564879534
1997-01-03,290.7225215763552
1997-01-06,291.77569132346684
1997-01-07,292.54789225291
1997-01-08,290.75420384640626
1997-01-09,288.001895804802
1997-01-10,285.2315770314331
1997-01-13,287.02160200358344
1997-01-14,287.33896960483276
1997-01-15,288.16509042050194
1997-01-16,290.4865888735155
1997-01-17,289.2461999408744
1997-01-20,287.0539241218213
1997-01-21,285.77471345986453
1997-01-22,285.1814613413986
1997-01-23,284.2102047253797
1997-01-24,284.5698914399408
1997-01-27,282.3046887259331
1997-01-28,279.66190576759203
1997-01-29,279.3664175344351
1997-01-30,279.8714040421676
1997-01-31,282.35684790958084
1997-02-03,282.2631396248153
1997-02-04,283.34511945715934
1997-02-05,281.43474906402975
1997-02-06,281.1763237073986
1997-02-07,278.52257951538814
1997-02-10,282.0279012571063
1997-02-11,280.77312071240453
1997-02-12,279.2382937767848
1997-02-13,278.24494271378904
1997-02-14,278.6639170578097
1997-02-17,277.8509979664427
1997-02-18,278.2722170262104
1997-02-19,277.58961683595857
1997-02-20,280.31984010613417
1997-02-21,281.6950668977216
1997-02-24,284.2744167385808
1997-02-25,284.37983602407616
1997-02-26,283.1122898761271
1997-02-27,283.52187623482246
1997-02-28,283.03588433563
1997-03-03,281.55723136770183
1997-03-04,280.32566155949195
1997-03-05,280.5286338022616
1997-03-06,280.05761345082595
1997-03-07,279.48326438803423
1997-03-10,281.3083985828033
1997-03-11,281.3864171709759
1997-03-12,279.3836230572167
1997-03-13,278.0226390390944
1997-03-14,276.12741730834415
1997-03-17,276.55044390856915
1997-03-18,277.9574967315631
1997-03-19,277.2291657306477
1997-03-20,274.7598728996939
1997-03-21,277.12624563506284
1997-03-24,276.40061178252915
1997-03-25,276.3706015139185
1997-03-26,276.8247841545603
1997-03-27,278.09804303755016
1997-03-28,277.9663993157764
1997-03-31,278.3565117106743
1997-04-01,275.1113962836054
1997-04-02,275.6889654418529
1997-04-03,274.3098989243753
1997-04-04,272.3347618425011
1997-04-07,268.0056753323104
1997-04-08,266.7338430942171
1997-04-09,264.7428223078827
1997-04-10,263.6555084755336
1997-04-11,262.8021620161787
1997-04-14,261.6108660346969
1997-04-15,261.4718870150202
1997-04-16,263.24801213153904
1997-04-17,264.87764090588956
1997-04-18,267.7149277186251
1997-04-21,271.40642954889813
1997-04-22,271.1814638925106
1997-04-23,272.4321283900066
1997-04-24,272.3307633948338
1997-04-25,271.46921240372217
1997-04-28,270.41885515690086
1997-04-29,270.6516387697053
1997-04-30,271.93244973613884
1997-05-01,274.54852907951243
1997-05-02,274.78276724243284
1997-05-05,275.0584114220437
1997-05-06,279.38199251380286
1997-05-07,280.7563126263915
1997-05-08,282.4210058601986
1997-05-09,285.714633845442
1997-05-12,289.7161378541741
1997-05-13,290.8739651271585
1997-05-14,291.7351651223765
1997-05-15,294.58193744904366
1997-05-16,297.57815811440315
1997-05-19,296.431032091661
1997-05-20,300.1748471035394
1997-05-21,299.68631865935964
1997-05-22,297.872234303012
1997-05-23,299.43955225754354
1997-05-26,298.27139393899523
1997-05-27,297.0295917740638
1997-05-28,298.4912545158546
1997-05-29,297.5524959679641
1997-05-30,296.2214597498908
1997-06-02,295.3639757058472
1997-06-03,296.63373596006966
1997-06-04,297.2070397705851
1997-06-05,298.47631410133675
1997-06-06,299.11531472155275
1997-06-09,303.6488130603145
1997-06-10,303.4694117712068
1997-06-11,305.21317562907285
1997-06-12,302.1007554762991
1997-06-13,301.06086651043904
1997-06-16,303.84400560230176
1997-06-17,303.4090873437827
1997-06-18,304.1276929395861
1997-06-19,304.24180857198445
1997-06-20,303.57194433635584
1997-06-23,303.05529294756843
1997-06-24,302.7857376691047
1997-06-25,305.66798547110085
1997-06-26,305.43679896419627
1997-06-27,303.76812846635147
1997-06-30,304.02624185681105
1997-07-01,303.75614303258413
1997-07-02,303.92204615873277
1997-07-03,305.50985321969785
1997-07-04,304.685265803509
1997-07-07,306.46995444667414
1997-07-08,305.1603328918142
1997-07-09,304.18324926894695
1997-07-10,304.3284759454793
1997-07-11,302.894637466859
1997-07-14,301.4119559790608
1997-07-15,298.43646764420316
1997-07-16,298.28939459115526
1997-07-17,298.3751573913788
1997-07-18,298.3823941769888
1997-07-21,296.9366470515338
1997-07-22,296.2459552767754
1997-07-23,295.39550328945677
1997-07-24,294.27451487110187
1997-07-25,293.50288807556586
1997-07-28,292.8269261003898
1997-07-29,293.06894950455967
1997-07-30,291.90092232391464
1997-07-31,291.7960055007563
1997-08-01,289.46721946172727
1997-08-04,287.05113407852633
1997-08-05,283.97912937265244
