Date,WORLD SMALL VALUE
1994-05-31,244.59810942112205
1994-06-30,249.0514248821455
1994-07-29,250.76084786348886
1994-08-31,254.2943881627885
1994-09-30,249.11632794169466
1994-10-31,249.5701110403157
1994-11-30,236.48348211894034
1994-12-30,240.81980503073476
1995-01-31,238.44594144677183
1995-02-28,238.18777165663107
1995-03-31,244.76752093320204
1995-04-28,249.6671084203945
1995-05-31,248.38295436535103
1995-06-30,249.03124492873746
1995-07-31,260.25898491134524
1995-08-31,258.4895268905429
1995-09-29,260.8054539413789
1995-10-31,252.32805777653584
1995-11-30,257.9448013536997
1995-12-29,266.9071152695816
1996-01-31,270.21130560939713
1996-02-29,274.97019864082364
1996-03-29,279.5192429395582
1996-04-30,291.64946774506916
1996-05-31,294.2512815905815
1996-06-28,293.23036444903767
1996-07-31,281.15443483269615
1996-08-30,285.82506482942483
1996-09-30,288.4571816427967
1996-10-31,286.984923182616
1996-11-29,294.1852049102585
1996-12-31,294.15243415159017
1997-01-01,294.15677367731917
1997-01-02,292.6048817748101
1997-01-03,293.1511763310151
1997-01-06,293.7384272250971
1997-01-07,294.6600985970266
1997-01-08,294.0450894578167
1997-01-09,293.44504888553223
1997-01-10,292.1142033111084
1997-01-13,293.0982854683552
1997-01-14,294.101684719865
1997-01-15,294.6924932833053
1997-01-16,295.6051026866878
1997-01-17,295.7210143358867
1997-01-20,295.07093446452166
1997-01-21,294.66701525816575
1997-01-22,294.4389648151328
1997-01-23,293.71685567956047
1997-01-24,293.1896774982099
1997-01-27,291.60490771886367
1997-01-28,290.5244189680581
1997-01-29,290.58455417371295
1997-01-30,291.46487394446297
1997-01-31,292.96819050044195
1997-02-03,293.5818833409908
1997-02-04,293.8572523874389
1997-02-05,292.58468389755353
1997-02-06,292.5490363672697
1997-02-07,291.7785736075028
1997-02-10,293.30276217401774
1997-02-11,292.8435987389877
1997-02-12,292.5430223081909
1997-02-13,292.97997665813404
1997-02-14,293.49515553051845
1997-02-17,293.1079500843799
1997-02-18,293.6700002497159
1997-02-19,293.9255366472053
1997-02-20,294.55398649695616
1997-02-21,295.32684142658815
1997-02-24,296.9376332569841
1997-02-25,297.37956388147876
1997-02-26,296.120465145358
1997-02-27,295.67610858334154
1997-02-28,295.13354642182946
1997-03-03,294.75963815262844
1997-03-04,294.56679169959006
1997-03-05,295.17639167591165
1997-03-06,295.22865420771836
1997-03-07,295.6252017567526
1997-03-10,297.2310322469329
1997-03-11,297.6606698744757
1997-03-12,295.83597749158247
1997-03-13,293.84184975566205
1997-03-14,293.192199850361
1997-03-17,292.54199342746494
1997-03-18,292.493771287181
1997-03-19,291.61608448460413
1997-03-20,290.1300715251874
1997-03-21,290.9218273779535
1997-03-24,290.1861899360526
1997-03-25,290.6071792144498
1997-03-26,291.25472952448706
1997-03-27,290.662768673819
1997-03-28,290.6716504388375
1997-03-31,288.811876203352
1997-04-01,286.69981857911444
1997-04-02,286.0573555462228
1997-04-03,284.74388978496125
1997-04-04,284.7909646441554
1997-04-07,284.030307828649
1997-04-08,283.66630116966115
1997-04-09,283.3052855026182
1997-04-10,282.7672784007393
1997-04-11,280.4077563391311
1997-04-14,279.43206728253284
1997-04-15,280.4988606994045
1997-04-16,281.4383110692976
1997-04-17,282.388420899049
1997-04-18,284.3203784417499
1997-04-21,285.0294024031767
1997-04-22,284.9209980911565
1997-04-23,285.1277849363511
1997-04-24,285.1557224968494
1997-04-25,284.028094033736
1997-04-28,283.9071895970827
1997-04-29,285.702670882114
1997-04-30,286.7470137324645
1997-05-01,288.7645124875413
1997-05-02,291.44816017136236
1997-05-05,293.74658321005995
1997-05-06,295.87802045172697
1997-05-07,296.108045271513
1997-05-08,296.386235175037
1997-05-09,298.314480423432
1997-05-12,301.0696750770971
1997-05-13,301.8107823223572
1997-05-14,302.82723653143876
1997-05-15,304.1685196113733
1997-05-16,305.29649937181773
