Date,NORTH AMERICA SMALL VALUE
1994-05-31,187.5150362893375
1994-06-30,185.2120818815506
1994-07-29,188.9118880475777
1994-08-31,195.63152172593897
1994-09-30,193.73301411646557
1994-10-31,190.55669521603494
1994-11-30,183.37148519621107
1994-12-30,188.33211080493413
1995-01-31,187.91656926495207
1995-02-28,195.0583399239746
1995-03-31,196.2877494651037
1995-04-28,200.766539157887
1995-05-31,205.39323525223998
1995-06-30,212.25834734166938
1995-07-31,221.3266158496561
1995-08-31,227.56750329253802
1995-09-29,231.5925678470326
1995-10-31,223.12473481907475
1995-11-30,231.7186092728686
1995-12-29,238.65327438554132
1996-01-31,240.10021554983075
1996-02-29,245.01857820757255
1996-03-29,249.41615480276005
1996-04-30,256.000899431848
1996-05-31,263.0502171595955
1996-06-28,259.5485761732739
1996-07-31,245.51674607034218
1996-08-30,257.16740324867584
1996-09-30,265.3735505169556
1996-10-31,267.5914987997238
1996-11-29,280.82637268270724
1996-12-31,289.41106215799874
1997-01-01,289.41106215799874
1997-01-02,286.8800161653129
1997-01-03,288.65005179403425
1997-01-06,288.9031326734487
1997-01-07,289.73408084393895
1997-01-08,290.0419381897964
1997-01-09,291.03018820002524
1997-01-10,291.12622959139054
1997-01-13,291.5736895409214
1997-01-14,292.98085559954995
1997-01-15,292.99387739190166
1997-01-16,292.6339792886551
1997-01-17,294.0126092782096
1997-01-20,294.7863389888031
1997-01-21,295.25266258320045
1997-01-22,295.5644539442722
1997-01-23,295.63520989718495
1997-01-24,294.3035060361809
1997-01-27,293.1992752764553
1997-01-28,293.85924892146414
1997-01-29,294.00434671499903
1997-01-30,295.5180905206112
1997-01-31,296.4216461263353
1997-02-03,297.4162953678493
1997-02-04,296.73867133562106
1997-02-05,295.29112673867337
1997-02-06,295.51225306143544
1997-02-07,296.52285683116287
1997-02-10,295.93125177398025
1997-02-11,295.8361861717212
1997-02-12,296.9388066321612
1997-02-13,299.1189400362803
1997-02-14,299.7931641468867
1997-02-17,299.7931641468867
1997-02-18,301.08028402905563
1997-02-19,301.7953686403792
1997-02-20,300.54170719726017
1997-02-21,300.61987847809974
1997-02-24,301.0150017553859
1997-02-25,301.69012899584226
1997-02-26,300.2159785077813
1997-02-27,299.06165272985663
1997-02-28,298.2916030749884
1997-03-03,299.15329596663963
1997-03-04,299.8922887271532
1997-03-05,301.1946116833734
1997-03-06,301.4024831233413
1997-03-07,302.92700546914347
1997-03-10,304.5701579377857
1997-03-11,305.34315756865243
1997-03-12,303.780449504686
1997-03-13,300.72601344836175
1997-03-14,301.0924294474046
1997-03-17,299.6387329068209
1997-03-18,298.37031042007675
1997-03-19,297.05408049373307
1997-03-20,297.0055158906513
1997-03-21,296.26662307206897
1997-03-24,295.2501891682524
1997-03-25,295.9016895289901
1997-03-26,296.4535554815754
1997-03-27,293.8573212886757
1997-03-28,293.8573212886757
1997-03-31,289.36087108917263
1997-04-01,288.5439357205764
1997-04-02,286.58166162656494
1997-04-03,285.1635704618799
1997-04-04,286.9858130030146
1997-04-07,289.63783016481653
1997-04-08,290.2578330363549
1997-04-09,291.17018673126614
1997-04-10,290.8514659456626
1997-04-11,286.6334996556237
1997-04-14,285.9213873197654
1997-04-15,288.0300153520474
1997-04-16,288.3570466695269
1997-04-17,288.5520921844246
1997-04-18,289.8385096070807
1997-04-21,287.68813439048296
1997-04-22,287.59283989902855
1997-04-23,287.17454444015
1997-04-24,287.1985450095575
1997-04-25,285.856170784272
1997-04-28,286.4784749100627
1997-04-29,289.6327518065285
1997-04-30,290.8732825819351
1997-05-01,292.59957473108136
1997-05-02,298.15936031019726
1997-05-05,302.5856229825547
1997-05-06,302.3463179695799
1997-05-07,301.4810400132664
1997-05-08,301.11576808524467
1997-05-09,302.02978820174644
1997-05-12,303.8018145480204
1997-05-13,303.9824041263767
1997-05-14,305.051763295166
1997-05-15,305.28336270765317
1997-05-16,304.941189094158
1997-05-19,306.06654937036484
1997-05-20,306.7802890129763
1997-05-21,307.6109669160361
1997-05-22,308.7942029410126
1997-05-23,311.69678100230675
1997-05-26,311.69678100230675
1997-05-27,311.765752723489
1997-05-28,312.26636615676694
1997-05-29,312.8228916425073
1997-05-30,314.50040126742067
1997-06-02,316.28281572105385
1997-06-03,316.6093634797027
1997-06-04,316.78806481079147
1997-06-05,318.17376634282107
1997-06-06,319.7479412516747
1997-06-09,320.8691642827501
1997-06-10,321.382458241174
1997-06-11,322.4185075221039
1997-06-12,324.50116567948425
1997-06-13,326.2063591439972
1997-06-16,326.00847526775743
1997-06-17,326.33618215664814
1997-06-18,326.78063976498515
1997-06-19,329.61921016112825
1997-06-20,328.20498445969235
1997-06-23,326.27403952517074
1997-06-24,328.3431177991097
1997-06-25,327.6279678611878
1997-06-26,327.6460609425203
1997-06-27,329.532271789105
1997-06-30,332.8701738182069
1997-07-01,333.0875979186731
