Date,EUROPE ex UK SMALL VALUE
1994-05-31,149.06843408875628
1994-06-30,147.51190270588947
1994-07-29,151.2426786856957
1994-08-31,152.41319285717185
1994-09-30,149.5787431607746
1994-10-31,151.50630383397962
1994-11-30,145.50183485477734
1994-12-30,146.48319468738313
1995-01-31,146.17824301548092
1995-02-28,149.04123096518478
1995-03-31,151.39704145756747
1995-04-28,154.2838394679452
1995-05-31,157.6754697149279
1995-06-30,160.25835556500107
1995-07-31,164.1714327014415
1995-08-31,155.74063998015322
1995-09-29,158.41102879537618
1995-10-31,154.77575260456658
1995-11-30,150.67201797306254
1995-12-29,153.11282144892533
1996-01-31,153.61198958776689
1996-02-29,160.89661367100277
1996-03-29,162.84395628132089
1996-04-30,161.64473586228615
1996-05-31,165.7669394257505
1996-06-28,167.5339066946464
1996-07-31,165.9016550811701
1996-08-30,168.70177681388995
1996-09-30,166.16213062880036
1996-10-31,168.46425697803394
1996-11-29,172.09107728671674
1996-12-31,175.44757306467343
1997-01-01,175.44757306467343
1997-01-02,175.08253526222467
1997-01-03,174.50483511350404
1997-01-06,174.60726236823837
1997-01-07,175.50424258726102
1997-01-08,176.05501777240724
1997-01-09,176.51717669512104
1997-01-10,176.35302099031915
1997-01-13,177.87256873685047
1997-01-14,178.63827803300802
1997-01-15,179.8969842093682
1997-01-16,180.65214075732646
1997-01-17,179.6000086641137
1997-01-20,179.12975748076627
1997-01-21,178.54770464997435
1997-01-22,177.91917465267935
1997-01-23,178.27204170583462
1997-01-24,179.17597877973003
1997-01-27,178.36944118748897
1997-01-28,177.0384682702721
1997-01-29,177.53991530078815
1997-01-30,178.896398703889
1997-01-31,180.14607892042957
1997-02-03,180.05849340072322
1997-02-04,180.58040420821612
1997-02-05,180.83711843098078
1997-02-06,181.49928723418262
1997-02-07,180.5810094469119
1997-02-10,182.87458014989883
1997-02-11,181.5057478985089
1997-02-12,180.62851124928935
1997-02-13,180.33894811174818
1997-02-14,180.8076181498921
1997-02-17,179.56414773386473
1997-02-18,180.34866659053688
1997-02-19,180.13564691436645
1997-02-20,180.58645441483333
1997-02-21,181.4683080775039
1997-02-24,182.90902581454958
1997-02-25,182.9453147892565
1997-02-26,181.7862475310879
1997-02-27,181.59225264656126
1997-02-28,181.28261616694812
1997-03-03,180.32492962071387
1997-03-04,180.14596741727334
1997-03-05,180.9087157021261
1997-03-06,181.7149583546061
1997-03-07,181.8761045141392
1997-03-10,184.37192728383096
1997-03-11,184.90590196106515
1997-03-12,184.2439008830947
1997-03-13,183.69508893433775
1997-03-14,183.38571348780326
1997-03-17,183.66443094421345
1997-03-18,183.73209752421508
1997-03-19,183.42277216276366
1997-03-20,181.54810986122004
1997-03-21,182.6564219437712
1997-03-24,182.1332165610334
1997-03-25,182.70378755816813
1997-03-26,183.43746862022996
1997-03-27,185.72092741329533
1997-03-28,185.99419490637095
1997-03-31,186.75664084514764
1997-04-01,183.83806813245116
1997-04-02,184.02818318893208
1997-04-03,183.2466072988904
1997-04-04,183.45947163200952
1997-04-07,181.49957177679752
1997-04-08,181.60973919090213
1997-04-09,181.58684160131145
