Date,USA
1998-12-31,100.0
1999-01-29,107.83574273107307
1999-02-26,108.41079498372596
1999-03-31,114.78364476232564
1999-04-30,121.3354276440822
1999-05-31,120.19256844882938
1999-06-30,128.04653278142507
1999-07-30,119.3464689990043
1999-08-31,120.12835935421283
1999-09-30,115.57500419158136
1999-10-29,124.72730514490038
1999-11-30,132.9512670262246
1999-12-31,142.8315259963035
2000-01-31,138.4597100702333
2000-02-29,137.3199317689399
2000-03-31,151.9119987617612
2000-04-28,154.32131920518648
2000-05-31,147.583901270948
2000-06-30,146.1749759663756
2000-07-31,148.4715933080216
2000-08-31,162.74594005557444
2000-09-29,155.00331922372865
2000-10-31,160.18406921234416
2000-11-30,143.6095718747323
2000-12-29,132.90794564182465
2001-01-01,132.90794564182465
2001-01-02,128.2127407042506
2001-01-03,134.87835974085286
2001-01-04,133.5007258256004
2001-01-05,128.9683131341694
2001-01-08,128.9101243894594
2001-01-09,130.92948185904888
2001-01-10,132.16791900136246
2001-01-11,132.17719901547397
2001-01-12,131.6098238683349
2001-01-15,132.55992398225249
2001-01-16,133.710270205531
2001-01-17,135.35271920535064
2001-01-18,135.1272410264303
2001-01-19,136.04045244998238
2001-01-22,135.91285424678048
2001-01-23,137.0051654200518
2001-01-24,140.0497173748333
2001-01-25,139.70780878670803
2001-01-26,139.16283801548983
2001-01-29,140.53479935487778
2001-01-30,140.66107989394578
2001-01-31,139.04895897776572
2001-02-01,138.2618475316882
2001-02-02,136.70928347880465
2001-02-05,136.3116797211159
2001-02-06,137.46136604458195
2001-02-07,136.15678853559749
2001-02-08,137.31485224704326
2001-02-09,134.3686023671571
2001-02-12,135.28300325601498
2001-02-13,135.28326015312416
2001-02-14,135.3275492482886
2001-02-15,138.72040682914778
2001-02-16,134.72861579198118
2001-02-19,134.01154609407135
2001-02-20,133.4346049162368
2001-02-21,130.515011707092
2001-02-22,130.8149644304772
2001-02-23,130.0078396188337
2001-02-26,132.28355935487377
2001-02-27,130.010144271179
2001-02-28,127.99848284629319
2001-03-01,126.71353006051486
2001-03-02,125.04041580557823
2001-03-05,126.62775712505842
2001-03-06,127.54069836292156
2001-03-07,128.7726140895267
2001-03-08,128.4344674856529
2001-03-09,125.32026395914247
2001-03-12,120.06189602859152
2001-03-13,123.68883817576621
2001-03-14,121.17885394754224
2001-03-15,122.54035491902073
2001-03-16,121.34276041713285
2001-03-19,123.31781421187004
2001-03-20,119.67174903221446
2001-03-21,118.14084533918135
2001-03-22,119.38232676440394
2001-03-23,120.54657461724074
2001-03-26,121.80545376849169
2001-03-27,124.79222337898578
2001-03-28,123.00788693240628
2001-03-29,123.55272815736748
2001-03-30,124.62899801587702
2001-04-02,123.35806796221969
2001-04-03,118.3311035781353
2001-04-04,115.89763770795156
2001-04-05,121.91228638159865
2001-04-06,118.93182548835257
2001-04-09,119.8616645186566
2001-04-10,124.63359384573278
2001-04-11,125.0531239012212
2001-04-12,125.56568263412709
2001-04-13,125.56568263412709
2001-04-16,126.57730594464807
2001-04-17,128.29996672377524
2001-04-18,134.61322050648087
2001-04-19,133.9675611321013
2001-04-20,131.09388789076502
2001-04-23,129.66678977560306
2001-04-24,128.5261456144971
2001-04-25,130.2248723156443
2001-04-26,130.2183412604157
2001-04-27,133.380715843029
2001-04-30,133.91675682748368
2001-05-01,135.12124013524834
2001-05-02,135.2307490277932
2001-05-03,132.8953177309876
2001-05-04,134.67144232194568
2001-05-07,134.92596270795255
