Date,AUSTRALIA
1998-12-31,100.0
1999-01-29,109.62628189215684
1999-02-26,110.53244954900856
1999-03-31,117.1097128809074
1999-04-30,131.74081722825338
1999-05-31,122.66021977046242
1999-06-30,130.20671278304397
1999-07-30,125.36224263589479
1999-08-31,119.86741558138017
1999-09-30,119.35920684565531
1999-10-29,118.12479609550167
1999-11-30,129.8388949680968
1999-12-31,137.78577567848606
2000-01-31,136.08003250118082
2000-02-29,135.02681251623002
2000-03-31,134.66853786941954
2000-04-28,137.60466167448925
2000-05-31,130.40570892583827
2000-06-30,144.3965034480452
2000-07-31,140.28654112742043
2000-08-31,147.75513890403346
2000-09-29,142.3119744338671
2000-10-31,138.62243634924928
2000-11-30,137.9773639314499
2000-12-29,132.46360376480106
2001-01-01,132.46360376480106
2001-01-02,134.48691702209206
2001-01-03,134.6352807006361
2001-01-04,138.59732461586967
2001-01-05,139.09286971952307
2001-01-08,136.7131474923249
2001-01-09,136.4281761361728
2001-01-10,135.1424950089751
2001-01-11,133.1970350683886
2001-01-12,134.0890325964329
2001-01-15,135.05450633247722
2001-01-16,135.17396528288876
2001-01-17,136.0025414144178
2001-01-18,136.57491943208893
2001-01-19,139.21419687081192
2001-01-22,138.94729694273178
2001-01-23,136.47409455898656
2001-01-24,136.82623915990507
2001-01-25,138.5879703253319
2001-01-26,137.9365286715914
2001-01-29,138.23421570420223
2001-01-30,138.70355303952778
2001-01-31,139.13291818113532
2001-02-01,139.89954092011232
2001-02-02,139.92501575673504
2001-02-05,136.2982104467927
2001-02-06,138.29757683434616
2001-02-07,136.72542628636975
2001-02-08,137.67902735361835
2001-02-09,135.41805135804066
2001-02-12,136.42090129016356
2001-02-13,137.13385853845148
2001-02-14,136.5659852379549
2001-02-15,136.47009676126262
2001-02-16,136.48791348062494
2001-02-19,134.12519343539427
2001-02-20,134.36285507638138
2001-02-21,135.46622126395735
2001-02-22,134.589418545837
2001-02-23,133.85216090402025
2001-02-26,134.35930296536355
2001-02-27,133.65925878226906
2001-02-28,134.27384812129839
2001-03-01,134.52773939405262
2001-03-02,133.62681806707312
2001-03-05,133.14229155475067
2001-03-06,131.42836777599805
2001-03-07,131.7030537631012
2001-03-08,130.21433895508036
2001-03-09,129.83650515989757
2001-03-12,129.6793874467104
2001-03-13,127.07536190766187
2001-03-14,127.13420342245625
2001-03-15,126.1796751694576
2001-03-16,127.90474464863647
2001-03-19,127.98405336634339
2001-03-20,127.74253988240523
2001-03-21,126.7413625726585
2001-03-22,127.0196426392931
2001-03-23,124.57068320040628
2001-03-26,126.35494118154982
2001-03-27,126.11187125357904
2001-03-28,127.01335126576753
2001-03-29,127.33078647650169
2001-03-30,124.85806522147811
2001-04-02,126.01489906880332
2001-04-03,125.04213349829634
2001-04-04,124.4771393405478
2001-04-05,126.35326974559581
2001-04-06,127.81640851264459
2001-04-09,126.66747621173249
2001-04-10,129.756266552258
2001-04-11,134.08993708400212
2001-04-12,134.81751444138243
2001-04-13,134.81751444138243
2001-04-16,136.64172077394446
