Date,GERMANY
1998-12-31,100.0
1999-01-29,105.11002425271519
1999-02-26,99.76206594488282
1999-03-31,98.68962574568762
1999-04-30,107.24769509697722
1999-05-31,102.18490195937181
1999-06-30,109.07647205954866
1999-07-30,103.41946036845025
1999-08-31,106.60573225225991
1999-09-30,104.31078521090815
1999-10-29,111.41188499823983
1999-11-30,119.5264458878875
1999-12-31,140.63163217347926
2000-01-31,139.07069796137336
2000-02-29,156.08555464264145
2000-03-31,154.51564694270192
2000-04-28,148.2109208866275
2000-05-31,141.10133905961942
2000-06-30,136.1161024643506
2000-07-31,140.27751774998052
2000-08-31,139.47807662811778
2000-09-29,133.17679755029124
2000-10-31,139.6578012789113
2000-11-30,125.98968302252105
2000-12-29,126.73822700746908
2001-01-01,126.73822700746908
2001-01-02,124.14854698520276
2001-01-03,126.45661595711935
2001-01-04,125.7366870847726
2001-01-05,125.1556614334659
2001-01-08,124.83093905033371
2001-01-09,124.81903208709745
2001-01-10,123.58815722347614
2001-01-11,126.56961269307999
2001-01-12,127.03322378653843
2001-01-15,127.57849123517393
2001-01-16,127.25301387277564
2001-01-17,129.9628899818705
2001-01-18,129.5336044653949
2001-01-19,129.6572085196852
2001-01-22,130.23949251942713
2001-01-23,131.04502709974165
2001-01-24,130.99674504469584
2001-01-25,131.50305541775433
2001-01-26,130.92207251099182
2001-01-29,132.1810923562475
2001-01-30,131.86647467000955
2001-01-31,132.72529315706583
2001-02-01,131.08761874162147
2001-02-02,130.07086003680632
2001-02-05,129.96016968976588
2001-02-06,131.48108906199957
2001-02-07,129.44579454706758
2001-02-08,130.50524490423706
2001-02-09,127.76915958539513
2001-02-12,129.050029083723
2001-02-13,128.88624915973753
2001-02-14,127.41716277883333
2001-02-15,129.12387027288347
2001-02-16,126.29026036874438
2001-02-19,126.88016619410011
2001-02-20,126.40522672646834
2001-02-21,124.57743787952779
2001-02-22,123.14337091947645
2001-02-23,119.3348050772078
2001-02-26,121.86922158974049
2001-02-27,122.41919912600375
2001-02-28,123.30704620238158
2001-03-01,121.37137869732335
2001-03-02,122.01823136746837
2001-03-05,122.91250672843552
2001-03-06,124.34908298404712
2001-03-07,124.73042812143245
2001-03-08,123.92334724742649
2001-03-09,122.59754359886126
2001-03-12,119.36508108576768
