Date,FINLAND
1998-12-31,100.0
1999-01-29,114.09931366258613
1999-02-26,111.3451174358239
1999-03-31,128.32992842822742
1999-04-30,130.04487438696293
1999-05-31,124.85037390307065
1999-06-30,146.36955433886135
1999-07-30,143.36039129922338
1999-08-31,140.18491574312972
1999-09-30,147.21076497232656
1999-10-29,178.7637492897684
1999-11-30,225.76754622189125
1999-12-31,295.9158341496854
2000-01-31,303.3820089630194
2000-02-29,334.7029693386449
2000-03-31,345.91805468717774
2000-04-28,373.8342366270043
2000-05-31,333.87928256526
2000-06-30,316.73923116928177
2000-07-31,287.06828884012685
2000-08-31,291.58486785665013
2000-09-29,268.15282426895925
2000-10-31,277.72828186743254
2000-11-30,273.9699057932716
2000-12-29,271.0379490616719
2001-01-01,271.0379490616719
2001-01-02,262.0657281070785
2001-01-03,242.1521967502094
2001-01-04,266.8221073245148
2001-01-05,267.7624654756089
2001-01-08,260.08292352406806
2001-01-09,240.86990791027515
2001-01-10,238.10043194875428
2001-01-11,250.66594443875823
2001-01-12,255.74238119742128
2001-01-15,255.4930946684884
2001-01-16,242.65794848644484
2001-01-17,253.773771248013
2001-01-18,253.27323704674882
2001-01-19,251.99097734531014
2001-01-22,246.8493551127477
2001-01-23,242.98391151469514
2001-01-24,245.70055622357586
2001-01-25,239.39280047666603
2001-01-26,237.16638729972198
2001-01-29,234.3099131269508
2001-01-30,222.84626987938267
2001-01-31,227.02725182400755
2001-02-01,218.11426725345436
2001-02-02,215.65347167282545
2001-02-05,210.73992057300316
2001-02-06,218.0782139053215
2001-02-07,206.44192297539072
2001-02-08,203.46508941421914
2001-02-09,187.3702226509242
2001-02-12,193.2983272389335
2001-02-13,191.88691399995284
2001-02-14,179.1806588682517
2001-02-15,194.43044032218594
2001-02-16,181.9364642222621
2001-02-19,177.65100382502214
2001-02-20,177.8531380877418
2001-02-21,170.76668321660858
2001-02-22,160.00179516954884
2001-02-23,151.0402288073998
2001-02-26,155.11774359623885
2001-02-27,158.11622123982107
2001-02-28,156.6632408547335
2001-03-01,154.59717730848016
2001-03-02,163.92070887177672
2001-03-05,171.17502053334206
2001-03-06,178.18101975153192
2001-03-07,174.40179893212462
2001-03-08,166.66067045703736
2001-03-09,163.39045169894789
2001-03-12,151.4762532684958
2001-03-13,156.35099902886435
2001-03-14,155.9963906779187
2001-03-15,171.68863331172557
2001-03-16,168.79895381130657
2001-03-19,173.69022643748727
2001-03-20,180.6365464767259
2001-03-21,172.8292188113793
