Date,AC ASIA PACIFIC IMI VALUE
1994-05-31,584.4745311620181
1994-06-30,608.5036329307145
1994-07-29,596.3050715833392
1994-08-31,604.4536602808357
1994-09-30,590.7851510133293
1994-10-31,603.4358704368291
1994-11-30,565.7417716314152
1994-12-30,571.0576857649457
1995-01-31,534.4535149738133
1995-02-28,518.6611142717285
1995-03-31,557.7066989802425
1995-04-28,573.2396634839328
1995-05-31,552.8437227106405
1995-06-30,535.8999791764345
1995-07-31,568.0163519225666
1995-08-31,550.003214748046
1995-09-29,552.8592794903165
1995-10-31,530.2292803727046
1995-11-30,547.2731922906548
1995-12-29,572.3236387079717
1996-01-31,580.2338667443731
1996-02-29,576.6731495207268
1996-03-29,588.5834275371328
1996-04-30,627.0636610295641
1996-05-31,601.3774504304522
1996-06-28,604.0016489687497
1996-07-31,576.2689893993428
1996-08-30,563.2323825351966
1996-09-30,575.0745046399576
1996-10-31,547.1324663333197
1996-11-29,560.1094228400235
1996-12-31,531.8506152559514
1997-01-01,531.852118403937
1997-01-02,532.2413467874417
1997-01-03,530.738408006547
1997-01-06,535.5945264261039
1997-01-07,531.6906628502658
1997-01-08,526.4762126795679
1997-01-09,516.628694037578
1997-01-10,504.6221201637865
1997-01-13,513.3001719909366
1997-01-14,512.3994575528279
1997-01-15,513.8472361786035
1997-01-16,517.4591736711465
1997-01-17,515.3271459652223
1997-01-20,507.85467954776345
1997-01-21,504.88467514986974
1997-01-22,508.96476475734374
1997-01-23,505.74829112796647
1997-01-24,502.89433996680884
1997-01-27,496.0306167372193
1997-01-28,495.8015114541823
1997-01-29,496.91836880016035
1997-01-30,493.8068891234877
1997-01-31,500.5894354884975
1997-02-03,498.5541171531394
1997-02-04,499.44556808872636
1997-02-05,492.1682189167869
1997-02-06,490.7831668964496
1997-02-07,486.23372600550084
1997-02-10,493.278971175397
1997-02-11,492.66877536366553
1997-02-12,494.30104345765267
1997-02-13,495.20001854526345
1997-02-14,497.57687845218817
1997-02-17,498.67091202839663
1997-02-18,495.90459462456187
1997-02-19,496.5454537832276
1997-02-20,506.015244556401
1997-02-21,507.49624047846794
1997-02-24,508.7644919985772
1997-02-25,510.4033755328335
1997-02-26,507.92566542506376
1997-02-27,509.6392351990307
1997-02-28,506.45042479489655
1997-03-03,504.43242257238177
1997-03-04,502.65018792562927
1997-03-05,499.7381912634257
1997-03-06,495.58202619484
1997-03-07,496.43094896192633
1997-03-10,496.609023089325
1997-03-11,498.28044856937265
1997-03-12,495.2305126730082
1997-03-13,490.9486996797279
1997-03-14,488.41017584461713
1997-03-17,489.4425322221574
