Date,ACWI ex AUSTRALIA IMI VALUE
2007-05-31,1000.0
2007-06-01,1006.1638698239901
2007-06-04,1008.471793075714
2007-06-05,1004.9479981727503
2007-06-06,995.1933442375002
2007-06-07,981.6577732330203
2007-06-08,981.8922475541337
2007-06-11,985.7247513033922
2007-06-12,977.3978412236096
2007-06-13,984.190420670981
2007-06-14,992.564350125416
2007-06-15,1002.3175915101515
2007-06-18,1002.8549508173725
2007-06-19,1003.6553052319426
2007-06-20,998.0598430437605
2007-06-21,997.1631113202421
2007-06-22,989.197674797155
2007-06-25,986.625340855818
2007-06-26,983.4813505117294
2007-06-27,983.5620083988435
2007-06-28,988.9263194789637
2007-06-29,992.2249461725504
2007-07-02,1001.4255546184049
2007-07-03,1007.0729810119601
2007-07-04,1008.7803254089085
2007-07-05,1005.3011207783021
2007-07-06,1009.8957961184088
2007-07-09,1013.2276686831217
2007-07-10,1004.3993874662864
2007-07-11,1004.8220927381718
2007-07-12,1018.5962071371052
2007-07-13,1025.1002914277262
2007-07-16,1024.0744996410474
2007-07-17,1022.020112948169
2007-07-18,1016.5479358092525
2007-07-19,1021.7388491211867
2007-07-20,1013.6303996622548
2007-07-23,1016.5973686719989
2007-07-24,1000.7084068813624
2007-07-25,996.9120224008584
2007-07-26,973.9261331362695
2007-07-27,958.1623691539553
2007-07-30,962.7037322411982
2007-07-31,965.8033315961092
2007-08-01,958.4322796891555
2007-08-02,962.0588909743567
2007-08-03,946.6744524308633
2007-08-06,953.9136434044092
2007-08-07,961.2227037512068
2007-08-08,977.6188546612176
2007-08-09,954.6227068123443
2007-08-10,940.0965966238621
2007-08-13,944.9934230819409
2007-08-14,931.5149625592163
2007-08-15,918.2723276506252
2007-08-16,907.9730841067944
2007-08-17,924.8657951271866
2007-08-20,930.7114734831816
2007-08-21,932.7605005715973
2007-08-22,944.5288799816074
2007-08-23,949.0155404075449
2007-08-24,955.4821022843654
2007-08-27,953.4285000324919
2007-08-28,935.8222035107866
2007-08-29,945.2220714130837
2007-08-30,946.4693841747849
2007-08-31,959.58347283082
2007-09-03,960.8314878639071
2007-09-04,966.0976701042044
2007-09-05,955.4338547620015
2007-09-06,958.8934740974702
2007-09-07,947.0308779714712
2007-09-10,941.3772423766197
2007-09-11,953.4791484415305
2007-09-12,955.941404186207
2007-09-13,962.522557979706
2007-09-14,961.252036917834
2007-09-17,953.4875787113932
2007-09-18,970.1268522765438
2007-09-19,989.6625619588513
2007-09-20,988.5126719348076
2007-09-21,990.6487011061704
2007-09-24,988.0488741706826
2007-09-25,985.2525752369148
2007-09-26,990.1596029055731
2007-09-27,999.8986305380342
2007-09-28,999.7189786849747
2007-10-01,1010.6132525115379
2007-10-02,1014.4169588702786
2007-10-03,1013.1251860970045
2007-10-04,1013.9739644035999
2007-10-05,1023.0386172859996
2007-10-08,1016.7528199854482
2007-10-09,1024.184360953005
2007-10-10,1024.215927980996
2007-10-11,1028.315432792756
2007-10-12,1026.489271365908
2007-10-15,1021.7160350878369
2007-10-16,1011.6119135947015
2007-10-17,1012.9389835295332
2007-10-18,1011.6324891257188
2007-10-19,995.3465672676246
2007-10-22,987.2621719222183
2007-10-23,997.7232602058496
2007-10-24,993.8776169090228
2007-10-25,999.2411532614375
2007-10-26,1014.9665409392213
2007-10-29,1024.02864559049
2007-10-30,1018.7372356425893
2007-10-31,1029.4312978693126
2007-11-01,1008.1744413591715
2007-11-02,1000.3703295224492
2007-11-05,990.8735417488253
2007-11-06,1000.5097731784879
2007-11-07,985.6853112951554
2007-11-08,982.2884820196313
2007-11-09,972.5101611274197
2007-11-12,961.0731684036141
2007-11-13,975.5332857848692
2007-11-14,981.5044124628276
2007-11-15,967.0123882579709
2007-11-16,961.5622726812916
2007-11-19,945.040943995219
2007-11-20,952.2708984073453
2007-11-21,934.5134525506359
2007-11-22,936.1636079205706
2007-11-23,947.7441697552391
2007-11-26,938.355998450276
2007-11-27,943.5704523559095
2007-11-28,961.7043840900435
2007-11-29,967.3238787534398
2007-11-30,976.9399109702523
2007-12-03,973.0829886694014
2007-12-04,966.2273765300474
2007-12-05,978.1303536983944
2007-12-06,987.9636567902538
2007-12-07,990.9623004924138
2007-12-10,997.4492187616512
2007-12-11,984.6210179313929
2007-12-12,985.1789416152408
2007-12-13,970.6356572881031
2007-12-14,958.4556889050344
2007-12-17,940.9210369174166
2007-12-18,944.7057845929849
2007-12-19,942.2827569058563
2007-12-20,943.3848700136555
2007-12-21,956.158965020801
2007-12-24,962.851758902368
2007-12-25,964.2426226379501
2007-12-26,967.4748948880961
