Date,ACWI ex EMU IMI VALUE
2007-05-31,1000.0
2007-06-01,1006.2749208751632
2007-06-04,1009.1841780767027
2007-06-05,1005.6239985160914
2007-06-06,998.1373737563279
2007-06-07,985.0351121141462
2007-06-08,986.4814703286575
2007-06-11,989.2966598390522
2007-06-12,981.2643417085634
2007-06-13,988.5418070072591
2007-06-14,995.0269320086321
2007-06-15,1003.6063944276176
2007-06-18,1004.2874411684866
2007-06-19,1005.3680387357033
2007-06-20,998.2983609611773
2007-06-21,999.6759864492724
2007-06-22,990.6151356302333
2007-06-25,987.6419912146489
2007-06-26,985.2007010767819
2007-06-27,986.0511743414052
2007-06-28,990.5978749079517
2007-06-29,992.7635625751898
2007-07-02,1002.5355622008624
2007-07-03,1007.7945037365212
2007-07-04,1008.9885289560904
2007-07-05,1007.0749863521708
2007-07-06,1010.3119812251692
2007-07-09,1013.9622682671433
2007-07-10,1004.5622373543979
2007-07-11,1005.536308653566
2007-07-12,1019.1379444885837
2007-07-13,1025.8628264287308
2007-07-16,1024.2269104700206
2007-07-17,1022.8492086282686
2007-07-18,1018.8533271656513
2007-07-19,1023.3678513444495
2007-07-20,1016.7006898141766
2007-07-23,1019.0653217088657
2007-07-24,1003.742877662657
2007-07-25,1002.6805550338291
2007-07-26,979.774142276314
2007-07-27,961.712969855741
2007-07-30,967.0476206614727
2007-07-31,967.0471562981204
2007-08-01,961.0311521062301
2007-08-02,964.3209389736834
2007-08-03,947.5626949085104
2007-08-06,956.7929413445232
2007-08-07,963.0525027431103
2007-08-08,978.9966939058162
2007-08-09,957.894245070394
2007-08-10,945.1497098774585
2007-08-13,948.047623268039
2007-08-14,934.5239492717216
2007-08-15,919.9883756751775
2007-08-16,912.476983149918
2007-08-17,927.0495636936556
2007-08-20,934.8971591290183
2007-08-21,937.431818064858
2007-08-22,948.2781853544866
2007-08-23,953.5858993946041
2007-08-24,959.6660131663868
2007-08-27,957.5933330850919
2007-08-28,939.9687219578179
2007-08-29,949.4065310008504
2007-08-30,949.3857446093305
2007-08-31,962.9934245709812
2007-09-03,964.5943023504872
2007-09-04,970.2562055186149
2007-09-05,960.3317644482304
2007-09-06,963.2048803151371
2007-09-07,952.5201133331375
