Date,ACWI ex JAPAN IMI VALUE
2007-05-31,1000.0
2007-06-01,1006.2052595365931
2007-06-04,1008.43291459312
2007-06-05,1004.343806719774
2007-06-06,993.1374281211868
2007-06-07,979.1364873320673
2007-06-08,980.5506492775862
2007-06-11,984.3941247643726
2007-06-12,975.8864657215332
2007-06-13,983.9109818443966
2007-06-14,992.7666075192569
2007-06-15,1002.9614682054394
2007-06-18,1003.09785519079
2007-06-19,1004.5920712881341
2007-06-20,998.6956413606649
2007-06-21,997.502184179888
2007-06-22,990.0402765159708
2007-06-25,987.5392297212837
2007-06-26,983.4260941258132
2007-06-27,983.6370049236118
2007-06-28,989.7186778252876
2007-06-29,992.3293217898911
2007-07-02,1001.2027891213424
2007-07-03,1006.9963066650383
2007-07-04,1009.3263273099102
2007-07-05,1005.725854587188
2007-07-06,1011.3445049561451
2007-07-09,1014.38240701408
2007-07-10,1003.9632756168784
2007-07-11,1005.4726371686539
2007-07-12,1020.9393363287338
2007-07-13,1026.861322932342
2007-07-16,1025.8003349548394
2007-07-17,1024.145981272198
2007-07-18,1019.1987723725966
2007-07-19,1024.891000899171
2007-07-20,1015.30260475516
2007-07-23,1019.8262881346391
2007-07-24,1001.876394410505
2007-07-25,997.8271832037628
2007-07-26,972.8992984331909
2007-07-27,956.1741665366836
2007-07-30,960.5046936966077
2007-07-31,964.4811296243017
2007-08-01,957.0729034323948
2007-08-02,962.0269755058237
2007-08-03,944.8679892588556
2007-08-06,951.9698673377657
2007-08-07,960.9820033283921
2007-08-08,980.0038648905166
2007-08-09,954.0858480166852
2007-08-10,939.6110602485044
2007-08-13,945.4653346510069
2007-08-14,929.7781331072265
2007-08-15,916.4631169853801
2007-08-16,902.8124753912911
2007-08-17,925.8853220769744
2007-08-20,931.8452865922413
2007-08-21,932.2566379571663
2007-08-22,945.9004691045433
2007-08-23,949.9778774820246
2007-08-24,957.049570586787
2007-08-27,955.281244858584
2007-08-28,935.4656200894568
2007-08-29,946.6997861497633
2007-08-30,948.1385325053764
2007-08-31,960.1963094793991
2007-09-03,961.9496418372212
2007-09-04,968.5581785021047
