Date,AC FAR EAST IMI VALUE
1994-05-31,660.7157107839635
1994-06-30,690.4561901287393
1994-07-29,674.5505068839144
1994-08-31,682.7482888536166
1994-09-30,668.3397827317659
1994-10-31,683.4996565450062
1994-11-30,639.2541294994697
1994-12-30,645.4351734350329
1995-01-31,603.573277493421
1995-02-28,584.2376722072094
1995-03-31,631.4756524727795
1995-04-28,649.0894565352917
1995-05-31,624.9806905441532
1995-06-30,605.4129468302777
1995-07-31,641.3879999885594
1995-08-31,619.4737083323632
1995-09-29,622.367260152341
1995-10-31,595.7579868396722
1995-11-30,617.2929579867606
1995-12-29,646.1419255038792
1996-01-31,654.8158236423737
1996-02-29,648.1774425377205
1996-03-29,662.8316372476261
1996-04-30,706.8444837566146
1996-05-31,676.8603788994835
1996-06-28,679.6746071486967
1996-07-31,648.581389120074
1996-08-30,630.9358917754856
1996-09-30,645.9786025712872
1996-10-31,611.5683365290917
1996-11-29,626.4184640927821
1996-12-31,591.6565791482344
1997-01-01,591.6583824015272
1997-01-02,591.8080459877058
1997-01-03,589.9715260539464
1997-01-06,595.7311019750397
1997-01-07,591.0980594688119
1997-01-08,584.9126318514839
1997-01-09,572.8301998784016
1997-01-10,558.2517657604978
1997-01-13,568.5773429232819
1997-01-14,567.2902736647342
1997-01-15,568.4555959915996
1997-01-16,573.3059566733679
1997-01-17,570.6689864725847
1997-01-20,561.7882440670575
1997-01-21,558.6401939153952
1997-01-22,563.3535904625239
1997-01-23,559.5697123734541
1997-01-24,556.2040262630084
1997-01-27,547.6849238749223
1997-01-28,547.6344343759421
1997-01-29,548.8334891331746
1997-01-30,545.2520497058865
1997-01-31,553.8185931856297
1997-02-03,551.1642501525656
1997-02-04,552.5082810142032
1997-02-05,543.5451522109721
1997-02-06,541.6530615790557
1997-02-07,536.1486459405193
1997-02-10,544.6805221608017
1997-02-11,543.5481573415519
1997-02-12,545.2800596321225
1997-02-13,545.5564355663516
1997-02-14,548.6487891657249
1997-02-17,549.3529505726514
1997-02-18,545.9541744665412
1997-02-19,546.7183160673999
1997-02-20,558.231012351672
1997-02-21,559.9680044236477
1997-02-24,561.5520987150536
1997-02-25,563.3839503553495
1997-02-26,560.653310763211
1997-02-27,562.7908427827405
1997-02-28,558.4903280158421
1997-03-03,555.1597451473472
1997-03-04,552.7078621645842
1997-03-05,549.3360033413695
1997-03-06,544.2826076146825
1997-03-07,545.2388910213564
1997-03-10,545.2550213402197
1997-03-11,547.2679149589692
1997-03-12,543.7498179514837
1997-03-13,538.7378323574701
1997-03-14,536.0219760948528
1997-03-17,537.149868440001
1997-03-18,544.4356936184631
1997-03-19,544.1359891700697
1997-03-20,540.7362071869019
1997-03-21,544.5044113342993
1997-03-24,538.2934137097124
1997-03-25,540.5841328346837
1997-03-26,543.2218020767223
1997-03-27,540.7607921962042
1997-03-28,539.2522068318748
1997-03-31,538.7254616374482
1997-04-01,536.3863503910063
1997-04-02,541.8843436357508
1997-04-03,540.8381805202181
1997-04-04,533.6563816182813
1997-04-07,525.3239006845962
1997-04-08,526.8161224309821
1997-04-09,521.5010097100351
1997-04-10,516.926665767893
1997-04-11,520.455548219391
1997-04-14,516.3027817076398
1997-04-15,518.4264578099945
1997-04-16,523.5245326473372
1997-04-17,524.6946405542341
1997-04-18,529.4279634288565
1997-04-21,537.1057491393965
1997-04-22,535.1114542650138
1997-04-23,539.5873346403926
1997-04-24,538.5931568355212
1997-04-25,536.9115633094352
1997-04-28,535.0825618874834
1997-04-29,533.0649280877145
1997-04-30,540.9305678960982
1997-05-01,546.7453845695679
1997-05-02,548.1198394397833
