Date,ZHONG HUA IMI VALUE
2007-05-31,1000.0
2007-06-01,1000.1796837919181
2007-06-04,1008.4319864853521
2007-06-05,1019.3237854396258
2007-06-06,1018.8316520344586
2007-06-07,1016.4809095235225
2007-06-08,1002.2403100575475
2007-06-11,1009.1135901584877
2007-06-12,1010.6831188024331
2007-06-13,1007.8650354652607
2007-06-14,1022.6748472525177
2007-06-15,1031.5702215091678
2007-06-18,1054.1645669690542
2007-06-19,1054.5935390075829
2007-06-20,1062.5211505638495
2007-06-21,1074.4866604789615
2007-06-22,1073.6964188529803
2007-06-25,1063.8782065827902
2007-06-26,1061.8684217233335
2007-06-27,1053.0916986896984
2007-06-28,1063.418490365187
2007-06-29,1059.4275680880626
2007-07-02,1059.4756447003522
2007-07-03,1086.4556404583316
2007-07-04,1088.943241020414
2007-07-05,1088.5930918229649
2007-07-06,1100.5630487480585
2007-07-09,1118.503790563498
2007-07-10,1117.520639229905
2007-07-11,1104.020896144275
2007-07-12,1116.986778775572
2007-07-13,1129.3356217925866
2007-07-16,1119.3957520412005
2007-07-17,1124.2046341632988
2007-07-18,1108.1705882651015
2007-07-19,1117.6328897887229
2007-07-20,1136.1281501449098
2007-07-23,1143.3151667631257
2007-07-24,1149.909831313897
2007-07-25,1148.017393938396
2007-07-26,1139.3853164981774
2007-07-27,1106.885849925584
2007-07-30,1111.6187802217564
2007-07-31,1132.7675860314719
2007-08-01,1093.6038876104765
2007-08-02,1086.8511154451128
2007-08-03,1091.1103376508354
2007-08-06,1060.106130944301
2007-08-07,1053.4051255086063
2007-08-08,1084.5069416596264
2007-08-09,1084.4703065446115
2007-08-10,1049.8128725489994
2007-08-13,1053.2520075736954
2007-08-14,1060.1118382937875
2007-08-15,1028.4408119362947
2007-08-16,983.3636389762374
2007-08-17,963.3047358190078
2007-08-20,1023.8361929738126
2007-08-21,1035.0890449440585
2007-08-22,1063.372308933949
2007-08-23,1097.9343325534433
2007-08-24,1101.1071560984958
2007-08-27,1150.3518356644836
2007-08-28,1136.839852199691
2007-08-29,1116.7798898097874
2007-08-30,1139.460038270191
2007-08-31,1164.716682319202
2007-09-03,1165.8332116905485
2007-09-04,1163.2823952451824
2007-09-05,1169.371619155812
2007-09-06,1168.2919060555153
2007-09-07,1163.818520180525
2007-09-10,1163.8848403962636
2007-09-11,1161.0616666908563
2007-09-12,1182.5909074561005
2007-09-13,1190.5901507804356
2007-09-14,1213.792460097699
2007-09-17,1202.8080706955109
2007-09-18,1202.9111973259805
2007-09-19,1249.5043913055356
2007-09-20,1262.0552535382215
2007-09-21,1268.1849714986677
2007-09-24,1311.366669209229
2007-09-25,1307.1224716786019
2007-09-26,1307.5324932569583
2007-09-27,1348.5154881344274
2007-09-28,1356.6618406455484
2007-10-01,1356.4795339573107
2007-10-02,1407.1999628113822
2007-10-03,1357.4943752169838
2007-10-04,1320.927633270459
2007-10-05,1367.7138315320033
2007-10-08,1352.7492231974368
2007-10-09,1372.7734589328747
2007-10-10,1390.3770987217938
2007-10-11,1435.3696307853884
2007-10-12,1436.0474804326539
2007-10-15,1495.5237841844787
2007-10-16,1475.5018318997197
