Date,ACWI IMI VALUE
1994-05-31,269.048698348522
1994-06-30,270.5142653669272
1994-07-29,275.2195706201474
1994-08-31,282.92520822085226
1994-09-30,275.5887317014087
1994-10-31,281.8714515740547
1994-11-30,268.4607615857095
1994-12-30,270.65527723375294
1995-01-31,265.8360193172092
1995-02-28,267.65594112528
1995-03-31,279.6676124743006
1995-04-28,288.4028372188474
1995-05-31,291.0992092034431
1995-06-30,289.8341526701444
1995-07-31,302.7343653863575
1995-08-31,297.5498040676684
1995-09-29,304.31040706903156
1995-10-31,298.3858539786784
1995-11-30,307.080322902408
1995-12-29,317.93337913384204
1996-01-31,324.4874900131049
1996-02-29,326.08665074201605
1996-03-29,330.50601518936276
1996-04-30,339.1085719463237
1996-05-31,338.5550885754216
1996-06-28,339.9322756890025
1996-07-31,328.7034562385998
1996-08-30,332.187659323029
1996-09-30,341.4139593208192
1996-10-31,343.98046582025773
1996-11-29,360.7455117908588
1996-12-31,358.3082766317118
1997-01-01,358.3075870447133
1997-01-02,356.040521006197
1997-01-03,357.51732267201805
1997-01-06,358.6379545006829
1997-01-07,358.98270524969973
1997-01-08,357.97625481137607
1997-01-09,357.8551767610986
1997-01-10,355.920956691898
1997-01-13,358.2406475179299
1997-01-14,360.84835332677164
1997-01-15,361.80710912705246
1997-01-16,363.08870071706275
1997-01-17,363.3065498062624
1997-01-20,361.72724162139025
1997-01-21,361.7432108372351
1997-01-22,362.71479620843496
1997-01-23,360.9432190076232
1997-01-24,358.7346636491486
1997-01-27,356.37563258570265
1997-01-28,355.6596151899996
1997-01-29,356.9421270336719
1997-01-30,358.5676126920437
1997-01-31,360.6135977853804
1997-02-03,360.63565427784613
1997-02-04,361.7972658034038
1997-02-05,360.1764368379182
1997-02-06,360.1769292620141
1997-02-07,360.6307036056748
1997-02-10,362.4809397751887
1997-02-11,362.8166058052865
1997-02-12,364.9644687204964
1997-02-13,366.85889309441836
1997-02-14,367.22892506175145
1997-02-17,367.1042297304858
1997-02-18,368.0299883929348
1997-02-19,367.5140793942961
1997-02-20,367.54806007388646
1997-02-21,368.09154186570754
1997-02-24,370.75703390968744
1997-02-25,372.51062490711394
1997-02-26,369.96370704165565
1997-02-27,368.37065490083455
1997-02-28,366.6834307552574
1997-03-03,366.4544911920093
1997-03-04,366.14446106517414
1997-03-05,367.22983927708236
1997-03-06,367.47703777625486
1997-03-07,369.232142893353
1997-03-10,372.02788309916514
1997-03-11,372.1993727744569
1997-03-12,369.21271269636344
1997-03-13,364.6247645008256
1997-03-14,365.4086718100716
1997-03-17,364.64547070485685
1997-03-18,364.03722435421
1997-03-19,363.524566299369
1997-03-20,360.56734445166563
1997-03-21,362.39045201083087
1997-03-24,362.850015357797
1997-03-25,364.097318938735
1997-03-26,365.10269706942927
1997-03-27,362.4460064322087
1997-03-28,362.351271881026
1997-03-31,359.5196896613188
1997-04-01,357.21757630018556
1997-04-02,355.9776121401389
1997-04-03,354.4836221694853
1997-04-04,354.26882414309824
1997-04-07,354.38447883439324
1997-04-08,355.3271575213196
1997-04-09,354.1488425581881
1997-04-10,353.24148408972866
1997-04-11,349.54087974987766
1997-04-14,348.73428460305746
1997-04-15,352.06859942391003
1997-04-16,354.45913214513394
1997-04-17,354.8383755631914
1997-04-18,356.62631985414833
1997-04-21,357.05900429570255
1997-04-22,358.65452985370894
1997-04-23,359.3760206207896
1997-04-24,358.82893053838023
1997-04-25,356.8701066766623
1997-04-28,357.9038589997225
1997-04-29,362.40074391967585
1997-04-30,364.75121109344764
1997-05-01,366.0506347253298
1997-05-02,369.1107001779382
1997-05-05,372.66106834987784
1997-05-06,376.52097322616635
1997-05-07,374.41738871033897
1997-05-08,375.9436846657611
1997-05-09,378.26933289045536
1997-05-12,383.17741953119395
1997-05-13,383.1103362647838
1997-05-14,384.9213775385348
1997-05-15,385.7938476734337
1997-05-16,385.87274774405284
1997-05-19,385.5203175716422
1997-05-20,388.1725727051369
1997-05-21,387.92171514296876
1997-05-22,386.51871098611855
1997-05-23,389.7445819975911
1997-05-26,389.828108804696
1997-05-27,388.4885838083472
1997-05-28,389.2636507140405
1997-05-29,388.3652242935188
1997-05-30,387.9191681868758
1997-06-02,388.5975067645647
1997-06-03,390.2837277363745
1997-06-04,389.78503103239177
1997-06-05,391.18844184382874
1997-06-06,394.16700035691963
1997-06-09,396.77771561286187
1997-06-10,398.1605303111847
1997-06-11,399.69652126364025
1997-06-12,402.05223791507467
1997-06-13,403.91227933978485
1997-06-16,405.7328398709227
1997-06-17,404.3996171155058
1997-06-18,404.2280504870658
1997-06-19,405.80806886846574
1997-06-20,405.3878259539814
1997-06-23,402.33432845718914
1997-06-24,405.35531522830354
1997-06-25,406.54083763463404
1997-06-26,406.21493866427477
1997-06-27,405.06065311736506
1997-06-30,404.5210577470679
1997-07-01,406.79734335351674
1997-07-02,409.47579835980537
1997-07-03,414.3890797682496
1997-07-04,413.8066112340288
1997-07-07,413.92514077302513
1997-07-08,414.09958090451164
1997-07-09,411.5768610889535
1997-07-10,412.6872245030797
1997-07-11,412.77744066387913
1997-07-14,412.47126474988164
1997-07-15,410.69099580546543
1997-07-16,414.01208996924765
1997-07-17,413.175349398652
1997-07-18,409.252842782531
1997-07-21,407.6323046001047
1997-07-22,412.3418512746546
1997-07-23,413.95163317997674
1997-07-24,413.8255482472888
1997-07-25,413.39263574268915
1997-07-28,413.34508442531967
1997-07-29,414.84677714076093
1997-07-30,416.9124761602153
1997-07-31,417.9534098882441
1997-08-01,414.0927465601772
1997-08-04,412.61219589726693
