Date,GOLDEN DRAGON IMI WITH PARTIAL A SHARES
2008-11-28,1092.5008810099107
2008-12-31,1075.9330445929218
2009-01-30,1092.5337293170276
2009-02-27,1091.2375534784444
2009-03-31,1175.1743212978472
2009-04-30,1350.3625069751254
2009-05-29,1493.9423727989597
2009-06-30,1494.215608345638
2009-07-31,1660.6873424206724
2009-08-31,1538.7755477828277
2009-09-30,1630.795067410771
2009-10-30,1656.8187871689545
2009-11-30,1674.564398444341
2009-12-31,1818.1957830807946
2010-01-29,1737.4428174871186
2010-02-26,1783.2015341970398
2010-03-31,1912.001100131502
2010-04-30,1948.61456136631
2010-05-31,1951.080722451184
2010-06-30,1962.8716544089389
2010-07-30,1961.940632894167
2010-08-31,1982.5517456642913
2010-09-30,2044.117601787037
2010-10-29,2073.499238022562
2010-11-30,2213.7332203914607
2010-12-31,2223.81475561461
2011-01-31,2195.2458488049224
2011-02-28,2083.4967513544943
2011-03-31,2088.8376231712405
2011-04-29,2063.9785353156954
2011-05-31,2126.956722858739
2011-06-30,2026.2552535878585
2011-07-29,2045.8990297482642
2011-08-31,1856.0364611909336
2011-09-30,1690.86082684231
2011-10-31,1815.7794180716978
2011-11-30,1719.3801195954525
2011-12-30,1817.2146449788306
2012-01-31,1977.8794711886433
2012-02-29,2090.5911274610207
2012-03-30,1993.8740913929405
2012-04-30,2011.8282834478166
2012-05-31,1975.6426240909107
2012-06-29,1949.9053838099542
2012-07-31,2032.8375024271236
2012-08-31,1982.0556508580435
2012-09-28,2074.266891634817
2012-10-31,2074.578692648366
2012-11-30,2141.72778959512
2012-12-31,2183.993143864756
2013-01-31,2199.352364941128
2013-02-28,2248.6495146997177
2013-03-29,2230.7286209311296
2013-04-30,2221.3141947339955
2013-05-31,2261.19667795901
2013-06-28,2126.288337534013
2013-07-31,2144.051082033013
2013-08-30,2181.1787928088297
2013-09-30,2222.8973303680555
2013-10-31,2278.1251810153394
2013-11-29,2322.2511308828534
2013-12-31,2273.5384138877625
2014-01-31,2208.066139558805
2014-02-28,2216.58184553615
2014-03-31,2204.861330099801
2014-04-30,2181.9488296581394
2014-05-30,2309.7441437379375
2014-06-30,2369.7428928219847
2014-07-31,2539.450980702122
2014-08-29,2600.952610331413
2014-09-30,2544.4411303370207
2014-10-31,2652.903561630077
2014-11-28,2699.1181869246193
2014-12-31,2759.57772451773
2015-01-30,3025.3247772537698
2015-02-27,3115.5550239800327
2015-03-31,3317.054519617537
2015-04-30,3572.7233548896884
2015-05-29,3614.4300827739157
2015-06-30,3370.737697845161
2015-07-31,3096.2173207745873
2015-08-31,2710.0045547110167
2015-09-30,2675.1553431038333
2015-10-30,2926.0859947341933
2015-11-30,2971.784728530513
2015-12-31,2873.4031463992415
2016-01-29,2568.0993337798177
2016-02-29,2557.870135993569
2016-03-31,2685.612707132674
2016-04-29,2641.665727260771
2016-05-31,2706.7556325205805
2016-06-30,2754.217369817009
2016-07-29,2861.094730093257
2016-08-31,3005.6013680507535
2016-09-30,3056.731382324177
2016-10-31,3103.0378647883585
2018-03-30,3778.571271338736
2018-04-30,3824.2332166256897
2018-05-01,3857.4162490660533
2018-05-31,4013.6641793143376
