Date,ZHONG HUA IMI WITH PARTIAL A SHARES
2008-11-28,1099.7464216734215
2008-12-31,1094.7006224483368
2009-01-30,1127.5896478193047
2009-02-27,1099.9943294596233
2009-03-31,1165.4860799308037
2009-04-30,1323.0197113970112
2009-05-29,1468.2922546642665
2009-06-30,1520.390233059248
2009-07-31,1688.3760245490637
2009-08-31,1544.1356553206058
2009-09-30,1601.9544616349838
2009-10-30,1676.5579254811246
2009-11-30,1682.7166432976
2009-12-31,1784.348996876956
2010-01-29,1700.0343284890646
2010-02-26,1782.4642693715484
2010-03-31,1900.7570115594904
2010-04-30,1915.9595624882559
2010-05-31,1942.513651405414
2010-06-30,1973.0052939095222
2010-07-30,1951.9354105343393
2010-08-31,1972.074048160848
2010-09-30,2032.674118072362
2010-10-29,2071.02821776113
2010-11-30,2197.2470130765905
2010-12-31,2130.0601851250917
2011-01-31,2082.799095395164
2011-02-28,2018.512721241712
2011-03-31,2038.0754716571764
2011-04-29,1989.178163843194
2011-05-31,2051.8476971162613
2011-06-30,1957.1767796169863
2011-07-29,1973.0645711729462
2011-08-31,1798.709108782451
2011-09-30,1601.6453711948732
2011-10-31,1758.3820774096027
2011-11-30,1677.494456331779
2011-12-30,1766.7805746325507
2012-01-31,1922.8297629044987
2012-02-29,2028.1004273531503
2012-03-30,1910.8489029250654
2012-04-30,1971.040019094521
2012-05-31,1901.1605499996567
2012-06-29,1891.9296593726488
2012-07-31,1978.3318718131636
2012-08-31,1902.8780054117135
2012-09-28,1990.2717037454506
2012-10-31,2058.8261547419397
2012-11-30,2098.278452908192
2012-12-31,2156.1614835684395
2013-01-31,2199.8598220871872
2013-02-28,2230.3707190956543
2013-03-29,2192.9979013729308
2013-04-30,2169.359533930388
2013-05-31,2202.672197944669
2013-06-28,2042.8021701435348
2013-07-31,2074.4737594013955
2013-08-30,2121.7581214143975
2013-09-30,2175.6412242705032
2013-10-31,2218.0918131525855
2013-11-29,2294.4705428029924
2013-12-31,2223.7905551646395
2014-01-31,2141.859001006074
2014-02-28,2154.450146620932
2014-03-31,2114.957438146302
2014-04-30,2083.8506423789313
2014-05-30,2207.6002715104023
2014-06-30,2250.3350901876042
2014-07-31,2466.360264232284
2014-08-29,2505.026768274866
2014-09-30,2457.583388092456
2014-10-31,2591.8740163872562
2014-11-28,2640.3898203362014
2014-12-31,2704.4018428676177
2015-01-30,2979.4851749826175
2015-02-27,3056.2460903393235
2015-03-31,3283.03309556991
2015-04-30,3635.8718585286797
2015-05-29,3672.319534440578
2015-06-30,3403.8421211608165
2015-07-31,3116.5711267960114
2015-08-31,2693.2510040726006
2015-09-30,2654.6694162655594
2015-10-30,2926.886555883248
2015-11-30,2974.4028866387257
2015-12-31,2875.6303541863217
2016-01-29,2513.3585525970975
2016-02-29,2467.9453046671447
2016-03-31,2611.2771212804487
2016-04-29,2603.241121500774
2016-05-31,2652.0951864353055
2016-06-30,2676.5730874687447
2016-07-29,2763.9888565994424
2016-08-31,2928.476141285088
2016-09-30,2977.0118110689245
2016-10-31,3004.952483191526
2018-03-30,3699.5103863573395
2018-04-30,3791.846944028245
2018-05-01,3825.8467765721957
2018-05-31,3989.1864518723664
