Date,AC ASIA GROWTH
2000-12-29,100.0
2001-01-01,99.87118920274527
2001-01-02,98.86623176748299
2001-01-03,98.56590127386126
2001-01-04,100.09911119778137
2001-01-05,100.21723031861742
2001-01-08,100.0942804201962
2001-01-09,100.10781442790672
2001-01-10,99.43791526823287
2001-01-11,96.45524353150257
2001-01-12,97.848934360035
2001-01-15,99.09174217877445
2001-01-16,101.17587424099867
2001-01-17,102.89011243143743
2001-01-18,102.48677912196354
2001-01-19,106.04302153994992
2001-01-22,106.34695416936489
2001-01-23,105.18495544535573
2001-01-24,106.21302032779909
2001-01-25,107.0767049776025
2001-01-26,105.8868225803648
2001-01-29,106.18960477667652
2001-01-30,105.35791285997436
2001-01-31,105.9333526481504
2001-02-01,105.00620695235874
2001-02-02,104.83724408045572
2001-02-05,102.31505722324708
2001-02-06,102.79883717693444
2001-02-07,102.32232785437174
2001-02-08,103.3316766241424
2001-02-09,102.54831088408154
2001-02-12,101.8192408952193
2001-02-13,102.68693030715541
2001-02-14,102.15570021664483
2001-02-15,104.81651527154219
2001-02-16,103.2496001601512
2001-02-19,101.53669330660912
2001-02-20,103.86100773128109
2001-02-21,101.48702576148092
2001-02-22,101.03436626220613
2001-02-23,101.65668263435442
2001-02-26,101.1348625918811
2001-02-27,99.60938712521138
2001-02-28,98.21813098109905
2001-03-01,95.02344468598663
2001-03-02,91.41726152039084
2001-03-05,92.44335026735449
2001-03-06,94.2637750668563
2001-03-07,95.29805146341901
2001-03-08,94.81134962392083
2001-03-09,94.4670743582488
2001-03-12,91.5916906873392
2001-03-13,90.99648784109412
2001-03-14,91.5221194300311
2001-03-15,93.53664843478552
2001-03-16,94.60901747726254
2001-03-19,94.76925986663947
2001-03-20,93.64452372262656
2001-03-21,98.14630717850645
2001-03-22,97.51167445926819
2001-03-23,99.93251234417372
2001-03-26,103.09053548832188
2001-03-27,101.83634309379737
2001-03-28,103.64082932482444
2001-03-29,99.77126193929794
2001-03-30,97.83807529857059
2001-04-02,96.4463747304683
2001-04-03,96.66114993062595
2001-04-04,94.46590483894795
2001-04-05,96.19017532053843
2001-04-06,96.93575557340507
2001-04-09,93.3898303064742
2001-04-10,93.36079877555
2001-04-11,96.4948359795103
2001-04-12,97.07289312453474
2001-04-13,96.71371002180341
2001-04-16,96.58386198577988
2001-04-17,96.49336399056946
2001-04-18,101.42320629329063
2001-04-19,102.33334706396819
