Date,KUKJE (ACWI ex KOREA) GROWTH
2002-05-31,1000.0
2002-06-03,981.1439162253364
2002-06-04,971.3943730454166
2002-06-05,980.3897360216938
2002-06-06,962.3331690113246
2002-06-07,953.3409449741532
2002-06-10,956.6254593382605
2002-06-11,948.9836890544507
2002-06-12,942.5495426782135
2002-06-13,932.8710884350306
2002-06-14,922.827348323536
2002-06-17,949.6571697577148
2002-06-18,944.5552440758133
2002-06-19,923.0106890129432
2002-06-20,903.6609592378643
2002-06-21,886.6585089858161
2002-06-24,879.5870129566223
2002-06-25,879.7018469422815
2002-06-26,860.9024760590266
2002-06-27,879.5808698144627
2002-06-28,883.9736656369306
2002-07-01,870.2409930827693
2002-07-02,850.7960239434778
2002-07-03,855.0312699982411
2002-07-04,860.7991638447461
2002-07-05,896.7399608715323
2002-07-08,878.6779895880208
2002-07-09,860.539385191521
2002-07-10,838.173642180014
2002-07-11,833.2973931477851
2002-07-12,834.8136984867255
2002-07-15,811.012713500641
2002-07-16,799.1317261434165
2002-07-17,812.1562665206337
2002-07-18,803.0347794088991
2002-07-19,769.5650863298409
2002-07-22,749.5914608760058
2002-07-23,741.9967204416648
2002-07-24,762.2062702672184
2002-07-25,756.8280207549378
2002-07-26,769.1583203237391
2002-07-29,813.4672234214545
2002-07-30,811.059632301541
2002-07-31,815.9400682396282
2002-08-01,790.8417193857639
2002-08-02,778.8039248936316
2002-08-05,753.7714542952722
2002-08-06,787.1140673488746
2002-08-07,794.5192717580421
2002-08-08,819.1154435059169
2002-08-09,821.8063516239306
2002-08-12,809.8612736654677
2002-08-13,801.483980486801
2002-08-14,812.6313364090781
2002-08-15,831.5538414351747
2002-08-16,831.9367723317138
2002-08-19,852.5536651435273
2002-08-20,842.162601073333
2002-08-21,848.0602480080166
2002-08-22,866.0953950368016
2002-08-23,850.6595317682142
2002-08-26,852.3261966664362
2002-08-27,839.6229315254841
2002-08-28,819.5843829202174
2002-08-29,813.9612657377698
2002-08-30,815.7028451130603
2002-09-02,808.3886740328387
2002-09-03,771.0978830278652
2002-09-04,782.053282907487
2002-09-05,775.1969473147042
2002-09-06,793.8485547993843
2002-09-09,799.809131336238
2002-09-10,814.8564215746355
2002-09-11,821.1153148956844
2002-09-12,797.9489185136798
2002-09-13,792.6238566540844
