Date,AUSTRALIA IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1009.2211763488108
1999-01-05,1010.0902609901215
1999-01-06,1029.2668254870182
1999-01-07,1047.6398489794426
1999-01-08,1044.8797361086163
1999-01-11,1060.9237754000355
1999-01-12,1066.676802756482
1999-01-13,1045.1477071520706
1999-01-14,1043.645570781721
1999-01-15,1046.6714789245052
1999-01-18,1054.0972174227632
1999-01-19,1066.951624716472
1999-01-20,1071.7397876290456
1999-01-21,1068.9019685709463
1999-01-22,1057.9945663591407
1999-01-25,1049.0494651785866
1999-01-26,1046.724701820849
1999-01-27,1051.4983668556765
1999-01-28,1048.2284433082586
1999-01-29,1058.2052602489962
1999-02-01,1068.5712155990927
1999-02-02,1077.682966136109
1999-02-03,1085.3948282303554
1999-02-04,1100.6943271673754
1999-02-05,1109.6051024888948
1999-02-08,1108.9159882216275
1999-02-09,1103.216331917326
1999-02-10,1090.5279827294337
1999-02-11,1100.1134263478054
1999-02-12,1098.8355634779675
1999-02-15,1097.2095129658055
1999-02-16,1082.2380337742977
1999-02-17,1079.1477453066277
1999-02-18,1087.9746968332947
1999-02-19,1103.8195858624408
1999-02-22,1109.6862771294964
1999-02-23,1109.1233790663155
1999-02-24,1097.3882564571338
1999-02-25,1077.522564766394
1999-02-26,1069.4180078268573
1999-03-01,1067.5820744862667
1999-03-02,1070.3027719220622
1999-03-03,1078.6702666277738
1999-03-04,1073.8546504554959
1999-03-05,1086.775879825967
1999-03-08,1096.5904455259126
1999-03-09,1104.9754531397466
1999-03-10,1103.4387578811518
1999-03-11,1105.8933377746214
1999-03-12,1114.3396258790324
1999-03-15,1112.1434306512247
1999-03-16,1097.4688978196748
1999-03-17,1097.247323843234
1999-03-18,1105.0425387455828
1999-03-19,1108.0485821212812
1999-03-22,1114.2160140575338
1999-03-23,1123.5757030942061
1999-03-24,1116.727412892165
1999-03-25,1112.2600225475949
1999-03-26,1113.9225570771832
1999-03-29,1116.6048425463944
1999-03-30,1108.9331523340043
1999-03-31,1111.441602262629
1999-04-01,1119.6230461787222
1999-04-02,1114.002536730497
1999-04-05,1111.1922820063824
1999-04-06,1107.9959813859157
1999-04-07,1106.3301411746718
1999-04-08,1104.393398248732
1999-04-09,1117.5141613706378
1999-04-12,1118.341511414464
1999-04-13,1129.5850615251304
1999-04-14,1137.085885887729
1999-04-15,1137.0096063071628
1999-04-16,1164.0853119579438
1999-04-19,1181.774545639773
1999-04-20,1170.0021412123783
1999-04-21,1162.8162362045955
1999-04-22,1178.360313025369
1999-04-23,1182.7811754223055
1999-04-26,1178.2963794002442
1999-04-27,1178.9787895410875
1999-04-28,1181.3736410198064
1999-04-29,1192.9432471112132
1999-04-30,1205.820947172444
1999-05-03,1206.2565733309068
1999-05-04,1207.8567078754843
1999-05-05,1198.9289263977348
1999-05-06,1219.5839926393187
1999-05-07,1213.4885558371043
1999-05-10,1205.8242253149106
1999-05-11,1205.6113763332237
1999-05-12,1202.5298068005404
1999-05-13,1202.2902669164348
1999-05-14,1208.1620595340544
1999-05-17,1192.7916910809652
1999-05-18,1209.5713571908634
1999-05-19,1190.8781945393293
1999-05-20,1179.751029705749
1999-05-21,1178.246067460905
1999-05-24,1176.9029176126003
1999-05-25,1166.2409393781002
1999-05-26,1146.1182165231094
1999-05-27,1140.4786975761547
1999-05-28,1142.727635669155
1999-05-31,1138.54760517189
1999-06-01,1127.9211541669085
1999-06-02,1119.3709963479935
1999-06-03,1129.0875503818054
1999-06-04,1136.8588621378765
1999-06-07,1146.5030973077828
1999-06-08,1156.2980835233018
1999-06-09,1162.677563533295
1999-06-10,1164.2985983129236
1999-06-11,1168.09297128944
1999-06-14,1165.196220101904
1999-06-15,1152.0677769289234
1999-06-16,1150.1718492723119
1999-06-17,1155.8954886879953
1999-06-18,1151.6223038348965
1999-06-21,1145.778273611281
1999-06-22,1154.3620964739216
1999-06-23,1160.814788347371
1999-06-24,1157.038509470196
1999-06-25,1161.412069220833
1999-06-28,1158.4194478749232
1999-06-29,1154.6003071739688
1999-06-30,1166.8867904015115
1999-07-01,1187.5358097396127
1999-07-02,1200.5882215040092
1999-07-05,1204.4499692179954
1999-07-06,1205.8558824115337
1999-07-07,1196.2861637000613
1999-07-08,1204.4775174670035
1999-07-09,1204.7190793667992
1999-07-12,1204.1749698946887
1999-07-13,1197.4605818129803
1999-07-14,1200.6163795989455
1999-07-15,1209.7272335589855
1999-07-16,1198.2464584161191
1999-07-19,1190.3338283333917
1999-07-20,1192.2477187077181
1999-07-21,1180.6688631483573
1999-07-22,1183.4302617873261
1999-07-23,1188.0053825416576
1999-07-26,1181.3736816990831
1999-07-27,1176.2573623787896
1999-07-28,1186.2357193465468
1999-07-29,1192.9664597507835
1999-07-30,1191.5358792127356
1999-08-02,1177.4845545270996
