Date,UK IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1026.4319031239133
2010-05-28,1021.696226794139
2010-05-31,1031.8174466688506
2010-06-01,1041.2496918015609
2010-06-02,1047.8594075626033
2010-06-03,1066.9750589659018
2010-06-04,1065.3670950208384
2010-06-07,1061.238234704333
2010-06-08,1039.1380058466402
2010-06-09,1054.9130243281702
2010-06-10,1064.1849816852373
2010-06-11,1070.6721128970598
2010-06-14,1075.5148276344476
2010-06-15,1082.1620092060896
2010-06-16,1084.1770047097207
2010-06-17,1078.5183032961306
2010-06-18,1080.3799662444173
2010-06-21,1083.786578045382
2010-06-22,1083.9400130129682
2010-06-23,1084.135003704563
2010-06-24,1075.572945200426
2010-06-25,1066.5703919496818
2010-06-28,1075.386608156785
2010-06-29,1060.2964827795972
2010-06-30,1055.2041181165894
2010-07-01,1027.0329302153145
2010-07-02,1027.7489685494345
2010-07-05,1028.566150836264
2010-07-06,1050.2100963264252
2010-07-07,1058.3380055165146
2010-07-08,1065.1369660147084
2010-07-09,1068.2271113846764
2010-07-12,1076.6154948485814
2010-07-13,1093.1772563803547
2010-07-14,1087.3906705054949
2010-07-15,1076.0005113453558
2010-07-16,1061.092921953606
2010-07-19,1044.3413850542704
2010-07-20,1034.7352105873522
2010-07-21,1048.3659046348334
2010-07-22,1060.8432807767324
2010-07-23,1077.745446851491
2010-07-26,1079.5917683716204
2010-07-27,1078.2979585711914
2010-07-28,1068.4746404756522
2010-07-29,1066.0123139310062
2010-07-30,1060.8689906855004
2010-08-02,1084.7408795345184
2010-08-03,1092.4263048484722
2010-08-04,1093.2163966098092
2010-08-05,1091.0848296871807
2010-08-06,1086.3175316509103
2010-08-09,1103.5721367544397
2010-08-10,1091.5432394112586
2010-08-11,1077.934522281203
2010-08-12,1074.5474120782676
2010-08-13,1082.4586014200922
2010-08-16,1075.943226100096
2010-08-17,1080.6402074538587
2010-08-18,1078.0498801867907
2010-08-19,1064.6258851103269
2010-08-20,1067.7914341471758
2010-08-23,1077.6240934564057
2010-08-24,1058.9231552789727
2010-08-25,1059.4741287572115
2010-08-26,1065.0260950510751
2010-08-27,1072.8799203825872
2010-08-30,1075.6902771119173
2010-08-31,1066.2741935363492
2010-09-01,1090.626535524998
2010-09-02,1092.3621388142542
2010-09-03,1103.199870665848
2010-09-06,1103.8931743765572
2010-09-07,1100.5641352127145
2010-09-08,1122.218750555974
2010-09-09,1126.773655748868
2010-09-10,1129.1350869551834
2010-09-13,1129.8353343719873
2010-09-14,1122.9641907191171
2010-09-15,1129.7010866754488
2010-09-16,1123.3155703795217
2010-09-17,1121.498075371425
2010-09-20,1126.3071257192842
2010-09-21,1115.7173708233533
2010-09-22,1093.9595748861284
2010-09-23,1099.5258344203933
2010-09-24,1101.900333243118
2010-09-27,1100.4172430869717
2010-09-28,1089.0437318897766
2010-09-29,1085.0460106287057
2010-09-30,1076.3196266720927
2010-10-01,1075.358441618773
2010-10-04,1079.4775094079018
2010-10-05,1089.041278138545
2010-10-06,1089.498586897445
2010-10-07,1096.2902528061334
2010-10-08,1096.0579805117673
2010-10-11,1105.5219559034267
2010-10-12,1098.956460562805
2010-10-13,1107.3024406246877
2010-10-14,1111.31015534458
2010-10-15,1110.4656031832199
2010-10-18,1114.6882191156176
2010-10-19,1109.7487691015165
2010-10-20,1105.4249059210028
2010-10-21,1097.496602162465
2010-10-22,1094.2411632998458
2010-10-25,1097.001224117835
2010-10-26,1111.153542846478
2010-10-27,1099.1307780947602
2010-10-28,1106.6619119694365
2010-10-29,1114.4574285086421
2010-11-01,1120.1341403466392
2010-11-02,1114.472756928143
2010-11-03,1112.8989238312165
2010-11-04,1127.9823590644694
2010-11-05,1144.667313720996
2010-11-08,1147.6081015784443
2010-11-09,1148.9139899628676
2010-11-10,1158.2585700428701
2010-11-11,1157.5875498899393
2010-11-12,1152.76583934978
2010-11-15,1158.3500634473926
2010-11-16,1130.5528540096332
2010-11-17,1133.6903195640032
2010-11-18,1142.3272552434964
2010-11-19,1135.0546791021422
2010-11-22,1130.7612729434607
2010-11-23,1119.620169227831
2010-11-24,1126.443336389204
2010-11-25,1131.181627788379
2010-11-26,1132.86794909353
2010-11-29,1117.6912145155932
2010-11-30,1123.0775148780147
2010-12-01,1137.1463839184764
2010-12-02,1146.166837235257
2010-12-03,1138.7405218767892
2010-12-06,1149.5190777786927
2010-12-07,1159.1751844431071
2010-12-08,1167.3404898630672
2010-12-09,1170.0854232887957
2010-12-10,1176.0917685888296
2010-12-13,1175.182051220864
2010-12-14,1177.1029322000181
2010-12-15,1168.1062334467167
2010-12-16,1178.167870840185
2010-12-17,1167.7183278689172
2010-12-20,1177.2163155374826
2010-12-21,1178.757337089032
2010-12-22,1183.0452880385726
2010-12-23,1189.0876803014742
2010-12-24,1188.789951330798
2010-12-27,1181.2276681668716
2010-12-28,1182.315141346727
2010-12-29,1185.1758485092685
2010-12-30,1163.4033365379987
2010-12-31,1162.9989294428303
2011-01-03,1153.4480380103191
2011-01-04,1187.6178615786707
2011-01-05,1198.770731320958
2011-01-06,1213.152350881847
2011-01-07,1219.726519633403
2011-01-10,1217.3601430141377
2011-01-11,1221.1063180951555
2011-01-12,1221.1748244430205
2011-01-13,1210.3620844657207
2011-01-14,1211.0437420272528
2011-01-17,1222.4317976916423
2011-01-18,1228.2806868014084
2011-01-19,1209.2513878899529
2011-01-20,1186.8404662568676
2011-01-21,1189.4400346440486
2011-01-24,1192.3335544500615
2011-01-25,1174.2193751955176
2011-01-26,1184.2542006723736
2011-01-27,1178.2351836743244
2011-01-28,1170.7719566680369
2011-01-31,1168.8188860204664
2011-02-01,1181.5884844008094
2011-02-02,1186.5334882673103
2011-02-03,1197.804370695508
2011-02-04,1205.5255065384201
2011-02-07,1224.2846437572537
2011-02-08,1219.2604658307216
