Date,CANADA IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1022.0229568957866
2010-05-28,1016.1471455370996
2010-05-31,1029.985154214139
2010-06-01,1018.1812912955495
2010-06-02,1036.9206051395652
2010-06-03,1045.7833970585916
2010-06-04,1034.7411438353547
2010-06-07,1028.263627729579
2010-06-08,1026.290722134616
2010-06-09,1031.0776784400837
2010-06-10,1047.0081063627538
2010-06-11,1045.056381039863
2010-06-14,1047.3172711641678
2010-06-15,1056.3507379745458
2010-06-16,1063.6698368584425
2010-06-17,1054.0315189279165
2010-06-18,1057.2508212408407
2010-06-21,1066.9160167917667
2010-06-22,1066.978842826064
2010-06-23,1042.1470639846411
2010-06-24,1027.8425991964425
2010-06-25,1033.8882193859345
2010-06-28,1035.031096881221
2010-06-29,1003.1184345647565
2010-06-30,992.1272122970564
2010-07-01,974.6631016856638
2010-07-02,966.8673726411585
2010-07-05,962.0965810818324
2010-07-06,981.2879897383534
2010-07-07,994.0481270824866
2010-07-08,1002.9219819790447
2010-07-09,1022.5383128458882
2010-07-12,1019.5670005025844
2010-07-13,1024.4887749664808
2010-07-14,1012.6430787832285
2010-07-15,997.210641243776
2010-07-16,971.4835278113567
2010-07-19,970.4938925914299
2010-07-20,980.2041833208696
2010-07-21,994.9627149708774
2010-07-22,1005.1658596476319
2010-07-23,1016.9115196917969
2010-07-26,1020.4444882834272
2010-07-27,1014.5499614346871
2010-07-28,1005.5707532488718
2010-07-29,1000.230431298477
2010-07-30,1004.2365710567525
2010-08-02,1000.0084590069714
2010-08-03,999.3984590528132
2010-08-04,1013.6071412107531
2010-08-05,1010.5257958035692
2010-08-06,985.5863440399996
2010-08-09,992.6458455082583
2010-08-10,989.7965954892896
2010-08-11,980.192431202795
2010-08-12,981.3994811153173
2010-08-13,1002.7234846637493
2010-08-16,992.2713986382535
2010-08-17,1009.4812738377742
2010-08-18,1011.853669744367
2010-08-19,996.1531744750413
2010-08-20,1005.0482418028555
2010-08-23,1011.7598532545209
2010-08-24,992.0026968384087
2010-08-25,988.126903360921
2010-08-26,990.3953405441513
2010-08-27,1002.7161370096338
2010-08-30,1012.9118775977055
2010-08-31,1002.5786809229872
2010-09-01,1019.6049985484817
2010-09-02,1021.9704234103948
2010-09-03,1033.7329067222283
2010-09-06,1041.2862501569107
2010-09-07,1043.3952212033394
2010-09-08,1044.4766995260109
2010-09-09,1053.7644842105963
2010-09-10,1060.3835903765096
2010-09-13,1060.7186564928645
2010-09-14,1055.0823861852746
2010-09-15,1051.4933418858805
2010-09-16,1044.7338295593827
2010-09-17,1038.0274897425247
2010-09-20,1046.7209103614744
2010-09-21,1039.2850476392189
2010-09-22,1015.3815665260049
2010-09-23,1011.9829661305713
2010-09-24,1019.5949118700474
2010-09-27,1018.8417453513891
2010-09-28,1013.0721329373124
2010-09-29,1014.8900409394635
2010-09-30,1020.8061119781802
2010-10-01,1014.174065377541
2010-10-04,1022.4482010173078
2010-10-05,1024.6979615633234
2010-10-06,1025.853213558002
2010-10-07,1015.1729453911468
2010-10-08,1015.1509714320515
2010-10-11,1020.9767022818708
2010-10-12,1033.3416973075714
2010-10-13,1036.0455239787725
2010-10-14,1020.4591329798312
2010-10-15,1020.5786737981165
2010-10-18,1029.0797900923753
2010-10-19,1023.5132775388372
2010-10-20,1022.0752147398373
2010-10-21,1023.8038176073876
2010-10-22,1020.9258255108533
2010-10-25,1029.6577592967737
2010-10-26,1032.3191040638073
2010-10-27,1026.7497425702845
2010-10-28,1024.5700289210672
2010-10-29,1035.3164655192834
2010-11-01,1038.7820537835107
2010-11-02,1030.1213941901892
2010-11-03,1031.249739169186
2010-11-04,1028.2272515510717
2010-11-05,1045.4696178956551
2010-11-08,1057.6134708487075
2010-11-09,1054.8671732735686
2010-11-10,1063.0068256227664
2010-11-11,1058.1254914528085
2010-11-12,1038.9763512058714
2010-11-15,1056.3439592145676
2010-11-16,1040.354992099022
2010-11-17,1043.3296846175815
2010-11-18,1048.1053594765415
2010-11-19,1046.194925704429
2010-11-22,1048.496525611448
2010-11-23,1053.4989337888674
2010-11-24,1075.0031415130418
2010-11-25,1085.4478072529325
2010-11-26,1085.551374641025
2010-11-29,1086.359850054672
2010-11-30,1087.5961432068636
2010-12-01,1102.619682841676
2010-12-02,1111.1622535452343
2010-12-03,1084.3497840548878
2010-12-06,1092.3353603756161
2010-12-07,1085.8514197197853
2010-12-08,1089.74816961345
2010-12-09,1091.9909300964878
2010-12-10,1093.6562228040777
2010-12-13,1093.197867559283
2010-12-14,1091.2181066264081
2010-12-15,1099.4161216639723
2010-12-16,1107.3711231911147
2010-12-17,1108.1902815198207
2010-12-20,1098.5321518734129
2010-12-21,1110.2938147053812
2010-12-22,1122.22669270942
2010-12-23,1128.4703279750945
2010-12-24,1131.7684463019714
2010-12-27,1126.4685645584186
2010-12-28,1138.501506456067
2010-12-29,1139.0066910370479
2010-12-30,1126.397582025823
2010-12-31,1118.5279320526408
2011-01-03,1126.748428396149
2011-01-04,1120.4753796375046
2011-01-05,1137.2707806159826
2011-01-06,1139.7233629515597
2011-01-07,1151.901633120233
2011-01-10,1146.552801779175
2011-01-11,1159.086595612797
2011-01-12,1155.3058712383213
2011-01-13,1129.4085779005482
2011-01-14,1132.8254151324973
2011-01-17,1144.9245192207677
2011-01-18,1133.0149087913467
2011-01-19,1118.3389056091066
2011-01-20,1111.3896842263632
2011-01-21,1104.8416184467908
2011-01-24,1106.548104766685
2011-01-25,1096.6091343130045
2011-01-26,1102.92896610523
2011-01-27,1101.7648292860324
2011-01-28,1102.6964461822495
2011-01-31,1102.1947993066738
2011-02-01,1115.453177766208
2011-02-02,1120.0365773834403
2011-02-03,1136.9649868532395
2011-02-04,1147.0812066743736
2011-02-07,1152.7502278585987
2011-02-08,1139.9167096369265
2011-02-09,1131.797757091583
2011-02-10,1134.5117577168746
2011-02-11,1144.1425412452638
2011-02-14,1155.5925743331675
2011-02-15,1151.3742734497184
2011-02-16,1159.6150520210583
2011-02-17,1161.9324182879625
2011-02-18,1161.5847014429612
2011-02-21,1157.426042051393
2011-02-22,1149.2770799103464
2011-02-23,1127.8715708875302
2011-02-24,1135.8680797576571
2011-02-25,1153.923904720914
2011-02-28,1161.8634017879353
2011-03-01,1156.484868672009
