Date,AUSTRALIA IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1009.3191159345497
2010-05-28,1023.0820216459836
2010-05-31,1017.4054174556841
2010-06-01,1014.457782557046
2010-06-02,1013.0188244639107
2010-06-03,1040.7527924695949
2010-06-04,1035.3333887583221
2010-06-07,1006.7623941290166
2010-06-08,1021.9487500893127
2010-06-09,1041.6446643032843
2010-06-10,1062.1377373388411
2010-06-11,1076.0833019567085
2010-06-14,1079.5978754344092
2010-06-15,1072.2987304749495
2010-06-16,1083.5014126135509
2010-06-17,1079.1208172677927
2010-06-18,1091.4366543892447
2010-06-21,1116.5239183349445
2010-06-22,1111.5226952054404
2010-06-23,1090.9265518057314
2010-06-24,1084.2847930114997
2010-06-25,1078.943865791616
2010-06-28,1080.094299531267
2010-06-29,1065.4938707251374
2010-06-30,1043.9764013159906
2010-07-01,1006.66489420922
2010-07-02,1011.4732854149237
2010-07-05,1001.4743742162071
2010-07-06,1022.3508595075696
2010-07-07,1021.3796354449806
2010-07-08,1053.2719892016696
2010-07-09,1062.1824109514798
2010-07-12,1064.3341625445655
2010-07-13,1059.6267991162028
2010-07-14,1067.512671660461
2010-07-15,1050.6525556849583
2010-07-16,1038.7137637512071
2010-07-19,1017.7434567814597
2010-07-20,1035.74446694346
2010-07-21,1049.109444880036
2010-07-22,1046.0331779948267
2010-07-23,1067.2989671588691
2010-07-26,1060.4697540944471
2010-07-27,1065.4576948561569
2010-07-28,1056.5455290818888
2010-07-29,1061.835909899858
2010-07-30,1066.553769842241
2010-08-02,1071.8611472944342
2010-08-03,1069.432493807311
2010-08-04,1076.7349578358062
2010-08-05,1080.6489157217982
2010-08-06,1075.8921673404577
2010-08-09,1085.8308679981687
2010-08-10,1077.9896797827
2010-08-11,1069.3802952647195
2010-08-12,1045.7548100888455
2010-08-13,1064.7702043239992
2010-08-16,1055.603084574881
2010-08-17,1071.591058113479
2010-08-18,1068.4509682554144
2010-08-19,1071.0555074331244
2010-08-20,1063.6013423406723
2010-08-23,1077.615534109598
2010-08-24,1075.8803619245537
2010-08-25,1062.3472650812007
2010-08-26,1067.4585099355568
2010-08-27,1080.3158386692817
2010-08-30,1100.0495810636085
2010-08-31,1085.8356286737617
2010-09-01,1118.8745861357884
2010-09-02,1125.6824864315433
2010-09-03,1136.8335281452812
2010-09-06,1150.169228739095
2010-09-07,1159.8808144316783
2010-09-08,1156.7049475173696
2010-09-09,1173.1405893486503
2010-09-10,1170.7983016964433
2010-09-13,1179.875289412072
2010-09-14,1174.7341195601387
2010-09-15,1179.23427868725
2010-09-16,1161.3230503690413
2010-09-17,1167.4420214475408
2010-09-20,1178.3519637888683
2010-09-21,1168.315061892159
2010-09-22,1149.3322247245474
2010-09-23,1146.6932036795356
2010-09-24,1139.4177477643973
2010-09-27,1156.8517598613448
2010-09-28,1156.9070052715772
2010-09-29,1151.1647744436857
2010-09-30,1133.589904598061
2010-10-01,1129.4895273268498
2010-10-04,1134.0381355634236
2010-10-05,1123.2019292589869
2010-10-06,1137.7370365212705
2010-10-07,1141.735701714993
2010-10-08,1141.7461274799539
2010-10-11,1149.226799360701
2010-10-12,1141.4713846021023
2010-10-13,1147.5408151880515
2010-10-14,1150.7099639247701
2010-10-15,1148.8460555230956
2010-10-18,1154.367864730507
2010-10-19,1146.6983837126318
2010-10-20,1140.8671278669378
2010-10-21,1145.2379867069847
2010-10-22,1147.1588785493461
2010-10-25,1165.7051379154136
2010-10-26,1162.9211406624527
2010-10-27,1145.4447321616333
2010-10-28,1155.8202103281171
2010-10-29,1156.09963390699
2010-11-01,1173.5606764179881
2010-11-02,1177.180120898805
2010-11-03,1171.3447195837975
2010-11-04,1181.8396691921853
2010-11-05,1196.0681232421664
2010-11-08,1202.1876714758514
2010-11-09,1204.4476014423078
2010-11-10,1196.6679020964461
2010-11-11,1190.2375340276726
2010-11-12,1171.5624856571626
2010-11-15,1181.857398339646
2010-11-16,1174.89386223832
2010-11-17,1167.044683022965
2010-11-18,1174.4229782327175
2010-11-19,1168.1782584167802
2010-11-22,1182.25187031512
2010-11-23,1177.062599930273
2010-11-24,1194.4060550579443
2010-11-25,1191.1367703057579
2010-11-26,1184.0788842740776
2010-11-29,1189.930279586123
2010-11-30,1188.314246064114
2010-12-01,1185.492505484526
2010-12-02,1198.65414953733
2010-12-03,1205.8576308470933
2010-12-06,1216.1995575066112
2010-12-07,1210.16562982006
2010-12-08,1195.3903018344222
2010-12-09,1216.762575044458
2010-12-10,1210.1469766410553
2010-12-13,1204.3950170943028
2010-12-14,1215.4124421323809
2010-12-15,1210.748805356284
2010-12-16,1221.4030800470796
2010-12-17,1240.7498185489756
2010-12-20,1247.7753665126877
2010-12-21,1257.2806621763204
2010-12-22,1266.0750018832628
2010-12-23,1275.0452980438838
2010-12-24,1264.1712284521077
2010-12-27,1260.4372786217464
2010-12-28,1272.5935060154438
2010-12-29,1281.3570282219932
2010-12-30,1267.64868388636
2010-12-31,1263.3642683520181
2011-01-03,1260.5031210656389
2011-01-04,1243.3825445199434
2011-01-05,1245.2438217341935
2011-01-06,1245.4395584053264
2011-01-07,1257.759191156143
2011-01-10,1261.9270998524996
2011-01-11,1262.102024896655
2011-01-12,1262.8486038570952
2011-01-13,1259.1785642146735
2011-01-14,1247.4460727393987
2011-01-17,1266.4256295019798
2011-01-18,1266.4346991812313
2011-01-19,1273.6844767595437
2011-01-20,1251.286046293879
2011-01-21,1239.225335920435
2011-01-24,1241.4265149806738
2011-01-25,1244.6021839039079
2011-01-26,1244.7499906040107
2011-01-27,1233.722200410541
2011-01-28,1235.974820772292
2011-01-31,1219.52814112547
2011-02-01,1224.9364322075837
2011-02-02,1217.7737444110999
2011-02-03,1238.5297006870112
2011-02-04,1273.7809246933755
2011-02-07,1263.2166975582227
2011-02-08,1251.0821043002245
2011-02-09,1237.9949872076227
2011-02-10,1239.3684232526607
2011-02-11,1235.7663110332153
2011-02-14,1253.6220295853673
2011-02-15,1248.0276723742666
2011-02-16,1246.136691685793
2011-02-17,1254.0355135054638
2011-02-18,1265.5816452653726
2011-02-21,1254.2530655214487
2011-02-22,1224.0287562211345
2011-02-23,1210.2562020126466
2011-02-24,1213.9917215096891
2011-02-25,1234.749836588862
2011-02-28,1227.8681833954854
2011-03-01,1217.843481864354
2011-03-02,1213.0015567599464
2011-03-03,1212.3694789658512
2011-03-04,1222.2285055908521
2011-03-07,1208.2008441550063
2011-03-08,1204.347795793912
2011-03-09,1192.0779799215497
2011-03-10,1178.5386558028426
2011-03-11,1170.7655309783356
2011-03-14,1154.6172130548723
2011-03-15,1116.7252531707093
2011-03-16,1122.0315872583158
2011-03-17,1122.6764763371227
2011-03-18,1139.4010495372302
2011-03-21,1148.4632366177184
2011-03-22,1160.5029330252378
2011-03-23,1169.051362943394
2011-03-24,1188.4476557808712
2011-03-25,1212.4447077320372
2011-03-28,1216.3951697909156
2011-03-29,1221.6345205524553
2011-03-30,1243.8072966925806
2011-03-31,1245.4367416228733
2011-04-01,1251.0572378144002
2011-04-04,1246.75290708841
2011-04-05,1257.2752956977472
2011-04-06,1261.7756925172578
2011-04-07,1269.1138857287788
2011-04-08,1270.2001413204105
2011-04-11,1267.3932753005672
2011-04-12,1240.8377543060049
2011-04-13,1247.423221563448
2011-04-14,1255.4730166278412
2011-04-15,1253.5052140532327
2011-04-18,1266.9816001771812
2011-04-19,1249.044512576069
2011-04-20,1268.446062474459
2011-04-21,1285.9132527455797
2011-04-22,1285.9132527455797
2011-04-25,1282.109342256792
2011-04-26,1283.5973279712252
2011-04-27,1275.1206421136544
2011-04-28,1262.7374517014
2011-04-29,1251.8322278922105
2011-05-02,1246.9329269243035
2011-05-03,1236.5742139191555
2011-05-04,1211.4378626909509
2011-05-05,1220.7449393959866
2011-05-06,1244.5841615995023
2011-05-09,1261.6732880231757
2011-05-10,1253.5524209703594
2011-05-11,1268.752000612983
2011-05-12,1246.4053409647925
2011-05-13,1246.4667349653405
2011-05-16,1234.9560118759011
2011-05-17,1235.7810488231405
2011-05-18,1236.241447730476
2011-05-19,1245.3140897217343
2011-05-20,1252.4003699034781
2011-05-23,1229.0149661012667
2011-05-24,1224.1949732427775
2011-05-25,1217.6349223670975
2011-05-26,1232.6054559937043
2011-05-27,1235.2808921851029
2011-05-30,1226.1062079990534
2011-05-31,1219.9671169238645
2011-06-01,1226.3608035628693
2011-06-02,1196.1977896205744
2011-06-03,1186.8818444869896
2011-06-06,1183.1476034423238
2011-06-07,1176.2372427876862
2011-06-08,1162.553835298392
2011-06-09,1171.743915480297
2011-06-10,1179.8641877719742
2011-06-13,1180.3118956215203
2011-06-14,1191.4256959574057
2011-06-15,1194.926818975192
2011-06-16,1175.7654818272551
2011-06-17,1179.6747626071692
2011-06-20,1167.6407571823438
2011-06-21,1172.3842497957435
2011-06-22,1176.3670504552342
2011-06-23,1176.9338104500287
2011-06-24,1175.729562454355
2011-06-27,1148.0357021813952
2011-06-28,1153.7626359580365
2011-06-29,1174.5337648089685
2011-06-30,1187.9447810039017
2011-07-01,1184.2005890032
2011-07-04,1183.0622069966396
2011-07-05,1181.1035196565526
2011-07-06,1196.9812706442606
2011-07-07,1214.0638448484642
2011-07-08,1230.7294977507547
2011-07-11,1233.6400085877556
2011-07-12,1207.2989578424422
2011-07-13,1213.5493160874773
2011-07-14,1192.913658916065
2011-07-15,1183.060847078773
2011-07-18,1179.6192081031852
2011-07-19,1182.484174949792
2011-07-20,1202.805365068734
2011-07-21,1198.3322472803382
2011-07-22,1212.8673457475595
2011-07-25,1196.537464810951
2011-07-26,1201.714270355144
2011-07-27,1211.5574100244282
2011-07-28,1195.0335251325423
2011-07-29,1179.399546881867
2011-08-01,1208.4155629499594
2011-08-02,1179.716364728268
2011-08-03,1134.4285544568545
2011-08-04,1120.7130344595296
2011-08-05,1067.316644674021
2011-08-08,1019.2490262203497
2011-08-09,1001.8558861638824
2011-08-10,1024.9768857929407
2011-08-11,1018.3359485335325
2011-08-12,1042.749638828295
2011-08-15,1071.490234087782
2011-08-16,1083.4315743944385
2011-08-17,1105.6200007551479
2011-08-18,1087.690643927095
2011-08-19,1045.5045176999251
2011-08-22,1044.5514127942836
