Date,USA IMI HIGH DIVIDEND YIELD
1999-08-04,1106.2853958373835
1999-08-05,1106.4358436061154
1999-08-06,1096.2926657796424
1999-08-09,1107.8466798296877
1999-08-10,1089.54194213844
1999-08-11,1105.4702035127102
1999-08-12,1101.5108060488958
1999-08-13,1129.3602188665818
1999-08-16,1128.2626114882569
1999-08-17,1148.4517050016652
1999-08-18,1138.9948293004534
1999-08-19,1120.4425050193292
1999-08-20,1124.1991221438873
1999-08-23,1144.5930529956736
1999-08-24,1146.2050997142167
1999-08-25,1157.787133449963
1999-08-26,1147.0462922742142
1999-08-27,1130.1957302059764
1999-08-30,1110.2398283412601
1999-08-31,1091.638969198443
1999-09-01,1100.652173099722
1999-09-02,1073.1846805945293
1999-09-03,1111.5711689897655
1999-09-06,1114.1982515407908
1999-09-07,1098.538383420921
1999-09-08,1092.970165555124
1999-09-09,1093.6837307303415
1999-09-10,1102.1513162669087
1999-09-13,1109.8201235768304
1999-09-14,1092.2247331000808
1999-09-15,1090.1050141392536
1999-09-16,1088.1768525591237
1999-09-17,1094.5035816554716
1999-09-20,1087.6761950308003
1999-09-21,1060.8940570642033
1999-09-22,1055.246087818166
1999-09-23,1049.3665562687695
1999-09-24,1044.0076053596529
1999-09-27,1048.703835626227
1999-09-28,1042.7458534713328
1999-09-29,1026.9744301344565
1999-09-30,1035.3502448406691
1999-10-01,1026.1555953141392
1999-10-04,1042.8353159401977
1999-10-05,1041.7700419705902
1999-10-06,1056.1206319053742
1999-10-07,1044.7450267236145
1999-10-08,1068.0306488245221
1999-10-11,1064.5921352786816
1999-10-12,1040.6452208703229
1999-10-13,1022.956146096527
1999-10-14,1020.3114119695967
1999-10-15,978.5423641000904
1999-10-18,993.567157312606
1999-10-19,1006.3805669780304
1999-10-20,1016.6162565064586
1999-10-21,1009.9710557785984
1999-10-22,1042.8877398304146
1999-10-25,1037.652851827778
1999-10-26,1038.9310936499203
1999-10-27,1066.8124108268212
1999-10-28,1106.193597986609
1999-10-29,1108.8702317727273
1999-11-01,1107.6961606281673
1999-11-02,1103.167158611745
1999-11-03,1101.907285833811
1999-11-04,1110.1256405990616
1999-11-05,1119.08284860211
1999-11-08,1125.146488182835
1999-11-09,1111.545015162084
1999-11-10,1104.9204690161419
1999-11-11,1104.6009232413198
1999-11-12,1128.9711832991477
1999-11-15,1132.1441909564014
1999-11-16,1147.2692831214106
1999-11-17,1130.0411122866603
1999-11-18,1137.9485643880873
1999-11-19,1132.7064348881013
1999-11-22,1126.6332213723633
1999-11-23,1114.7739718614837
1999-11-24,1129.0620230073055
1999-11-25,1129.2281429714553
1999-11-26,1141.7803854184478
1999-11-29,1141.2535062104116
1999-11-30,1142.2605362784727
1999-12-01,1140.365080518945
1999-12-02,1146.0138432414783
1999-12-03,1166.961122258672
1999-12-06,1125.4902498614154
1999-12-07,1109.1982935051412
1999-12-08,1099.8462162285055
