Date,SINGAPORE IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1013.4931185418886
2010-05-28,1010.0392618426904
2010-05-31,1022.0933997299096
2010-06-01,999.2253760181062
2010-06-02,1010.8450731578196
2010-06-03,1034.7677317618566
2010-06-04,1048.8883799822868
2010-06-07,1036.7042503833943
2010-06-08,1037.4518408660977
2010-06-09,1027.3549090871293
2010-06-10,1034.7928175823258
2010-06-11,1042.1931146029917
2010-06-14,1046.8244683231742
2010-06-15,1053.2055596501639
2010-06-16,1062.996175269766
2010-06-17,1062.364871368911
2010-06-18,1080.7799921805633
2010-06-21,1098.0274777953625
2010-06-22,1098.1310033264763
2010-06-23,1088.2178441828244
2010-06-24,1069.9483299946664
2010-06-25,1078.2476605653444
2010-06-28,1078.3201799201079
2010-06-29,1072.555319219419
2010-06-30,1066.0633996299787
2010-07-01,1039.6061958330315
2010-07-02,1031.358891903852
2010-07-05,1038.3409265764512
2010-07-06,1046.298951759961
2010-07-07,1039.8845673302926
2010-07-08,1050.7113901895384
2010-07-09,1057.3407363903964
2010-07-12,1059.9257453267714
2010-07-13,1061.5813158556837
2010-07-14,1065.579253058912
2010-07-15,1050.6063463131868
2010-07-16,1042.8249717764334
2010-07-19,1034.2900651601963
2010-07-20,1048.665645808879
2010-07-21,1053.015496137525
2010-07-22,1048.5659777748099
2010-07-23,1064.413980381328
2010-07-26,1061.098464470791
2010-07-27,1071.594211020854
2010-07-28,1069.5606806358312
2010-07-29,1071.2695507786186
2010-07-30,1078.2948652027483
2010-08-02,1077.8922636578493
2010-08-03,1073.678747620781
2010-08-04,1078.9527872059366
2010-08-05,1084.1968338036418
2010-08-06,1074.6245979174307
2010-08-09,1078.1978710855694
2010-08-10,1076.4663526456673
2010-08-11,1072.0901933611106
2010-08-12,1070.6895602797686
2010-08-13,1091.1626391222997
2010-08-16,1077.2839620347395
2010-08-17,1073.6816873772868
2010-08-18,1078.7453449905797
2010-08-19,1089.6209537796583
2010-08-20,1096.8540176264785
2010-08-23,1100.2342385102406
2010-08-24,1091.050160858189
2010-08-25,1093.6260265509443
2010-08-26,1091.749459126565
2010-08-27,1096.847489680785
2010-08-30,1103.1168710860052
2010-08-31,1101.1380303638591
2010-09-01,1102.438115681372
2010-09-02,1104.7105896987
2010-09-03,1107.9364473493274
2010-09-06,1116.935235963928
2010-09-07,1126.7327942877557
2010-09-08,1134.3542767762908
2010-09-09,1135.6208605878376
2010-09-10,1137.370191234411
2010-09-13,1137.2534000863143
2010-09-14,1132.2971649667115
2010-09-15,1137.615849472093
2010-09-16,1121.8496494184978
2010-09-17,1135.0847715382624
2010-09-20,1132.2975338549172
2010-09-21,1137.9774282857245
2010-09-22,1118.1289475620645
2010-09-23,1126.2809596100517
2010-09-24,1124.2587669770144
2010-09-27,1124.8166027768211
2010-09-28,1110.6750912618193
2010-09-29,1114.362906484243
2010-09-30,1110.1547848226949
2010-10-01,1109.8305500030663
2010-10-04,1123.836958320961
2010-10-05,1122.6488416015832
2010-10-06,1127.7393400907222
2010-10-07,1127.470640827993
2010-10-08,1125.107946213252
2010-10-11,1136.5804345118613
2010-10-12,1124.989068211688
2010-10-13,1130.7676171782439
2010-10-14,1117.8334137462844
2010-10-15,1130.6125369222991
2010-10-18,1123.3651235543523
2010-10-19,1126.6125141680527
2010-10-20,1112.3499014407973
2010-10-21,1116.4798047481172
2010-10-22,1129.7435139316085
2010-10-25,1150.378448445098
2010-10-26,1147.8009290623493
2010-10-27,1148.6235053043174
2010-10-28,1154.0481130051216
2010-10-29,1163.6148533016744
2010-11-01,1183.5872983949412
2010-11-02,1173.0339629418802
2010-11-03,1185.6166710664656
2010-11-04,1183.0997107382966
