Date,WORLD ex ISRAEL IMI
2010-05-26,1000.0
2010-05-27,1030.8703784005413
2010-05-28,1026.6694758946069
2010-05-31,1026.6164987262139
2010-06-01,1015.6515165433947
2010-06-02,1025.7246860139494
2010-06-03,1037.1834876363753
2010-06-04,1007.1653301213545
2010-06-07,988.5141473638076
2010-06-08,991.9236780736111
2010-06-09,996.9546081600165
2010-06-10,1021.1764196748437
2010-06-11,1027.0099538795241
2010-06-14,1037.4384528800495
2010-06-15,1054.0669821853867
2010-06-16,1056.2515813858067
2010-06-17,1057.5485292044018
2010-06-18,1060.082682259789
2010-06-21,1064.3506971187135
2010-06-22,1049.6781469361238
2010-06-23,1041.071985803915
2010-06-24,1028.3689604083766
2010-06-25,1026.8456336257252
2010-06-28,1029.4316214594492
2010-06-29,996.2283204277553
2010-06-30,989.6366142970037
2010-07-01,984.446716274911
2010-07-02,984.8249654694756
2010-07-05,982.252859859147
2010-07-06,997.750620987187
2010-07-07,1017.3510669064531
2010-07-08,1029.913311616205
2010-07-09,1036.679270867126
2010-07-12,1035.8238257336582
2010-07-13,1053.2972884138571
2010-07-14,1056.8487531379756
2010-07-15,1056.5536846171506
2010-07-16,1034.0236585824828
2010-07-19,1033.4854910526751
2010-07-20,1037.9707940287415
2010-07-21,1033.0205639049996
2010-07-22,1054.2797704426168
2010-07-23,1062.3382252617798
2010-07-26,1075.1401830391974
2010-07-27,1075.590734358162
2010-07-28,1073.3930029381813
2010-07-29,1072.7996342834642
2010-07-30,1069.7357110486
2010-08-02,1095.1312521899324
2010-08-03,1095.4959944413683
2010-08-04,1095.8390283021506
2010-08-05,1096.0073744095466
2010-08-06,1095.3793906158292
2010-08-09,1101.3288888871182
2010-08-10,1088.248652238864
2010-08-11,1057.0187434347902
2010-08-12,1050.3532746680503
2010-08-13,1047.816316264323
2010-08-16,1050.8096308553836
2010-08-17,1063.396363777724
2010-08-18,1064.5751145266715
2010-08-19,1052.2079601286803
2010-08-20,1039.9375406740678
2010-08-23,1038.8424748242078
2010-08-24,1025.4852632823843
2010-08-25,1021.4248492777933
2010-08-26,1024.541559536083
2010-08-27,1036.771183778871
2010-08-30,1031.0437696276206
2010-08-31,1028.3337724719236
2010-09-01,1057.8961274172616
2010-09-02,1065.7384907893606
2010-09-03,1077.7912209042638
2010-09-06,1082.400696942075
2010-09-07,1070.0231843799213
2010-09-08,1074.9679379126114
2010-09-09,1082.4093399995827
2010-09-10,1084.6897335901574
2010-09-13,1100.2426657961996
2010-09-14,1103.5783378269198
2010-09-15,1104.6322299450808
2010-09-16,1102.4395154095107
2010-09-17,1102.057005601877
2010-09-20,1117.1926676546861
2010-09-21,1115.0548245821512
2010-09-22,1115.624473353461
2010-09-23,1108.5497647653012
2010-09-24,1127.9369157462274
2010-09-27,1126.1894459387743
