Date,MSCI World IMI with USA Gross Index
2001-09-28,1000.0
2001-10-01,995.3779751176678
2001-10-02,1005.4584024965261
2001-10-03,1018.5071922646275
2001-10-04,1028.3844770376577
2001-10-05,1029.5057302349219
2001-10-08,1024.9229726946019
2001-10-09,1018.7124524004063
2001-10-10,1034.2418919951067
2001-10-11,1049.0216499497146
2001-10-12,1047.9958272940348
2001-10-15,1041.62407393241
2001-10-16,1050.0723225149895
2001-10-17,1045.71572028482
2001-10-18,1032.861404379668
2001-10-19,1029.7033617060804
2001-10-22,1039.721398345961
2001-10-23,1044.57014114402
2001-10-24,1047.6687006944628
2001-10-25,1053.2161120363737
2001-10-26,1059.789732573341
2001-10-29,1043.4907712499514
2001-10-30,1026.3808846957847
2001-10-31,1027.5826483105773
2001-11-01,1043.2561354235356
2001-11-02,1044.4811182955837
2001-11-05,1057.0804446761167
2001-11-06,1067.6161426417534
2001-11-07,1066.9353034959302
2001-11-08,1072.0594485897473
2001-11-09,1069.2007065196303
2001-11-12,1062.263675723006
2001-11-13,1076.654302468453
2001-11-14,1080.5713197047069
2001-11-15,1083.2590006601617
2001-11-16,1086.1063308725597
2001-11-19,1095.9542853335686
2001-11-20,1087.9180519605918
2001-11-21,1081.8204106040782
2001-11-22,1084.8989147044124
2001-11-23,1089.4662213736858
2001-11-26,1098.2363112425128
2001-11-27,1092.1920988403178
2001-11-28,1076.7822874067451
2001-11-29,1082.4102058837566
2001-11-30,1086.3709870508987
2001-12-03,1074.9851436187662
2001-12-04,1087.5950315962646
2001-12-05,1112.125963742699
2001-12-06,1114.572536760705
2001-12-07,1105.4136796239145
2001-12-10,1087.7198599670874
2001-12-11,1085.5190309576612
2001-12-12,1087.727847981605
2001-12-13,1071.0557149991698
2001-12-14,1070.3667520142824
2001-12-17,1081.8268294926531
2001-12-18,1086.0151841840295
2001-12-19,1085.2157764484805
2001-12-20,1078.4544143520257
2001-12-21,1081.6643072092227
2001-12-24,1079.6072621899723
2001-12-25,1079.2033631488162
2001-12-26,1081.665594745015
2001-12-27,1094.2520746910823
2001-12-28,1099.7232437599243
2001-12-31,1096.151388905969
2002-01-01,1096.14900572434
2002-01-02,1098.9786781409534
2002-01-03,1110.0111550165914
2002-01-04,1116.8754520204754
2002-01-07,1109.973622068925
2002-01-08,1102.4098034449994
2002-01-09,1098.2826391988285
2002-01-10,1095.4032358408308
2002-01-11,1089.6286158615376
