Date,WORLD ex EMU IMI
1994-05-31,328.2286594808324
1994-06-30,330.14088052773735
1994-07-29,332.57441894073116
1994-08-31,342.10447684033454
1994-09-30,334.3907754681259
1994-10-31,342.05946622060287
1994-11-30,325.4657427765132
1994-12-30,329.9115505351452
1995-01-31,324.13993244351497
1995-02-28,325.30363301422756
1995-03-31,342.14639135156455
1995-04-28,352.6973577781614
1995-05-31,352.7996418220278
1995-06-30,353.23377598668327
1995-07-31,371.4872942730967
1995-08-31,367.5316207947182
1995-09-29,378.04518692116426
1995-10-31,370.50542754132687
1995-11-30,384.7229786869647
1995-12-29,395.17519502109275
1996-01-31,399.9437018734403
1996-02-29,403.2202396646013
1996-03-29,410.6978292524916
1996-04-30,424.7455541708699
1996-05-31,425.2097220223324
1996-06-28,424.2428403739174
1996-07-31,405.46332371787713
1996-08-30,411.7253661081386
1996-09-30,427.4415882558699
1996-10-31,427.2340592832771
1996-11-29,447.7854971740517
1996-12-31,438.8003811187663
1997-01-01,438.8035198595794
1997-01-02,435.7568154065335
1997-01-03,438.885044926333
1997-01-06,440.35582357404553
1997-01-07,441.1094531849916
1997-01-08,438.56816786254996
1997-01-09,437.60421088053107
1997-01-10,434.6978874209825
1997-01-13,437.342179508496
1997-01-14,440.5586607086559
1997-01-15,440.5517397487463
1997-01-16,442.8767988174496
1997-01-17,443.6766631444714
1997-01-20,441.5345625605003
1997-01-21,442.05809130495373
1997-01-22,444.1903050694764
1997-01-23,440.79909252588396
1997-01-24,437.3318999082817
1997-01-27,433.27584068339314
1997-01-28,433.0354027962819
1997-01-29,435.2735998618249
1997-01-30,437.46322647936216
1997-01-31,440.62736730114636
1997-02-03,440.4865247562122
1997-02-04,441.2819657867613
1997-02-05,436.7327275043767
1997-02-06,436.7480210111966
1997-02-07,437.952797173833
1997-02-10,439.00208574273205
1997-02-11,439.7768534398994
1997-02-12,443.64959916783204
1997-02-13,446.6923966923748
1997-02-14,446.96017596101734
1997-02-17,446.90588431256987
1997-02-18,447.7424663456325
1997-02-19,447.56063163548123
1997-02-20,447.2998606298161
1997-02-21,447.9428101045253
1997-02-24,450.88401028934095
1997-02-25,452.09088649732627
1997-02-26,449.2143729609194
1997-02-27,446.51124722430063
1997-02-28,443.6899732476035
1997-03-03,443.50559162552776
1997-03-04,443.2308420272529
1997-03-05,445.4569135556234
1997-03-06,444.2532155305072
1997-03-07,446.2457545498889
1997-03-10,449.0565749372463
1997-03-11,449.1524158534241
1997-03-12,445.5399602267534
1997-03-13,439.90534932643146
1997-03-14,440.63476864794535
1997-03-17,439.7179765527195
1997-03-18,439.08300829929993
1997-03-19,437.5557131413518
1997-03-20,435.09284765721236
1997-03-21,437.20470571952336
1997-03-24,437.41149081163536
1997-03-25,438.461300348266
1997-03-26,440.0834791233712
