Date,EUROPE ex EMU IMI
2007-05-31,1000.0
2007-06-01,1007.2184738189089
2007-06-04,1010.0063460181349
2007-06-05,1006.9148441319502
2007-06-06,991.8390196934204
2007-06-07,977.7261132064187
2007-06-08,970.3098673969615
2007-06-11,977.6444001029429
2007-06-12,971.6959031975096
2007-06-13,974.753077794419
2007-06-14,988.0500512877841
2007-06-15,1003.2850356699737
2007-06-18,1002.5304313763713
2007-06-19,998.4211093576157
2007-06-20,1002.8854266395364
2007-06-21,992.11204505106
2007-06-22,990.685849123572
2007-06-25,992.1715664916204
2007-06-26,988.2135831339959
2007-06-27,982.1073115037372
2007-06-28,993.9594319723592
2007-06-29,1001.1066251525575
2007-07-02,1005.8645058543199
2007-07-03,1014.9180283405252
2007-07-04,1020.6256424155217
2007-07-05,1013.3370272526874
2007-07-06,1020.7087950515564
2007-07-09,1024.9435329389362
2007-07-10,1020.16475856243
2007-07-11,1022.9739809606192
2007-07-12,1031.9763253215438
2007-07-13,1036.4847532126657
2007-07-16,1037.298445124667
2007-07-17,1033.3220023695978
2007-07-18,1024.47939435691
2007-07-19,1034.9075738786362
2007-07-20,1028.432532853317
2007-07-23,1032.1304587495829
2007-07-24,1016.5522800925047
2007-07-25,1000.1918924598505
2007-07-26,970.2248410834547
2007-07-27,959.8804146704286
2007-07-30,960.2317124468649
2007-07-31,983.6997721517391
2007-08-01,970.0043223613319
2007-08-02,974.7807533345172
2007-08-03,968.4853908730887
2007-08-06,959.5589473785452
2007-08-07,970.6368628654386
2007-08-08,994.9245000073939
2007-08-09,970.5949215046188
2007-08-10,934.4542237335991
2007-08-13,953.086145380815
2007-08-14,937.1572085927166
2007-08-15,929.2583128926871
2007-08-16,889.4053170330037
2007-08-17,919.0558183737039
2007-08-20,922.3696688547261
2007-08-21,921.3954767947147
2007-08-22,941.3268555459025
2007-08-23,948.2439575202989
2007-08-24,955.5253269503876
2007-08-27,957.6138744701908
2007-08-28,939.1212868398043
2007-08-29,945.277511429259
2007-08-30,955.7121646314456
2007-08-31,969.4891268445323
2007-09-03,971.7309230874436
2007-09-04,977.5910887975414
2007-09-05,966.7438138331239
2007-09-06,972.3159685885287
2007-09-07,957.2365925429831
2007-09-10,949.5434978821893
2007-09-11,970.5543074744418
2007-09-12,976.7009156627138
2007-09-13,983.2027715125826
2007-09-14,965.7238949440089
2007-09-17,947.203472852574
2007-09-18,958.3851491718797
2007-09-19,988.4953931693641
2007-09-20,989.8283850042001
2007-09-21,995.609022531315
2007-09-24,995.9837500702407
2007-09-25,984.0349536448398
2007-09-26,988.8014286625388
2007-09-27,999.8730056017698
2007-09-28,1005.7270418991731
2007-10-01,1015.3292816810662
2007-10-02,1013.8335859940971
2007-10-03,1016.9874620373375
2007-10-04,1019.1946799580685
