Date,EUROPE ex SWITZERLAND IMI
2007-05-31,1000.0
2007-06-01,1006.5225592232694
2007-06-04,1008.5719845924324
2007-06-05,1005.887113461927
2007-06-06,987.1998449119807
2007-06-07,973.740766981942
2007-06-08,965.7237003467883
2007-06-11,974.3385172820128
2007-06-12,967.0343849400155
2007-06-13,970.2164433531917
2007-06-14,985.8634854091882
2007-06-15,1002.2440289419869
2007-06-18,1001.6672084001184
2007-06-19,999.1321351448614
2007-06-20,1003.5408308897696
2007-06-21,992.1620199651578
2007-06-22,991.2172990174724
2007-06-25,991.6525372293976
2007-06-26,986.4209567794272
2007-06-27,979.6365622931115
2007-06-28,992.28009238752
2007-06-29,1000.4826918348151
2007-07-02,1005.9854670362838
2007-07-03,1014.4177680291482
2007-07-04,1019.9924818420419
2007-07-05,1012.0925391379407
2007-07-06,1020.7284546614669
2007-07-09,1023.7136854194737
2007-07-10,1018.6954519429464
2007-07-11,1019.4071195059619
2007-07-12,1031.658999743692
2007-07-13,1036.5224607332254
2007-07-16,1037.6008728793336
2007-07-17,1033.9661099840387
2007-07-18,1024.4930637368957
2007-07-19,1035.162000692188
2007-07-20,1025.1446205616517
2007-07-23,1030.5467632940256
2007-07-24,1014.6487133340156
2007-07-25,997.337783578276
2007-07-26,969.4290072042103
2007-07-27,958.7942884378649
2007-07-30,958.9839769006799
2007-07-31,980.1437176343734
2007-08-01,962.9417579192552
2007-08-02,971.5666164590796
2007-08-03,965.3988675645463
2007-08-06,956.8589035264289
2007-08-07,967.5545344372981
2007-08-08,990.8126447401363
2007-08-09,964.9123776578856
2007-08-10,933.2935527973264
2007-08-13,950.6875065563228
2007-08-14,936.6350275213942
2007-08-15,926.1591751946644
2007-08-16,887.5889827262704
2007-08-17,913.9475886052192
2007-08-20,917.6148153407582
2007-08-21,917.8850479315496
2007-08-22,937.0369582150167
2007-08-23,943.4192892184132
2007-08-24,950.9138116015229
2007-08-27,952.554304457552
2007-08-28,935.4018735631029
2007-08-29,941.8433439396136
2007-08-30,952.9188403589304
2007-08-31,965.9076536671273
2007-09-03,967.5470836890157
2007-09-04,972.3598412236593
2007-09-05,959.3438119157026
2007-09-06,965.5555223466874
2007-09-07,948.9416995637847
2007-09-10,941.878639475505
2007-09-11,961.3931672394183
2007-09-12,966.8101767615797
2007-09-13,973.7428143906985
2007-09-14,961.049916288793
2007-09-17,945.6313443440381
2007-09-18,959.7628720057894
2007-09-19,991.5356207631246
2007-09-20,994.1173106909099
2007-09-21,1000.1277055769863
2007-09-24,999.5397647633162
2007-09-25,989.7566123235249
2007-09-26,996.8233906434555
2007-09-27,1007.3172216276
2007-09-28,1011.6303348070231
2007-10-01,1020.6644521615007
2007-10-02,1019.3267762709436
2007-10-03,1021.2210604466983
2007-10-04,1022.1503952209907
2007-10-05,1030.7024926442266
2007-10-08,1022.1472508240389
2007-10-09,1029.3294361424987
2007-10-10,1036.2970071596358
2007-10-11,1048.6454934302062
2007-10-12,1044.5929102867967
2007-10-15,1038.5353176794151
2007-10-16,1026.3470663119524
2007-10-17,1037.0338715770647
2007-10-18,1033.6321590975842
2007-10-19,1025.1714608185741
2007-10-22,1003.4043311357449
2007-10-23,1022.0264932807069
2007-10-24,1015.0631827844385
2007-10-25,1032.738049855396
2007-10-26,1044.4667079484677
2007-10-29,1053.4235068763655
2007-10-30,1049.9466747461954
2007-10-31,1063.5498772185028
2007-11-01,1045.380629370951
2007-11-02,1042.1188335785266
2007-11-05,1033.9599081533966
2007-11-06,1042.8991904610361
2007-11-07,1042.6003434297024
2007-11-08,1038.6041508975302
2007-11-09,1021.0055507372224
2007-11-12,1009.8408980178117
2007-11-13,1015.7885056312386
