Date,EUROPE & MIDDLE EAST IMI
2010-05-26,1000.0
2010-05-27,1033.1534053877688
2010-05-28,1035.5565836755247
2010-05-31,1034.6710233737795
2010-06-01,1037.5921698731986
2010-06-02,1031.639485645321
2010-06-03,1046.9514219044916
2010-06-04,1015.1328575758766
2010-06-07,998.2243097042946
2010-06-08,988.3667854096681
2010-06-09,1015.7849573940484
2010-06-10,1035.6288932232305
2010-06-11,1038.6118459468812
2010-06-14,1067.7029427755217
2010-06-15,1077.558937332232
2010-06-16,1079.035836054651
2010-06-17,1083.9139188765935
2010-06-18,1088.539613530819
2010-06-21,1099.8878681478222
2010-06-22,1086.225928269865
2010-06-23,1072.606956311753
2010-06-24,1059.5083439705106
2010-06-25,1051.3288572768454
2010-06-28,1067.2318665385233
2010-06-29,1022.976349145407
2010-06-30,1026.819655987135
2010-07-01,1017.9170369838035
2010-07-02,1030.1353294808973
2010-07-05,1022.6202244242609
2010-07-06,1057.950209127201
2010-07-07,1069.9750998177228
2010-07-08,1085.1245359046745
2010-07-09,1087.4157476712028
2010-07-12,1088.2033544735386
2010-07-13,1115.8907167538869
2010-07-14,1120.9068682863635
2010-07-15,1122.7656824244355
2010-07-16,1107.0648507053725
2010-07-19,1099.4580623038055
2010-07-20,1092.976380481497
2010-07-21,1100.7025250336862
2010-07-22,1130.2968343062562
2010-07-23,1129.7050666166883
2010-07-26,1144.706508871405
2010-07-27,1153.228610561438
2010-07-28,1151.877890855717
2010-07-29,1154.0711108856824
2010-07-30,1145.0974632123177
2010-08-02,1189.214510224848
2010-08-03,1192.7143585258007
2010-08-04,1187.0674646767438
2010-08-05,1184.8695736829263
2010-08-06,1184.9577605174384
2010-08-09,1196.8192436152563
2010-08-10,1172.1740487007828
2010-08-11,1133.2214699893536
2010-08-12,1128.9689616350138
2010-08-13,1124.519119808275
2010-08-16,1132.3016292939749
2010-08-17,1147.2700694647979
2010-08-18,1142.6310760121683
2010-08-19,1127.8031480611994
2010-08-20,1104.5670952029666
2010-08-23,1109.0985775567444
2010-08-24,1092.3776942850927
2010-08-25,1079.351135404644
2010-08-26,1098.190758898604
2010-08-27,1103.3723737941307
2010-08-30,1100.959884126162
2010-08-31,1103.4307234577675
2010-09-01,1142.6844956094403
2010-09-02,1143.5597421708803
2010-09-03,1156.1904795912992
2010-09-06,1160.4135772663535
2010-09-07,1141.6904511936941
2010-09-08,1155.0665542669399
2010-09-09,1166.2260002520811
2010-09-10,1163.812665311517
2010-09-13,1184.7327036330355
2010-09-14,1194.0231470007593
2010-09-15,1195.516461944603
2010-09-16,1192.95561974513
2010-09-17,1185.4484298003897
2010-09-20,1204.1964750703598
2010-09-21,1203.8444039161413
2010-09-22,1212.0887147449735
2010-09-23,1204.752371478118
