Date,WORLD ex CANADA IMI
2005-01-07,1085.1192780754259
2005-01-10,1089.2574728233892
2005-01-11,1086.156196017099
2005-01-12,1090.5092277620265
2005-01-13,1084.5122888530539
2005-01-14,1087.4463395279372
2005-01-17,1089.59131653509
2005-01-18,1093.2303764280182
2005-01-19,1088.62236873841
2005-01-20,1078.9141497401315
2005-01-21,1076.339527903175
2005-01-24,1075.6276650224768
2005-01-25,1076.0740436460612
2005-01-26,1085.3306740706703
2005-01-27,1085.8466942588295
2005-01-28,1081.8966853344598
2005-01-31,1091.1651293300067
2005-02-01,1096.4876016289963
2005-02-02,1101.3385279974636
2005-02-03,1096.4046395977514
2005-02-04,1107.1850470350162
2005-02-07,1105.6805383896763
2005-02-08,1103.5555430799345
2005-02-09,1098.1359596838108
2005-02-10,1103.9636092196706
2005-02-11,1111.2288665077938
2005-02-14,1116.1240872589806
2005-02-15,1119.508098532058
2005-02-16,1117.5600605557293
2005-02-17,1114.84997026354
2005-02-18,1115.9718890254005
2005-02-21,1116.234142384964
2005-02-22,1109.2543268462903
2005-02-23,1107.8884940978867
2005-02-24,1113.3717561485423
2005-02-25,1124.559696523925
2005-02-28,1124.41445057112
2005-03-01,1128.065120848815
2005-03-02,1126.1133086434486
2005-03-03,1126.896111461618
2005-03-04,1139.4711236977848
2005-03-07,1139.6076969990252
2005-03-08,1139.1932229087563
2005-03-09,1132.3520221716067
2005-03-10,1130.2449925408912
2005-03-11,1129.2758229380333
2005-03-14,1128.8179705665207
2005-03-15,1125.9316123739713
2005-03-16,1120.7271988445743
2005-03-17,1119.52501034496
2005-03-18,1117.9988149486308
2005-03-21,1111.805703199506
2005-03-22,1107.1053972331122
2005-03-23,1097.5565894695103
2005-03-24,1096.9200709683316
2005-03-25,1097.430714048887
2005-03-28,1096.560107340599
2005-03-29,1090.0962132973873
2005-03-30,1098.3713048592047
2005-03-31,1101.417107795656
2005-04-01,1098.8223983188238
2005-04-04,1093.9029266781276
2005-04-05,1100.1337261465344
2005-04-06,1103.5292675425333
2005-04-07,1110.3025911990464
2005-04-08,1104.6316260151852
2005-04-11,1106.3994984539997
2005-04-12,1105.5168475922628
2005-04-13,1100.8652625891964
2005-04-14,1088.8874512903515
2005-04-15,1075.5280740072974
2005-04-18,1069.2193942350923
2005-04-19,1079.1428184015233
2005-04-20,1071.3462781110848
2005-04-21,1082.4482194776706
2005-04-22,1082.3694226385117
2005-04-25,1087.1216625000543
2005-04-26,1079.3401910337582
2005-04-27,1077.0086612775447
2005-04-28,1068.4302491507397
2005-04-29,1076.5157344492172
2005-05-02,1078.9470262747254
2005-05-03,1080.501287235777
2005-05-04,1092.5804070459621
2005-05-05,1092.9933432937332
2005-05-06,1093.3244090045143
2005-05-09,1094.9291183570967
2005-05-10,1087.6499920674148
2005-05-11,1087.6729413933026
2005-05-12,1079.2160102115051
2005-05-13,1073.3872700074037
2005-05-16,1076.2098947716572
2005-05-17,1079.912072898094
2005-05-18,1090.610781509634
2005-05-19,1096.8695804016656
2005-05-20,1093.7165750858903
2005-05-23,1100.4617256478932
2005-05-24,1100.9022860015416
2005-05-25,1096.883843225846
2005-05-26,1101.2752152857133
2005-05-27,1103.896917825849
2005-05-30,1104.9357526547828
2005-05-31,1098.6968778501998
2005-06-01,1106.5460174138063
2005-06-02,1108.6596628633076
2005-06-03,1104.6777612707863
2005-06-06,1106.0887967162441
2005-06-07,1109.276596707682
2005-06-08,1109.3553384109587
2005-06-09,1107.5059648820863
2005-06-10,1106.4708056764855
2005-06-13,1106.2134212577241
2005-06-14,1109.292071820485
2005-06-15,1112.2202277642189
2005-06-16,1117.0263604323263
2005-06-17,1125.9638355197546
2005-06-20,1122.3282286213794
2005-06-21,1123.3820612729776
2005-06-22,1124.1874479504359
2005-06-23,1116.6919485316687
2005-06-24,1109.466156040247
2005-06-27,1106.8152480893584
2005-06-28,1114.1158064697559
2005-06-29,1114.156159412492
2005-06-30,1110.0171166000462
2005-07-01,1110.0605079004129
2005-07-04,1109.705963559989
2005-07-05,1114.3069925420696
2005-07-06,1111.9600596515247
2005-07-07,1107.5031481205222
2005-07-08,1118.6900727273737
2005-07-11,1130.2075953288193
2005-07-12,1135.2792754785262
2005-07-13,1132.8479989637153
2005-07-14,1136.2541208197902
2005-07-15,1134.8621930081279
2005-07-18,1131.7820699390875
2005-07-19,1134.596962384188
2005-07-20,1138.1822305105202
2005-07-21,1140.186696610352
2005-07-22,1143.7797255779064
2005-07-25,1140.3636513462538
2005-07-26,1140.0312924267178
2005-07-27,1145.1597714080747
2005-07-28,1152.6026449405879
2005-07-29,1150.7162293469396
2005-08-01,1154.2826574843566
2005-08-02,1162.248686861778
2005-08-03,1165.6760023554768
2005-08-04,1158.483125478827
2005-08-05,1148.325270654082
2005-08-08,1149.5831779676062
2005-08-09,1155.8791633306496
2005-08-10,1163.156294363558
2005-08-11,1171.198935436094
2005-08-12,1167.3780725795118
2005-08-15,1167.4907692244994
2005-08-16,1158.7694082841565
