Date,ACWI FM ex USA IMI
2007-05-31,1000.0
2007-06-01,1007.915609693741
2007-06-04,1011.4805267917509
2007-06-05,1010.4919671187359
2007-06-06,999.2791406265961
2007-06-07,989.4692731287341
2007-06-08,980.1326183708104
2007-06-11,986.0186377285362
2007-06-12,980.8414313773317
2007-06-13,980.8966432306214
2007-06-14,993.8205425097931
2007-06-15,1006.6330438933893
2007-06-18,1010.0080115047924
2007-06-19,1009.1721269665263
2007-06-20,1011.4871450450255
2007-06-21,1006.4109370386495
2007-06-22,1003.7309940220581
2007-06-25,1000.6745802012009
2007-06-26,996.7832455165781
2007-06-27,989.3129428914958
2007-06-28,1000.0115171969196
2007-06-29,1007.7258605086863
2007-07-02,1016.3843479668982
2007-07-03,1023.747343789668
2007-07-04,1028.018513771874
2007-07-05,1024.855536914148
2007-07-06,1030.4967821096907
2007-07-09,1036.466963314298
2007-07-10,1034.5656864091868
2007-07-11,1032.359373191438
2007-07-12,1041.644078062291
2007-07-13,1049.9218808616945
2007-07-16,1049.6343915679142
2007-07-17,1047.2860715909553
2007-07-18,1040.3041458827392
2007-07-19,1049.3438197380822
2007-07-20,1047.6263019200185
2007-07-23,1049.2428556387515
2007-07-24,1041.0475700281406
2007-07-25,1028.691755810633
2007-07-26,1007.1741777455279
2007-07-27,989.3254782974866
2007-07-30,992.1758000560797
2007-07-31,1006.4030945180814
2007-08-01,986.2891123018493
2007-08-02,991.8169231344366
2007-08-03,988.9649318715467
2007-08-06,980.4554476595608
2007-08-07,985.255815441725
2007-08-08,1004.8327742791881
2007-08-09,990.3890029014096
2007-08-10,961.6348329359067
2007-08-13,971.3328639021757
2007-08-14,960.3395345434848
2007-08-15,943.8671996896605
2007-08-16,911.409220250654
2007-08-17,917.9153803694957
2007-08-20,932.9928094629113
2007-08-21,937.2194435921081
2007-08-22,951.2370051424624
2007-08-23,963.4844647840812
2007-08-24,968.1554241477538
2007-08-27,973.7774699795177
2007-08-28,962.475594601456
2007-08-29,962.1397048975418
2007-08-30,970.5343070070145
2007-08-31,987.1199157485854
2007-09-03,989.3547867477484
2007-09-04,991.4476712830561
2007-09-05,982.0995881325113
2007-09-06,987.3402333266988
2007-09-07,979.1221746555664
2007-09-10,969.1251125761667
2007-09-11,982.5016868850138
2007-09-12,986.8551626990565
2007-09-13,991.0352437199219
2007-09-14,989.012062633968
2007-09-17,979.0160949381544
2007-09-18,983.8119010229224
2007-09-19,1014.8075376098366
2007-09-20,1020.8574541459261
2007-09-21,1022.7254465952304
2007-09-24,1026.5923095911244
2007-09-25,1024.5475463578582
2007-09-26,1029.4350123475322
2007-09-27,1043.9480938232764
2007-09-28,1049.2959956581822
2007-10-01,1056.3781695197474
2007-10-02,1061.759619020658
2007-10-03,1061.9747747517624
2007-10-04,1059.7058355607312
2007-10-05,1070.0895142146715
2007-10-08,1065.0468853377558
2007-10-09,1072.3859015083387
2007-10-10,1078.4005803931339
2007-10-11,1090.154693905816
2007-10-12,1084.2150970538396
2007-10-15,1083.0346686335004
2007-10-16,1069.06317075598
2007-10-17,1073.8486890498132
2007-10-18,1077.0154730687627
2007-10-19,1066.6225702413578
2007-10-22,1045.5598141764515
2007-10-23,1063.5279425172598
2007-10-24,1059.3315153593082
2007-10-25,1070.6254948853627
2007-10-26,1087.2316285645643
2007-10-29,1101.7130798380006
2007-10-30,1097.4549244692332
2007-10-31,1108.6194194149143
2007-11-01,1098.7819731973766
2007-11-02,1089.6513007582262
2007-11-05,1077.5985308909376
2007-11-06,1088.1054115132388
2007-11-07,1088.5148174457652
2007-11-08,1076.2037960602297
2007-11-09,1063.604941966664
2007-11-12,1041.7934515145319
2007-11-13,1046.816180107862
2007-11-14,1064.7514160264436
2007-11-15,1049.4645078186286
2007-11-16,1038.7532084349434
2007-11-19,1022.8801748833619
2007-11-20,1034.3158454560203
