Date,ACWI ex SOUTH AFRICA IMI
1994-05-31,1000.0
1994-06-30,1001.840111955985
1994-07-29,1017.5864945932404
1994-08-31,1050.993210220129
1994-09-30,1027.7479482259448
1994-10-31,1050.0302037117337
1994-11-30,999.6008005126569
1994-12-30,1008.7839003058848
1995-01-31,988.3164687762558
1995-02-28,994.0201823791737
1995-03-31,1038.017706828264
1995-04-28,1070.1379041652076
1995-05-31,1077.2326364101818
1995-06-30,1079.863743147184
1995-07-31,1133.304171322721
1995-08-31,1113.3671506848061
1995-09-29,1139.8803589758515
1995-10-31,1116.2471821461897
1995-11-30,1147.8181906719096
1995-12-29,1180.879942764756
1996-01-31,1200.8432988661323
1996-02-29,1212.1757461796878
1996-03-29,1231.6014613759144
1996-04-30,1271.719636107839
1996-05-31,1275.4555523877973
1996-06-28,1275.7552227451781
1996-07-31,1221.42188030531
1996-08-30,1240.2722596636188
1996-09-30,1281.3793696366192
1996-10-31,1279.47661576376
1996-11-29,1338.0922481901614
1996-12-31,1320.4480211976404
1997-01-01,1320.4627743265316
1997-01-02,1311.127385788197
1997-01-03,1318.8731311630193
1997-01-06,1323.397766120714
1997-01-07,1326.5635198267858
1997-01-08,1322.2987413665137
1997-01-09,1320.6894796091249
1997-01-10,1314.4755409485888
1997-01-13,1322.4150451836683
1997-01-14,1331.5623299331417
1997-01-15,1333.5379542898768
1997-01-16,1339.987776650174
1997-01-17,1341.4517973343739
1997-01-20,1336.290514549053
1997-01-21,1336.380679042526
1997-01-22,1341.5452751550845
1997-01-23,1334.678283038795
1997-01-24,1325.735848440269
1997-01-27,1314.9185561309446
1997-01-28,1313.6282689863724
1997-01-29,1317.9225271694445
1997-01-30,1325.2391352031632
1997-01-31,1334.2265191178938
1997-02-03,1333.480313889452
1997-02-04,1335.9286936557326
1997-02-05,1326.8442473079158
1997-02-06,1327.2725124575436
1997-02-07,1330.1246505781196
1997-02-10,1334.6749840758703
1997-02-11,1335.0747922388591
1997-02-12,1345.3621966248297
1997-02-13,1353.5617263806532
1997-02-14,1354.6167239774045
1997-02-17,1353.779268657065
1997-02-18,1356.586284041587
1997-02-19,1355.5818185452292
1997-02-20,1354.9388924474279
1997-02-21,1356.5926372705107
1997-02-24,1365.395228752699
1997-02-25,1370.4651006248405
1997-02-26,1361.2183091679854
1997-02-27,1354.0578067427139
1997-02-28,1346.5812822139283
1997-03-03,1345.441592800039
1997-03-04,1345.4537445448289
1997-03-05,1351.3174076044797
1997-03-06,1349.9143151426101
1997-03-07,1355.100635857379
1997-03-10,1364.8153939516285
1997-03-11,1365.578845312228
1997-03-12,1354.5501664692265
1997-03-13,1339.7482562635919
1997-03-14,1341.7567010298685
1997-03-17,1338.5589463802105
1997-03-18,1336.0347919611577
1997-03-19,1332.4077082109545
1997-03-20,1323.626115028244
1997-03-21,1329.9155100421817
1997-03-24,1329.0367252396782
1997-03-25,1333.460400771007
1997-03-26,1339.5801319234213
1997-03-27,1330.1812304405773
1997-03-28,1329.4450759201225
1997-03-31,1315.512102151894
1997-04-01,1306.5432582631988
1997-04-02,1301.8482554900195
1997-04-03,1298.6233400552126
1997-04-04,1301.9324332787232
1997-04-07,1302.0233608247422
1997-04-08,1305.5566418541493
1997-04-09,1301.0032012325285
1997-04-10,1295.4747639962575
1997-04-11,1280.164525238993
1997-04-14,1277.8609130347222
1997-04-15,1289.8053900700806
1997-04-16,1299.0290465355474
1997-04-17,1301.377265644079
1997-04-18,1307.6599464382366
1997-04-21,1308.7044086815772
1997-04-22,1315.3053681889082
1997-04-23,1320.1075595222924
1997-04-24,1318.4847518695296
1997-04-25,1308.8609217839858
1997-04-28,1311.5877155611822
1997-04-29,1329.2411272783436
1997-04-30,1340.561327034053
1997-05-01,1346.0380039282704
1997-05-02,1359.4584716744032
1997-05-05,1374.5783274164248
1997-05-06,1386.6709190236809
1997-05-07,1380.216922235904
1997-05-08,1385.6157561959199
1997-05-09,1394.402400131575
1997-05-12,1412.580508170605
1997-05-13,1412.6935103038675
1997-05-14,1418.307023837443
1997-05-15,1424.1275407853302
1997-05-16,1423.8448392595435
1997-05-19,1423.1330331652537
1997-05-20,1433.850864607803
1997-05-21,1432.8190956987344
1997-05-22,1426.3145016630601
1997-05-23,1439.1426174352318
