Date,SELECT OECD COUNTRIES IMI
1998-12-31,1000.0
1999-01-01,1000.0390147444191
1999-01-04,1008.3600446878997
1999-01-05,1017.0432484971506
1999-01-06,1034.7320735426074
1999-01-07,1032.6850038641708
1999-01-08,1032.2269611049558
1999-01-11,1027.163842129231
1999-01-12,1009.9966786488615
1999-01-13,996.7422926076467
1999-01-14,990.4297515623174
1999-01-15,1004.4132894114795
1999-01-18,1012.0497078858567
1999-01-19,1016.2541766985025
1999-01-20,1021.1804538093154
1999-01-21,1010.1068537399088
1999-01-22,997.1280157237933
1999-01-25,1001.265093708491
1999-01-26,1010.5376494532075
1999-01-27,1005.9726359450498
1999-01-28,1014.5339079355764
1999-01-29,1022.0676023046811
1999-02-01,1024.7337482527016
1999-02-02,1021.4453816531053
1999-02-03,1021.9088204709966
1999-02-04,1010.5020372601605
1999-02-05,1003.3219262011268
1999-02-08,1001.4132095943639
1999-02-09,983.4044652032863
1999-02-10,982.4754053676164
1999-02-11,999.321660720926
1999-02-12,992.1880235089972
1999-02-15,991.9719937131507
1999-02-16,993.5195194843121
1999-02-17,983.7467568595399
1999-02-18,987.6029490368115
1999-02-19,986.8066704130123
1999-02-22,1002.864309186502
1999-02-23,1004.8430574115697
1999-02-24,999.3488242552422
1999-02-25,995.6244905571943
1999-02-26,991.3526024835063
1999-03-01,985.1441271506789
1999-03-02,980.3345172468663
1999-03-03,977.9455999643184
1999-03-04,983.9239823030917
1999-03-05,1006.3820167385567
1999-03-08,1011.0545178133764
1999-03-09,1013.3639057572267
1999-03-10,1021.441787961404
1999-03-11,1027.3467911961882
1999-03-12,1030.2482579370233
1999-03-15,1036.687619119867
1999-03-16,1038.706856067413
1999-03-17,1037.7639832665113
1999-03-18,1041.3445641837409
1999-03-19,1040.5968590589766
1999-03-22,1036.2721356810891
1999-03-23,1016.3874900318684
1999-03-24,1014.7860328228284
1999-03-25,1029.32451229457
1999-03-26,1022.5572830623987
1999-03-29,1037.0308663638787
1999-03-30,1033.1252126160282
1999-03-31,1033.3894029314222
1999-04-01,1039.0797451813553
1999-04-02,1038.25946296955
1999-04-05,1046.7559423879554
1999-04-06,1052.2907248000295
1999-04-07,1057.8558179764598
1999-04-08,1069.6633442835184
1999-04-09,1072.2318634988105
1999-04-12,1076.902314678198
1999-04-13,1077.8805983641075
1999-04-14,1072.9217097741177
1999-04-15,1066.7265548399707
1999-04-16,1066.6158546062634
1999-04-19,1054.7754452541892
1999-04-20,1055.428581254226
1999-04-21,1065.7940006024976
1999-04-22,1077.6237038960323
1999-04-23,1082.1093911846908
1999-04-26,1086.9412593225354
1999-04-27,1093.4641691841805
1999-04-28,1089.042806199335
1999-04-29,1083.6427765722688
1999-04-30,1081.0455456240686
1999-05-03,1088.5834173456053
1999-05-04,1080.850386847012
1999-05-05,1083.7088284025697
1999-05-06,1084.5235642833366
1999-05-07,1087.250226822553
1999-05-10,1088.8009527579475
1999-05-11,1091.9819759152556
1999-05-12,1093.3010312794515
1999-05-13,1094.5168261268984
1999-05-14,1077.8854718392154
1999-05-17,1068.610393390407
1999-05-18,1069.4998947855486
1999-05-19,1073.353196035086
1999-05-20,1073.4077331117237
1999-05-21,1068.8040837202464
1999-05-24,1057.765507126497
1999-05-25,1044.9898565393619
1999-05-26,1049.645056589125
1999-05-27,1038.0284941548202
1999-05-28,1047.5681195915347
1999-05-31,1047.8395920889513
1999-06-01,1047.5554555600067
1999-06-02,1048.2149229184176
1999-06-03,1050.2039995705154
1999-06-04,1062.9496440259177
1999-06-07,1072.243863743099
1999-06-08,1070.5150233873694
1999-06-09,1073.585526923588
1999-06-10,1068.783150379714
1999-06-11,1069.2908611151495
1999-06-14,1061.1448423977502
1999-06-15,1063.5017098838136
1999-06-16,1077.0544737733271
1999-06-17,1085.0595274843092
1999-06-18,1088.350888935004
