Date,ACWI IMI WITH PARTIAL A SHARES
2008-11-27,1028.6220780702697
2008-11-28,1037.4258748375398
2008-12-30,1072.5024803985127
2008-12-31,1078.4321380254169
2009-01-29,1007.9023844994646
2009-01-30,987.6078480743834
2009-02-26,904.7110535001507
2009-02-27,890.9693532401129
2009-03-30,950.3069176063651
2009-03-31,964.9931980553789
2009-04-29,1073.8993294889888
2009-04-30,1084.6559525278155
2009-05-28,1174.6631277872161
2009-05-29,1193.1386814331822
2009-06-29,1196.2534934460016
2009-06-30,1188.7096548131126
2009-07-30,1285.260851846734
2009-07-31,1294.0801534669183
2009-08-28,1354.761840558209
2009-08-31,1343.0542474286578
2009-09-29,1405.4412517443284
2009-09-30,1407.239076151664
2009-10-29,1406.938861136429
2009-10-30,1382.375655646138
2009-11-27,1429.7072739817672
2009-11-30,1436.8516604284134
2009-12-30,1473.119792670717
2009-12-31,1471.3713460812205
2010-01-28,1422.0852136492463
2010-01-29,1410.9080660355953
2010-02-25,1417.9658298525433
2010-02-26,1430.3025729998897
2010-03-30,1525.5532847024756
2010-03-31,1524.8496585398364
2010-04-29,1544.3769462093755
2010-04-30,1534.186663484048
2010-05-28,1386.7525485292542
2010-05-31,1388.278773991091
2010-06-29,1352.7403567894526
2010-06-30,1343.9267145220463
2010-07-29,1456.495126326081
2010-07-30,1452.551649359614
2010-08-30,1404.6194185895133
2010-08-31,1400.8890060750684
2010-09-29,1542.5059052230838
2010-09-30,1538.5431557201218
2010-10-28,1592.8176315524188
2010-10-29,1595.027628029968
2010-11-29,1573.267476750111
2010-11-30,1564.5284855702662
2010-12-30,1677.6226303128915
2010-12-31,1682.3789631447812
2011-01-28,1700.7944689028666
2011-01-31,1706.0381990130509
2011-02-25,1742.9959731713172
2011-02-28,1756.2219288120086
2011-03-30,1756.3494442545589
2011-03-31,1758.3274400171624
2011-04-28,1824.409978443757
2011-04-29,1829.6964113784459
2011-05-30,1767.7952626356491
2011-05-31,1790.3053556333166
2011-06-29,1738.3580674993436
2011-06-30,1760.666346237788
2011-07-28,1740.211821931507
2011-07-29,1731.529815672367
2011-08-30,1581.4016575244598
2011-08-31,1602.006526318207
2011-09-29,1477.7137780487656
2011-09-30,1445.6838133773304
2011-10-28,1646.9134065100734
2011-10-31,1602.2104624133908
2011-11-29,1498.2806448311105
2011-11-30,1554.1058612895347
2011-12-29,1543.240932116667
2011-12-30,1549.4875484237593
2012-01-30,1638.480009656595
2012-01-31,1643.777705390572
2012-02-28,1729.5897239062797
2012-02-29,1726.479451823715
2012-03-29,1728.1634699145932
2012-03-30,1737.4200140812336
2012-04-27,1722.238625094136
2012-04-30,1718.3179696370169
2012-05-30,1568.5297911097139
2012-05-31,1564.442235827319
2012-06-28,1590.5912725986798
2012-06-29,1638.741401071453
2012-07-30,1661.1060005012375
2012-07-31,1657.9305054726021
2012-08-30,1686.8424654230334
2012-08-31,1695.9775040534023
2012-09-27,1759.242433429914
2012-09-28,1750.7900254217232
2012-10-30,1738.3351771408052
2012-10-31,1739.1011154354471
2012-11-29,1759.2746987309088
2012-11-30,1760.7616771308483
2012-12-28,1789.029211720063
2012-12-31,1803.2720430002307
2013-01-30,1891.500344027741
2013-01-31,1888.3301234656617
2013-02-27,1881.5606660461713
2013-02-28,1890.1301508862825
2013-03-28,1927.3259891228204
2013-03-29,1927.6295609795131
2013-04-29,1966.3033779399502
2013-04-30,1978.730342939061
2013-05-30,2000.0695129034575
2013-05-31,1976.4206558808826
2013-06-27,1916.108851333346
2013-06-28,1918.4111806611804
2013-07-30,2016.629237949532
2013-07-31,2012.7919893511603
2013-08-29,1980.2968831479043
2013-08-30,1971.0725490222906
2013-09-27,2092.111796151948
2013-09-30,2077.316564167563
2013-10-30,2170.273541866145
2013-10-31,2158.245678802514
2013-11-28,2187.819982914054
2013-11-29,2189.0324471447007
2013-12-30,2221.670329620864
2013-12-31,2227.7196733811393
2014-01-01,2227.7585135994873
2014-01-02,2206.9313321123523
2014-01-03,2206.6058755929216
2014-01-06,2198.9695689720443
2014-01-07,2206.8546211928087
2014-01-08,2210.714906414016
2014-01-09,2204.2715440082366
2014-01-10,2217.398163086316
2014-01-13,2207.3786323021764
2014-01-14,2214.9009129315828
2014-01-15,2225.438448483004
2014-01-16,2224.043333735716
2014-01-17,2221.2046376277103
2014-01-20,2220.6880624963223
2014-01-21,2223.7952142687
2014-01-22,2228.4517025416176
2014-01-23,2212.2119861114934
2014-01-24,2170.0094983159483
2014-01-27,2148.437199046319
2014-01-28,2157.966372300179
2014-01-29,2149.8662217925653
2014-01-30,2155.055533416354
2014-01-31,2144.6839373004277
2014-02-03,2108.8236722395154
2014-02-04,2104.689674928199
2014-02-05,2106.988104205799
2014-02-06,2134.5583281180393
2014-02-07,2158.9968265427897
2014-02-10,2164.9032394882297
2014-02-11,2187.847723773622
2014-02-12,2194.9776043637403
2014-02-13,2200.9364784187587
2014-02-14,2211.6290580828727
2014-02-17,2217.7849525911306
2014-02-18,2225.837167037093
2014-02-19,2219.240406445073
2014-02-20,2219.258607002323
2014-02-21,2226.449936694779
2014-02-24,2236.753906111554
2014-02-25,2237.7006279526477
2014-02-26,2233.5608413711225
2014-02-27,2239.9548007417948
2014-02-28,2249.1405799329336
2014-03-03,2222.3078407817698
2014-03-04,2251.7730161499308
2014-03-05,2254.4388323833114
2014-03-06,2265.576432481502
2014-03-07,2259.429698804189
2014-03-10,2250.64897863025
2014-03-11,2245.168853416546
2014-03-12,2235.723816132257
2014-03-13,2219.1850586542582
2014-03-14,2206.063220149031
2014-03-17,2222.437659599553
2014-03-18,2239.542717303977
2014-03-19,2230.1898139773352
2014-03-20,2222.581986702456
2014-03-21,2222.0063441047605
2014-03-24,2214.148087704058
2014-03-25,2225.826065817824
2014-03-26,2224.871820976019
2014-03-27,2226.331209253063
2014-03-28,2238.5328844453124
2014-03-31,2257.031731098751
2014-04-01,2271.308996706204
2014-04-02,2277.3681255046586
2014-04-03,2272.601618554483
2014-04-04,2261.27840204557
2014-04-07,2240.3314085728553
2014-04-08,2247.353676651537
2014-04-09,2263.129007806332
2014-04-10,2240.741869664423
2014-04-11,2217.094737458091
2014-04-14,2222.1329983175624
2014-04-15,2222.297853503642
2014-04-16,2245.406532171003
2014-04-17,2253.694478737147
2014-04-18,2255.294287770729
2014-04-21,2257.3525266619845
2014-04-22,2269.4837298348702
2014-04-23,2265.136290821961
2014-04-24,2267.2946577352095
2014-04-25,2251.203098468383
2014-04-28,2251.663643538345
2014-04-29,2264.7806650092316
2014-04-30,2271.0588142548268
2014-05-01,2274.683543098779
2014-05-02,2276.2062081906997
2014-05-05,2276.71348422324
2014-05-06,2269.644371897881
2014-05-07,2269.7156798412275
2014-05-08,2273.02645184894
2014-05-09,2269.2518849693233
2014-05-12,2287.2193098126063
2014-05-13,2291.2419948862967
2014-05-14,2289.0922135797996
2014-05-15,2273.074176960649
2014-05-16,2275.0349968592495
2014-05-19,2279.619170082401
2014-05-20,2268.4741007690673
2014-05-21,2279.271743599478
2014-05-22,2289.9006819244587
2014-05-23,2298.1528076396544
2014-05-26,2304.5033432894056
2014-05-27,2309.2734425427147
2014-05-28,2308.8076062306477
2014-05-29,2317.5239178574443
2014-05-30,2316.84354382989
2014-06-02,2319.97799314379
2014-06-03,2319.360546910833
2014-06-04,2321.6314309321124
2014-06-05,2333.591620942407
2014-06-06,2347.645718320919
2014-06-09,2351.4111100401788
2014-06-10,2351.9920766041246
2014-06-11,2347.030186213572
2014-06-12,2340.6358905112816
2014-06-13,2341.2159473493507
2014-06-16,2340.600372640253
2014-06-17,2343.022008602224
2014-06-18,2354.209628594348
2014-06-19,2368.291130987354
2014-06-20,2366.130821883121
2014-06-23,2364.3467536925464
2014-06-24,2354.8337547327533
2014-06-25,2354.8089999979134
2014-06-26,2355.836696610696
2014-06-27,2360.6775908040318
2014-06-30,2366.2524379812185
2014-07-01,2380.683325877585
2014-07-02,2384.967238234386
2014-07-03,2394.4463180325
2014-07-04,2394.077268019069
2014-07-07,2382.3041265237807
2014-07-08,2365.990325524514
2014-07-09,2369.914467567803
2014-07-10,2355.7419229225334
2014-07-11,2356.151552719946
2014-07-14,2370.55674666051
2014-07-15,2363.463143756357
2014-07-16,2374.8994192603936
2014-07-17,2354.4653517078345
2014-07-18,2366.1126325071004
2014-07-21,2361.055914504391
2014-07-22,2376.7239624425583
2014-07-23,2381.668510038734
2014-07-24,2384.654905461865
2014-07-25,2374.342708680467
2014-07-28,2373.653647750448
2014-07-29,2369.435376830461
2014-07-30,2364.671449573115
2014-07-31,2330.106879533871
2014-08-01,2318.3731130596884
2014-08-04,2325.9991115424855
2014-08-05,2310.9504595524945
2014-08-06,2304.018906946918
2014-08-07,2293.317213979853
2014-08-08,2299.097757947525
2014-08-11,2317.367930770007
2014-08-12,2314.9689478722116
2014-08-13,2328.8129042392648
2014-08-14,2337.512545857506
2014-08-15,2336.5557746635554
2014-08-18,2353.7959811220676
2014-08-19,2365.132013549946
2014-08-20,2365.872328174937
2014-08-21,2372.3460338261534
2014-08-22,2366.2530363971287
2014-08-25,2377.7695389906235
2014-08-26,2383.8264624898266
2014-08-27,2387.406756986203
2014-08-28,2378.080684118391
2014-08-29,2384.0860527809364
2014-09-01,2384.409616918058
2014-09-02,2382.626152912489
2014-09-03,2391.0857186237463
2014-09-04,2386.184149732366
2014-09-05,2387.937794295077
2014-09-08,2380.4229896593138
2014-09-09,2364.6467662412533
2014-09-10,2364.99446920437
2014-09-11,2366.028483969332
2014-09-12,2354.5869660832486
2014-09-15,2348.5980029674492
2014-09-16,2354.364215030585
2014-09-17,2359.8960646536307
2014-09-18,2367.0094090747
2014-09-19,2362.790084202084
2014-09-22,2341.767961622577
2014-09-23,2327.637170550508
2014-09-24,2336.979252382043
2014-09-25,2310.377860062238
2014-09-26,2316.5301873143903
2014-09-29,2306.8718437983284
2014-09-30,2299.740908228838
2014-10-01,2274.67273805054
2014-10-02,2261.397096982982
2014-10-03,2270.949491130867
2014-10-06,2278.6458137676277
2014-10-07,2255.9816934049104
2014-10-08,2267.8289466055703
2014-10-09,2244.0031298773238
2014-10-10,2207.33412750134
2014-10-13,2191.709529241407
2014-10-14,2189.760088629384
2014-10-15,2171.440148930964
2014-10-16,2167.3680400940502
2014-10-17,2192.453963583095
2014-10-20,2209.6198691704913
2014-10-21,2240.3643113822154
2014-10-22,2236.550321130412
2014-10-23,2251.236627298219
2014-10-24,2260.6339758614813
2014-10-27,2257.4299807722973
2014-10-28,2283.981150526437
2014-10-29,2289.293964638344
2014-10-30,2293.014205162462
2014-10-31,2317.904609133267
2014-11-03,2306.3236913587934
2014-11-04,2303.999522528464
2014-11-05,2311.1165548907456
2014-11-06,2311.2961134592406
2014-11-07,2310.4299402479464
2014-11-10,2322.2921343590383
2014-11-11,2323.7712883928
2014-11-12,2323.3277594846622
2014-11-13,2322.770111525922
2014-11-14,2323.5461669044253
2014-11-17,2318.7302259840276
2014-11-18,2335.4912669736805
2014-11-19,2330.4729281871846
2014-11-20,2333.031999641975
2014-11-21,2350.0968487512964
2014-11-24,2356.3258932471804
2014-11-25,2359.412665382667
2014-11-26,2366.252989141119
2014-11-27,2362.2795590062
2014-11-28,2352.4173126859596
2014-12-01,2334.83115533651
2014-12-02,2342.6976557310622
2014-12-03,2348.9535579886724
2014-12-04,2345.508654333019
2014-12-05,2347.707550082539
2014-12-08,2330.855201626122
2014-12-09,2324.9817736218843
2014-12-10,2294.752119774654
2014-12-11,2292.68141554681
2014-12-12,2262.9829324341645
2014-12-15,2235.1842864643168
2014-12-16,2233.124172918035
2014-12-17,2257.024649567237
2014-12-18,2300.407821429824
2014-12-19,2315.6396669770184
2014-12-22,2326.0891049280954
2014-12-23,2325.867195996516
2014-12-24,2328.953538215088
2014-12-25,2328.3355881009916
2014-12-26,2334.0483616028455
2014-12-29,2339.3472557259424
2014-12-30,2326.5783194529117
2014-12-31,2314.054377256668
2015-01-01,2314.0686005609823
2015-01-02,2307.5980201200446
2015-01-05,2265.7924352869454
2015-01-06,2243.1345693266085
2015-01-07,2254.1511498726713
2015-01-08,2295.879791763458
2015-01-09,2284.771603731163
2015-01-12,2274.830901791457
2015-01-13,2277.7069372790884
2015-01-14,2262.213490416148
2015-01-15,2258.0618593082245
2015-01-16,2272.8043824762517
2015-01-19,2279.5502275895224
2015-01-20,2283.577499154846
2015-01-21,2298.0496393840053
2015-01-22,2319.7936333280354
2015-01-23,2318.299484476745
2015-01-26,2324.923553772098
2015-01-27,2317.9545317177913
2015-01-28,2297.2995449900577
2015-01-29,2300.1857766687663
2015-01-30,2278.1736176806676
2015-02-02,2298.3351441131213
2015-02-03,2327.2336669208116
2015-02-04,2328.060043085319
2015-02-05,2344.6673360215377
2015-02-06,2335.4333258353986
2015-02-09,2326.1265966249575
2015-02-10,2338.2478968085074
2015-02-11,2332.085469562864
2015-02-12,2359.5094551037273
2015-02-13,2376.6571872805885
2015-02-16,2377.2042023271247
2015-02-17,2379.399916079539
2015-02-18,2385.9519311106437
2015-02-19,2388.5950906713924
2015-02-20,2397.2709072684424
2015-02-23,2399.5957802681132
2015-02-24,2406.0073642971643
2015-02-25,2410.576219941866
2015-02-26,2407.744438459105
2015-02-27,2405.5388243481502
2015-03-02,2409.955482603964
2015-03-03,2400.0065194427684
2015-03-04,2388.4430046564066
2015-03-05,2392.33691265814
2015-03-06,2365.4448683004143
2015-03-09,2362.384156192243
2015-03-10,2324.4384088019065
2015-03-11,2323.3403704500097
2015-03-12,2347.332833820545
2015-03-13,2334.89167689527
2015-03-16,2358.4708154374057
2015-03-17,2356.770516573567
2015-03-18,2379.574445318059
2015-03-19,2379.1797721099033
2015-03-20,2408.706079950256
2015-03-23,2414.835268883119
2015-03-24,2409.645599389998
2015-03-25,2389.2316194556947
2015-03-26,2372.0304551065674
2015-03-27,2372.987152068935
2015-03-30,2391.3239603659567
2015-03-31,2374.370956108311
2015-04-01,2373.5557790137937
2015-04-02,2390.3275854313
2015-04-03,2391.970795518366
2015-04-06,2412.297217537258
2015-04-07,2411.293206249449
2015-04-08,2419.290791048556
2015-04-09,2426.560133527839
2015-04-10,2437.408425885724
2015-04-13,2431.1291065145774
2015-04-14,2439.6338996253594
2015-04-15,2444.5521902529886
2015-04-16,2451.8826844420864
2015-04-17,2427.972984045461
2015-04-20,2437.8104327377628
2015-04-21,2443.6148101106287
2015-04-22,2450.4758041784016
2015-04-23,2459.590166717393
2015-04-24,2469.6866380810575
2015-04-27,2472.255443912896
2015-04-28,2475.3317728995544
2015-04-29,2464.618538797788
2015-04-30,2440.1830695489425
2015-05-01,2449.8512223826324
2015-05-04,2455.4109646915754
2015-05-05,2434.154061394811
2015-05-06,2432.4290838373086
2015-05-07,2425.0620195551483
2015-05-08,2458.5550482054737
2015-05-11,2454.258645711634
2015-05-12,2448.185178104579
2015-05-13,2456.8853249605936
2015-05-14,2474.4140977560564
2015-05-15,2481.295194633532
2015-05-18,2484.128426015143
2015-05-19,2478.3123587497003
2015-05-20,2477.9500286291136
2015-05-21,2485.229816477056
2015-05-22,2478.057339829259
2015-05-25,2477.988905854635
2015-05-26,2448.8092259738623
2015-05-27,2462.254967295022
2015-05-28,2457.2141009330867
2015-05-29,2442.177927709702
2015-06-01,2441.649135926614
2015-06-02,2446.814408150777
2015-06-03,2455.641066496958
2015-06-04,2436.230718354091
2015-06-05,2417.8656060794992
2015-06-08,2406.812113529627
2015-06-09,2403.8430895858855
2015-06-10,2436.362962100454
2015-06-11,2439.8166136003315
2015-06-12,2430.0301869182563
2015-06-15,2411.855616854491
2015-06-16,2418.4367982421722
2015-06-17,2417.7213422667746
2015-06-18,2442.4814520086675
2015-06-19,2435.320541071071
2015-06-22,2463.1684601782617
2015-06-23,2464.5904157447994
2015-06-24,2452.3961396264817
2015-06-25,2446.5247114330314
2015-06-26,2438.1318699993167
2015-06-29,2385.2774800899156
2015-06-30,2387.735480113599
2015-07-01,2401.3381452922636
2015-07-02,2400.20249646227
2015-07-03,2394.4998569964887
2015-07-06,2370.5721755274717
2015-07-07,2360.819953891057
2015-07-08,2331.1241853748716
2015-07-09,2348.5352648735948
2015-07-10,2382.973626855546
2015-07-13,2405.02394591943
2015-07-14,2417.5663199749238
2015-07-15,2414.2517112156206
2015-07-16,2431.841338419386
