Date,AC ASIA ex JAPAN+CHINA A ONSHORE IMI
2004-12-01,1000.0
2004-12-02,1011.708584215608
2004-12-03,1007.4312241641298
2004-12-06,1008.3110031098735
2004-12-07,1002.4332358795344
2004-12-08,993.1805498348365
2004-12-09,989.9783995010906
2004-12-10,975.7800773352865
2004-12-13,976.6825536624892
2004-12-14,984.2416091335766
2004-12-15,997.202692722828
2004-12-16,1000.8621485216405
2004-12-17,999.9048409016475
2004-12-20,1005.1190528380441
2004-12-21,1005.3057392810184
2004-12-22,1007.2500954279759
2004-12-23,1007.3657934518877
2004-12-24,1009.7984312659471
2004-12-27,1008.5659137241291
2004-12-28,1012.2706419037597
2004-12-29,1017.5898134414863
2004-12-30,1020.2083511511162
2004-12-31,1027.5369299500876
2005-01-03,1027.8834681835274
2005-01-04,1018.5266375209483
2005-01-05,1005.3000254976904
2005-01-06,997.017086683062
2005-01-07,995.9348775127856
2005-01-10,995.3311959248368
2005-01-11,1000.6780544913358
2005-01-12,997.3688868938218
2005-01-13,1004.1513204202231
2005-01-14,1005.5643928255496
2005-01-17,1016.8636328060078
2005-01-18,1016.1993347041403
2005-01-19,1017.3630599327809
2005-01-20,1010.9175621277438
2005-01-21,1010.5453219590488
2005-01-24,1008.4578170799946
2005-01-25,1010.0786532896418
2005-01-26,1017.2696810430489
2005-01-27,1016.6415032383115
2005-01-28,1021.2912308608899
2005-01-31,1028.6953811049698
2005-02-01,1023.3383149403336
2005-02-02,1030.880999189002
2005-02-03,1034.4347382696847
2005-02-04,1038.676807919899
2005-02-07,1047.270903866603
2005-02-08,1046.8527568186123
2005-02-09,1046.9282853674242
2005-02-10,1044.1823241752784
2005-02-11,1047.2704352827961
2005-02-14,1061.700395763954
2005-02-15,1063.446607977419
2005-02-16,1064.1571901086706
2005-02-17,1060.5559494946185
2005-02-18,1067.711061158318
2005-02-21,1072.0029300676833
2005-02-22,1076.4678019766238
2005-02-23,1071.6742729550751
2005-02-24,1078.9911093959347
2005-02-25,1085.3620098330334
