Date,AC ASIA IMI WITH PARTIAL A SHARES
2008-11-27,1017.8435576445007
2008-11-28,1030.5939782758
2008-12-30,1125.9067335143727
2008-12-31,1123.5341708777141
2009-01-29,1071.6732321456195
2009-01-30,1054.668011362464
2009-02-26,937.0991704321357
2009-02-27,948.9666990769102
2009-03-30,1033.2948151662406
2009-03-31,1015.2137824247664
2009-04-29,1108.8091807670696
2009-04-30,1142.8422048037964
2009-05-28,1280.2227451032438
2009-05-29,1299.4307018598997
2009-06-29,1309.1143307760462
2009-06-30,1311.901227798443
2009-07-30,1394.3190531953444
2009-07-31,1419.337370947596
2009-08-28,1434.302630826902
2009-08-31,1427.9417052586011
2009-09-29,1458.8330981088266
2009-09-30,1473.904420140015
2009-10-29,1426.0903100373832
2009-10-30,1451.6305583240924
2009-11-27,1417.9890702394587
2009-11-30,1462.921784688122
2009-12-30,1495.7416139938402
2009-12-31,1500.4580253097579
2010-01-28,1492.5799316314399
2010-01-29,1468.787796514944
2010-02-25,1472.843872539225
2010-02-26,1481.7332638637863
2010-03-30,1581.7717325563697
2010-03-31,1573.4612128590013
2010-04-29,1574.3154671929785
2010-04-30,1591.8844589109674
2010-05-28,1453.6959560260725
2010-05-31,1459.7210029301532
2010-06-29,1471.7088717679626
2010-06-30,1460.224475915345
2010-07-29,1536.12833061539
2010-07-30,1527.785310748605
2010-08-30,1525.43354150907
2010-08-31,1503.6049333564688
2010-09-29,1638.4885032648353
2010-09-30,1625.8298304812413
2010-10-28,1665.2726837480814
2010-10-29,1663.309472060682
2010-11-29,1674.955821347104
2010-11-30,1664.6154019110277
2010-12-30,1763.6179095558214
2010-12-31,1773.7431333177215
2011-01-28,1779.7460551469505
2011-01-31,1765.2083934500045
2011-02-25,1754.8689219000253
2011-02-28,1764.4967563232608
2011-03-30,1730.7667483205291
2011-03-31,1743.264822038224
2011-04-28,1781.83195080982
2011-04-29,1782.68537760768
2011-05-30,1727.6953949992032
2011-05-31,1755.1809352157932
2011-06-29,1727.334315338865
2011-06-30,1746.2610764874507
2011-07-28,1797.0934627152471
2011-07-29,1787.905820861234
2011-08-30,1607.1858121870466
2011-08-31,1628.3954527922838
2011-09-29,1509.8377055936955
2011-09-30,1497.964064235927
2011-10-28,1618.7076541200142
2011-10-31,1581.5096703651898
2011-11-29,1482.747003579491
2011-11-30,1480.0150061315942
2011-12-29,1474.3622939971685
2011-12-30,1488.7752557671138
2012-01-30,1591.2454284100625
2012-01-31,1603.5006371000477
2012-02-28,1686.2571179506645
2012-02-29,1691.9602086816217
2012-03-29,1671.8697266400984
2012-03-30,1673.5186972594497
2012-04-27,1634.9448511373625
2012-04-30,1649.3222121581057
2012-05-30,1501.0152654973638
2012-05-31,1499.8208473246768
2012-06-28,1531.4225247086292
2012-06-29,1556.6825616988142
2012-07-30,1541.4907781120696
2012-07-31,1558.9562039370157
2012-08-30,1561.310136207095
2012-08-31,1552.5001652497544
2012-09-27,1628.8834278717734
2012-09-28,1628.9275337126148
2012-10-30,1600.807345132323
2012-10-31,1611.8447755557881
2012-11-29,1646.3460979026347
2012-11-30,1651.2969614588565
2012-12-28,1719.7564898815615
2012-12-31,1717.6286921969595
2013-01-30,1763.8212217928126
2013-01-31,1763.94010533919
2013-02-27,1764.0556193076736
2013-02-28,1786.5129427977986
2013-03-28,1811.2578676379164
2013-03-29,1812.4750821140792
2013-04-29,1880.7901077987442
2013-04-30,1900.5933153645865
2013-05-30,1844.0753240915692
2013-05-31,1838.4760163966137
2013-06-27,1748.3664093540153
2013-06-28,1788.5697455048692
2013-07-30,1832.4924294585032
2013-07-31,1810.6865963634775
2013-08-29,1774.0813706381252
2013-08-30,1778.3782744930709
2013-09-27,1933.541514948298
2013-09-30,1904.655368093496
2013-10-30,1957.123002310906
2013-10-31,1944.0315358680157
2013-11-28,1953.5586664890607
2013-11-29,1955.548387308265
2013-12-30,1950.5855342778138
2013-12-31,1953.459874804023
2014-01-01,1953.4732205704317
2014-01-02,1946.9826737414996
2014-01-03,1938.244537057077
2014-01-06,1923.7145597873787
2014-01-07,1914.839334096341
2014-01-08,1936.2613441228427
2014-01-09,1924.2147739402467
2014-01-10,1932.9119972995604
2014-01-13,1947.4684637368919
2014-01-14,1921.4102724770717
2014-01-15,1934.0383504195402
2014-01-16,1937.271676787046
2014-01-17,1939.3209303832768
2014-01-20,1935.6458359483354
2014-01-21,1936.8887783954758
2014-01-22,1942.9962167099711
2014-01-23,1930.1590498689004
2014-01-24,1916.157063542831
2014-01-27,1868.866128274093
2014-01-28,1865.2378810222385
2014-01-29,1902.8648386322986
2014-01-30,1871.8394140629998
2014-01-31,1876.0775383000394
2014-02-03,1858.5914369181683
2014-02-04,1800.708820974443
2014-02-05,1816.3393708533038
2014-02-06,1817.9011509805923
2014-02-07,1844.473245880522
2014-02-10,1857.8226773953872
2014-02-11,1863.8647978314511
2014-02-12,1883.5583457703697
2014-02-13,1866.3015641318543
2014-02-14,1864.124941586959
2014-02-17,1877.7651508917995
2014-02-18,1896.3221037079595
2014-02-19,1895.6661863488293
2014-02-20,1868.2538314737687
2014-02-21,1893.4439946773136
2014-02-24,1887.2753215254475
2014-02-25,1901.8812626205247
2014-02-26,1900.4071660975374
2014-02-27,1903.6393308361844
2014-02-28,1902.167854202438
2014-03-03,1888.6480638774815
2014-03-04,1888.261921184634
2014-03-05,1897.4079351627563
2014-03-06,1911.4841116630103
2014-03-07,1917.1926011012506
2014-03-10,1899.717519532102
2014-03-11,1907.3818318293188
2014-03-12,1879.7921442425056
2014-03-13,1882.7619819612642
2014-03-14,1852.5165870470128
2014-03-17,1846.5978954506727
2014-03-18,1860.750342356595
2014-03-19,1856.1238254252123
2014-03-20,1819.6713820930536
2014-03-21,1825.6777090206822
2014-03-24,1849.0659813265008
2014-03-25,1846.7864357715173
2014-03-26,1861.7346489002498
2014-03-27,1875.6156905889852
2014-03-28,1884.308985504
2014-03-31,1902.390787586801
2014-04-01,1908.4485674661717
2014-04-02,1917.5995258094026
2014-04-03,1919.8757284140902
2014-04-04,1920.4714073628952
2014-04-07,1909.631377262038
2014-04-08,1907.5893220568373
2014-04-09,1900.9168594098821
2014-04-10,1909.4262166727485
2014-04-11,1891.2116405544598
2014-04-14,1886.335551949607
2014-04-15,1885.1252940686213
2014-04-16,1903.0054018881663
2014-04-17,1906.747718425162
2014-04-18,1914.3331783282702
2014-04-21,1909.1798847370324
2014-04-22,1902.1067830599193
2014-04-23,1907.9753150391643
2014-04-24,1903.8262972378573
2014-04-25,1896.9704409857936
2014-04-28,1882.6285281343482
2014-04-29,1888.3868418136046
2014-04-30,1886.832044547418
2014-05-01,1900.5980708676748
2014-05-02,1906.3250982565216
2014-05-05,1905.2828240814965
2014-05-06,1911.2132427824326
2014-05-07,1880.5538706805605
2014-05-08,1889.0138679918496
2014-05-09,1893.8943710142776
2014-05-12,1892.0455519911313
2014-05-13,1912.937270695963
2014-05-14,1930.2195223301883
2014-05-15,1931.451057571354
2014-05-16,1919.7793845173671
2014-05-19,1918.5572077056715
2014-05-20,1917.308349610345
2014-05-21,1913.9369833639194
2014-05-22,1935.74246802832
2014-05-23,1945.267781802334
2014-05-26,1953.9278778829794
2014-05-27,1950.1195864354231
2014-05-28,1962.2376176620933
2014-05-29,1964.0814298058897
2014-05-30,1960.3210921176994
2014-06-02,1971.9864173230621
2014-06-03,1983.1635988780592
2014-06-04,1981.2687701433233
2014-06-05,1984.048830274326
2014-06-06,1985.6835231297553
2014-06-09,1989.8697739433876
2014-06-10,1993.9526165276989
2014-06-11,2005.6423240019728
2014-06-12,2003.94833662222
2014-06-13,2003.1520366776822
