Date,ACWI IMI WITH CHINA ALL SHARES
2008-11-25,1000.0
2008-11-26,1018.0129803576518
2008-11-27,1028.543759983821
2008-11-28,1037.1030633695655
2008-12-01,968.6470642521226
2008-12-02,984.204515271753
2008-12-03,999.3128110551653
2008-12-04,982.7316679275026
2008-12-05,987.4676094691662
2008-12-08,1042.3638182653624
2008-12-09,1034.216134129764
2008-12-10,1051.7068241404995
2008-12-11,1044.3758147987924
2008-12-12,1035.497989633902
2008-12-15,1042.7711272615654
2008-12-16,1072.177132586153
2008-12-17,1086.8006782793943
2008-12-18,1078.760412168648
2008-12-19,1065.1099453609995
2008-12-22,1047.3707444872468
2008-12-23,1040.1903605261807
2008-12-24,1039.7252565685517
2008-12-25,1040.8431186381201
2008-12-26,1045.6604590584075
2008-12-29,1053.9365768138025
2008-12-30,1071.8547663312563
2008-12-31,1077.688904980981
2009-01-01,1077.9326946620567
2009-01-02,1106.4986058975098
2009-01-05,1109.203588682687
2009-01-06,1116.4931706383243
2009-01-07,1103.5874992254578
2009-01-08,1099.7055212106543
2009-01-09,1081.5159951759217
2009-01-12,1057.2431636586944
2009-01-13,1043.3922651781122
2009-01-14,1013.9619618206129
2009-01-15,1002.9426543717277
2009-01-16,1018.4207526183795
2009-01-19,1011.5308975079988
2009-01-20,968.963367850996
2009-01-21,986.1865909494679
2009-01-22,977.2706458162697
2009-01-23,970.7158248612966
2009-01-26,988.9861101036445
2009-01-27,1002.7751045690605
2009-01-28,1031.0788313394721
2009-01-29,1008.5872269501074
2009-01-30,988.4606855928761
2009-02-02,976.7526326445862
2009-02-03,993.266572753561
2009-02-04,1000.0199214154028
2009-02-05,1005.3631771830474
2009-02-06,1028.6312960375958
2009-02-09,1036.2659033320967
2009-02-10,1003.9800865955428
2009-02-11,1001.5848731933813
2009-02-12,992.4929732610293
2009-02-13,994.4252211526222
2009-02-16,987.6735481413591
2009-02-17,946.7274479266353
2009-02-18,939.4455703700742
2009-02-19,938.6018319658795
2009-02-20,917.668329033175
2009-02-23,902.4418106460597
2009-02-24,912.0436017020321
2009-02-25,908.0606885613977
2009-02-26,906.9840033673754
2009-02-27,893.1057223591863
2009-03-02,850.009147390052
2009-03-03,840.8601847069561
2009-03-04,862.8479713292214
2009-03-05,838.6691729919514
2009-03-06,835.4289947367971
2009-03-09,824.7479898879286
2009-03-10,866.3238201187185
2009-03-11,874.2029445430732
2009-03-12,891.0655874562614
2009-03-13,904.5416537090916
2009-03-16,915.4290308661243
2009-03-17,930.7827275921599
2009-03-18,942.9283610182403
2009-03-19,960.6829569376479
2009-03-20,945.3480140607871
2009-03-23,993.0744769361286
2009-03-24,986.4465614657147
2009-03-25,993.8695442770014
2009-03-26,1011.2506112121572
2009-03-27,992.0502130084151
2009-03-30,953.3543735820716
2009-03-31,968.0118518342294
2009-04-01,983.4509645080757
2009-04-02,1026.9886516586973
2009-04-03,1030.9963511351425
2009-04-06,1025.133781856374
2009-04-07,1007.0267053850033
2009-04-08,1009.0970939402093
2009-04-09,1042.360022121775
2009-04-10,1043.9492427089447
2009-04-13,1049.9562726835215
2009-04-14,1045.9332670181327
2009-04-15,1048.2623545124368
2009-04-16,1062.576447075203
2009-04-17,1067.8264806023817
2009-04-20,1031.585672697528
2009-04-21,1039.3441508548653
2009-04-22,1041.3137217388248
2009-04-23,1050.180684759126
2009-04-24,1071.536011395843
2009-04-27,1061.884335198129
2009-04-28,1049.896725528359
2009-04-29,1076.5024426604032
2009-04-30,1087.2516063344926
2009-05-01,1090.5156121205578
2009-05-04,1125.8681331303933
2009-05-05,1127.9728193020828
2009-05-06,1142.4627613173602
2009-05-07,1141.6588381888987
2009-05-08,1165.403453357626
2009-05-11,1154.122048404038
2009-05-12,1151.8353306497943
2009-05-13,1125.6931307956672
2009-05-14,1125.9947725025809
2009-05-15,1127.7650446911414
2009-05-18,1149.0938113102804
2009-05-19,1164.8441806209714
2009-05-20,1173.2453464190971
2009-05-21,1153.9601819918971
2009-05-22,1158.6773510147495
2009-05-25,1160.6832548796656
2009-05-26,1176.5931698131396
2009-05-27,1172.8536077311585
2009-05-28,1176.9999255056944
2009-05-29,1195.321089115145
2009-06-01,1227.995658748159
2009-06-02,1233.5713479200367
2009-06-03,1214.7203887167564
2009-06-04,1218.2691896727576
2009-06-05,1215.1019025230605
2009-06-08,1204.373126766724
2009-06-09,1212.567822347866
2009-06-10,1221.081734883766
2009-06-11,1231.4619274296542
2009-06-12,1228.3242715011834
2009-06-15,1197.3209531969935
2009-06-16,1186.747165163412
2009-06-17,1176.3825675593985
2009-06-18,1181.739704281648
2009-06-19,1189.7188175628207
2009-06-22,1159.5845262064872
2009-06-23,1155.846687187679
2009-06-24,1173.450834690283
2009-06-25,1182.878257644661
2009-06-26,1192.6280183079793
2009-06-29,1200.3567236953236
2009-06-30,1192.8101481878082
2009-07-01,1205.3577097840366
2009-07-02,1177.5880195403618
2009-07-03,1176.8290588011957
2009-07-06,1167.5906400363117
2009-07-07,1155.7284213004311
2009-07-08,1143.903986828272
2009-07-09,1150.3908171168744
2009-07-10,1144.2360386077737
2009-07-13,1155.4913272763954
2009-07-14,1171.0587860952949
2009-07-15,1204.9515603888794
2009-07-16,1215.3506006219934
2009-07-17,1218.8328289774838
